id,season,week,season_type,start_date,home_team,away_team,home_conference,away_conference,home_points,away_points,neutral_site,conference_game,venue
401426532,2022,1,regular,2022-08-27 16:00:00,Western Kentucky,Austin Peay,Conference USA,Atlantic Sun,38,27,False,False,Houchens Industries-L.T. Smith Stadium
401405059,2022,1,regular,2022-08-27 16:30:00,Northwestern,Nebraska,Big Ten,Big Ten,31,28,True,True,Aviva Stadium
401439512,2022,1,regular,2022-08-27 19:00:00,Florida Memorial University,Edward Waters,,SIAC,39,34,True,False,
401413256,2022,1,regular,2022-08-27 19:30:00,UNLV,Idaho State,Mountain West,Big Sky,52,21,False,False,Allegiant Stadium
401413213,2022,1,regular,2022-08-27 19:30:00,Jacksonville State,Stephen F. Austin,Atlantic Sun,Western Athletic,42,17,True,False,Cramton Bowl
401404146,2022,1,regular,2022-08-27 20:00:00,Utah State,UConn,Mountain West,FBS Independents,31,20,False,False,Maverik Stadium
401405058,2022,1,regular,2022-08-27 20:00:00,Illinois,Wyoming,Big Ten,Mountain West,38,6,False,False,"Memorial Stadium (Champaign, IL)"
401411090,2022,1,regular,2022-08-27 21:00:00,Florida State,Duquesne,ACC,NEC,47,7,False,False,Doak Campbell Stadium
401422922,2022,1,regular,2022-08-27 23:00:00,Mercer,Morehead State,Southern,Pioneer,63,13,False,False,Five Star Stadium at the Moye Complex
401423448,2022,1,regular,2022-08-27 23:00:00,Alabama State,Howard,SWAC,MEAC,23,13,True,False,Center Parc Stadium
401426530,2022,1,regular,2022-08-27 23:00:00,Florida Atlantic,Charlotte,Conference USA,Conference USA,43,13,False,True,FAU Stadium
401411091,2022,1,regular,2022-08-28 00:15:00,North Carolina,Florida A&M,ACC,SWAC,56,24,False,False,Kenan Stadium
401426531,2022,1,regular,2022-08-28 01:00:00,UTEP,North Texas,Conference USA,Conference USA,13,31,False,True,Sun Bowl
401409235,2022,1,regular,2022-08-28 02:00:00,New Mexico State,Nevada,FBS Independents,Mountain West,12,23,False,False,Aggie Memorial Stadium
401403853,2022,1,regular,2022-08-28 02:30:00,Hawai'i,Vanderbilt,Mountain West,SEC,10,63,False,False,Clarence T.C. Ching Athletics Complex
401437007,2022,1,regular,2022-09-01 18:00:00,New Mexico Highlands,Eastern New Mexico,Rocky Mountain,Lone Star,18,34,False,False,Sanchez Family Stadium
401433043,2022,1,regular,2022-09-01 21:30:00,Southern Connecticut State,Shepherd,Northeast 10,Pennsylvania State Athletic,7,48,False,False,Jess Dow Field
401430716,2022,1,regular,2022-09-01 22:00:00,Bluefield State,Johnson C. Smith,Independent DII,CIAA,35,34,False,False,Mitchell Stadium
401418776,2022,1,regular,2022-09-01 22:00:00,Indiana State,North Alabama,MVFC,Atlantic Sun,17,14,False,False,Memorial Stadium
401432134,2022,1,regular,2022-09-01 22:00:00,Clarion,West Liberty,Pennsylvania State Athletic,Mountain East,14,21,False,False,"Memorial Stadium (Clarion, PA)"
401431571,2022,1,regular,2022-09-01 22:00:00,Ashland,Notre Dame College,Great Midwest Athletic,Mountain East,31,14,False,False,Jack Miller Stadium
401431978,2022,1,regular,2022-09-01 22:00:00,Chowan,Barton,CIAA,South Atlantic,3,17,False,False,Garrison Stadium
401430722,2022,1,regular,2022-09-01 22:00:00,Tusculum,St. Augustine's,South Atlantic,CIAA,70,13,False,False,Pioneer Field (TN)
