season,team,sp_overall,sp_offense,sp_defense,sp_st
2026,Ohio State,30.0,40.0,10.1,0.1
2026,Georgia,28.7,39.9,11.9,0.6
2026,Notre Dame,26.8,40.6,14.0,0.3
2026,Texas,25.4,39.2,14.2,0.4
2026,Miami,24.7,36.9,12.5,0.3
2026,Indiana,24.1,37.8,14.2,0.5
2026,Oregon,23.9,38.9,15.2,0.3
2026,Texas A&M,23.9,38.8,14.6,-0.3
2026,LSU,23.3,34.4,11.4,0.2
2026,Oklahoma,21.7,34.0,12.6,0.4
2026,Alabama,20.0,33.0,12.6,-0.4
2026,Tennessee,19.9,40.3,20.8,0.4
2026,Penn State,19.8,35.3,16.2,0.6
2026,Texas Tech,18.9,34.9,16.2,0.2
2026,Florida,18.6,33.5,15.5,0.5
2026,Iowa,18.0,32.1,14.7,0.6
2026,USC,17.7,37.9,19.9,-0.3
2026,BYU,16.8,33.9,17.4,0.3
2026,South Carolina,16.7,32.6,16.4,0.5
2026,Ole Miss,13.3,35.1,22.5,0.7
2026,Utah,13.0,33.7,20.7,0.0
2026,Missouri,12.9,31.2,17.9,-0.5
2026,Kansas State,12.7,34.3,21.8,0.3
2026,Arizona,12.6,32.7,19.6,-0.5
2026,Virginia Tech,12.4,32.6,20.0,-0.2
2026,Michigan,12.2,29.7,17.0,-0.5
2026,Vanderbilt,12.1,34.0,22.5,0.6
2026,Nebraska,12.1,32.4,20.4,0.1
2026,Washington,12.0,30.5,18.1,-0.3
2026,Virginia,11.5,28.4,17.1,0.2
2026,SMU,11.1,32.2,20.8,-0.4
2026,Pittsburgh,10.1,33.0,23.0,0.1
2026,Louisville,10.0,31.7,21.9,0.2
2026,Minnesota,9.6,27.9,17.8,-0.5
2026,Mississippi State,9.4,33.5,24.7,0.5
2026,UCLA,9.2,31.9,22.7,0.0
2026,Maryland,9.1,28.9,20.1,0.3
2026,Arizona State,8.7,29.7,20.5,-0.6
2026,Kentucky,8.5,28.6,20.0,0.0
2026,Northwestern,7.8,27.2,19.8,0.5
2026,Kansas,7.5,30.9,24.0,0.6
2026,Illinois,7.5,31.3,24.2,0.4
2026,Auburn,7.0,25.3,18.6,0.3
2026,Florida State,6.9,29.1,21.9,-0.2
2026,Duke,6.6,31.3,25.1,0.4
2026,Houston,6.5,30.7,23.9,-0.4
2026,Cincinnati,5.9,30.0,24.3,0.3
2026,UCF,5.9,26.5,20.5,-0.1
2026,North Carolina,5.8,24.5,19.1,0.4
2026,Boise State,5.2,29.5,24.1,-0.3
2026,Clemson,5.2,26.4,21.5,0.3
2026,Baylor,4.9,31.1,26.9,0.6
2026,New Mexico,4.4,27.4,23.6,0.6
2026,TCU,3.9,27.5,23.4,-0.2
2026,Navy,3.6,29.4,26.0,0.2
2026,Arkansas,3.3,32.6,29.5,0.3
2026,Iowa State,3.1,24.2,21.6,0.5
2026,San Diego State,3.1,25.8,23.3,0.6
2026,UTSA,2.9,31.9,29.2,0.1
2026,Syracuse,2.7,25.7,23.4,0.4
2026,North Dakota State,2.6,25.9,23.2,0.0
2026,UNLV,2.3,29.8,27.6,0.1
2026,Army,2.2,27.2,25.1,0.1
2026,Colorado,2.1,25.7,23.1,-0.5
2026,Memphis,2.1,30.4,28.8,0.5
2026,Georgia Tech,1.7,25.3,24.1,0.6
2026,Wake Forest,1.6,23.8,22.2,0.0
2026,Purdue,1.2,26.2,25.6,0.6
2026,Oklahoma State,1.1,26.1,25.4,0.5
2026,Air Force,1.1,26.6,25.6,0.1
2026,Michigan State,1.0,26.9,25.5,-0.4
2026,James Madison,-0.3,26.0,25.9,-0.4
2026,NC State,-0.7,27.4,27.8,-0.4
2026,Wisconsin,-1.5,19.3,20.6,-0.3
2026,Tulsa,-2.3,25.2,28.0,0.5
2026,South Florida,-3.1,26.0,28.9,-0.3
2026,California,-3.4,26.6,29.7,-0.3
2026,Rutgers,-3.6,27.8,31.4,0.1
2026,Washington State,-3.7,20.5,24.0,-0.1
2026,Louisiana Tech,-3.8,24.7,28.5,0.0
2026,Western Michigan,-4.2,19.4,23.2,-0.4
2026,West Virginia,-4.4,24.1,28.6,0.1
2026,Stanford,-4.7,22.0,26.1,-0.5
2026,Temple,-4.9,26.9,32.2,0.3
2026,Louisiana,-5.7,26.9,32.2,-0.5
2026,Georgia Southern,-5.8,24.8,30.6,0.0
2026,Nevada,-6.1,21.4,27.9,0.4
2026,Old Dominion,-6.2,20.1,25.6,-0.7
2026,UConn,-6.3,22.7,29.6,0.6
2026,Oregon State,-6.8,21.1,27.3,-0.7
2026,Jacksonville State,-7.0,24.9,31.3,-0.5
2026,Hawai'i,-7.0,23.3,30.9,0.6
2026,App State,-7.2,23.6,31.1,0.3
2026,Liberty,-7.2,24.0,31.0,-0.2
2026,Tulane,-7.4,19.5,27.5,0.6
2026,Kennesaw State,-7.4,22.3,29.2,-0.5
2026,Boston College,-7.4,22.0,29.9,0.5
2026,Colorado State,-7.5,19.2,26.6,-0.1
2026,Delaware,-7.6,25.1,32.4,-0.3
2026,Fresno State,-7.6,18.1,25.7,0.0
2026,Texas State,-7.8,30.3,38.2,0.1
2026,East Carolina,-8.1,22.0,29.9,-0.2
2026,Toledo,-9.4,17.9,26.9,-0.4
2026,Miami (OH),-10.0,17.8,28.4,0.5
2026,Rice,-10.4,18.8,29.7,0.5
2026,Troy,-11.4,20.6,32.2,0.2
2026,South Alabama,-11.4,23.5,34.2,-0.7
2026,Utah State,-11.5,20.9,32.0,-0.5
2026,Buffalo,-11.6,15.5,27.7,0.6
2026,Coastal Carolina,-12.1,22.1,33.7,-0.5
2026,Florida Atlantic,-12.2,25.7,38.4,0.5
2026,Bowling Green,-12.8,15.0,28.1,0.3
2026,San José State,-12.8,19.9,32.2,-0.5
2026,Western Kentucky,-13.1,22.0,35.6,0.5
2026,North Texas,-13.2,23.5,36.5,-0.2
2026,Florida International,-13.5,20.2,33.4,-0.3
2026,Marshall,-14.4,23.8,38.4,0.3
2026,Southern Miss,-14.9,20.6,35.1,-0.4
2026,New Mexico State,-15.0,17.9,32.9,-0.1
2026,Arkansas State,-15.1,21.3,36.5,0.1
2026,Wyoming,-15.2,13.7,28.3,-0.6
2026,Eastern Michigan,-15.6,17.2,32.8,0.0
2026,UAB,-16.0,21.8,37.4,-0.5
2026,Ohio,-16.4,13.2,29.0,-0.6
2026,Sacramento State,-19.1,16.6,35.7,0.0
2026,Central Michigan,-20.0,13.1,32.9,-0.2
2026,Middle Tennessee,-20.8,17.0,38.0,0.2
2026,Akron,-21.4,12.8,33.6,-0.6
2026,Sam Houston,-21.5,16.3,37.3,-0.4
2026,Northern Illinois,-22.3,12.3,34.4,-0.2
2026,Georgia State,-22.7,18.3,40.3,-0.7
2026,Missouri State,-24.3,13.6,37.4,-0.5
2026,UTEP,-24.3,12.9,36.8,-0.5
2026,Ball State,-25.0,12.6,36.9,-0.7
2026,Massachusetts,-25.8,12.6,37.9,-0.5
2026,Charlotte,-26.0,14.5,40.0,-0.5
2026,Kent State,-27.5,12.3,39.4,-0.5
2026,UL Monroe,-33.2,10.5,42.9,-0.7
2026,nationalAverages,-0.13405797101449277,25.8963768115942,26.045652173913044,0.012318840579710146
