date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2021-04-01,2021,ARI,SDP,7.0,8.0,0,0,Pagán,Young,-1.0
2021-04-02,2021,ARI,SDP,2.0,4.0,0,0,Pagán,Kelly,-2.0
2021-04-03,2021,ARI,SDP,0.0,7.0,0,0,Musgrove,Smith,-7.0
2021-04-04,2021,ARI,SDP,3.0,1.0,0,1,Widener,Paddack,2.0
2021-04-06,2021,ARI,COL,10.0,8.0,0,1,Peacock,Bowden,2.0
2021-04-07,2021,ARI,COL,0.0,8.0,0,0,Senzatela,Bumgarner,-8.0
2021-04-08,2021,ARI,COL,3.0,7.0,0,0,Gray,Kelly,-4.0
2021-04-09,2021,ARI,CIN,5.0,6.0,1,0,Pérez,Young,-1.0
2021-04-10,2021,ARI,CIN,8.0,3.0,1,1,Smith,Hoffman,5.0
2021-04-11,2021,ARI,CIN,7.0,0.0,1,1,Weaver,De León,7.0
2021-04-12,2021,ARI,OAK,5.0,9.0,1,0,Bassitt,Bumgarner,-4.0
2021-04-13,2021,ARI,OAK,5.0,7.0,1,0,Petit,Swarzak,-2.0
2021-04-15,2021,ARI,WSN,11.0,6.0,0,1,Kelly,Corbin,5.0
2021-04-16,2021,ARI,WSN,0.0,1.0,0,0,Hand,Young,-1.0
2021-04-17,2021,ARI,WSN,2.0,6.0,0,0,Fedde,Weaver,-4.0
2021-04-18,2021,ARI,WSN,5.0,2.0,0,1,Bumgarner,Espino,3.0
2021-04-20,2021,ARI,CIN,5.0,4.0,0,1,Bukauskas,Garrett,1.0
2021-04-21,2021,ARI,CIN,8.0,5.0,0,1,Clarke,Pérez,3.0
2021-04-22,2021,ARI,CIN,14.0,11.0,0,1,Smith,Sims,3.0
2021-04-23,2021,ARI,ATL,4.0,5.0,0,0,Ynoa,Weaver,-1.0
2021-04-27,2021,ARI,SDP,5.0,1.0,1,1,Kelly,Paddack,4.0
2021-04-28,2021,ARI,SDP,3.0,12.0,1,0,Northcraft,Smith,-9.0
2021-04-29,2021,ARI,COL,5.0,3.0,1,1,Smith,Stephenson,2.0
2021-04-30,2021,ARI,COL,7.0,2.0,1,1,Bumgarner,Gray,5.0
2021-05-01,2021,ARI,COL,6.0,14.0,1,0,Gomber,Gallen,-8.0
2021-05-02,2021,ARI,COL,8.0,4.0,1,1,Devenski,Bard,4.0
2021-05-04,2021,ARI,MIA,3.0,9.0,0,0,Bleier,Ginkel,-6.0
2021-05-05,2021,ARI,MIA,0.0,8.0,0,0,Holloway,Weaver,-8.0
2021-05-06,2021,ARI,MIA,1.0,3.0,0,0,Floro,Bukauskas,-2.0
2021-05-07,2021,ARI,NYM,4.0,5.0,0,0,Loup,Crichton,-1.0
2021-05-08,2021,ARI,NYM,2.0,4.0,0,0,Lucchesi,Kelly,-2.0
2021-05-09,2021,ARI,NYM,2.0,4.0,0,0,deGrom,Smith,-2.0
2021-05-10,2021,ARI,MIA,5.0,2.0,1,1,Weaver,Holloway,3.0
2021-05-11,2021,ARI,MIA,11.0,3.0,1,1,Bumgarner,López,8.0
2021-05-12,2021,ARI,MIA,2.0,3.0,1,0,Poteet,Peacock,-1.0
2021-05-13,2021,ARI,MIA,1.0,5.0,1,0,Rogers,Kelly,-4.0
2021-05-14,2021,ARI,WSN,2.0,17.0,1,0,Scherzer,Smith,-15.0
2021-05-15,2021,ARI,WSN,11.0,4.0,1,1,Young,Ross,7.0
2021-05-16,2021,ARI,WSN,0.0,3.0,1,0,Fedde,Crichton,-3.0
2021-05-17,2021,ARI,LAD,1.0,3.0,0,0,Buehler,Bumgarner,-2.0
2021-05-18,2021,ARI,LAD,1.0,9.0,0,0,Urías,Martin,-8.0
2021-05-19,2021,ARI,LAD,2.0,4.0,0,0,Kelly,Mantiply,-2.0
2021-05-20,2021,ARI,LAD,2.0,3.0,0,0,González,Kelly,-1.0
2021-05-21,2021,ARI,COL,1.0,7.0,0,0,Márquez,Frankoff,-6.0
2021-05-22,2021,ARI,COL,6.0,7.0,0,0,Kinley,Bumgarner,-1.0
2021-05-23,2021,ARI,COL,3.0,4.0,0,0,Bard,Crichton,-1.0
2021-05-25,2021,ARI,SFG,0.0,8.0,1,0,Gausman,Martin,-8.0
2021-05-26,2021,ARI,SFG,4.0,5.0,1,0,Tropeano,Young,-1.0
2021-05-27,2021,ARI,STL,4.0,5.0,1,0,Reyes,Crichton,-1.0
2021-05-28,2021,ARI,STL,6.0,8.0,1,0,Woodford,Bumgarner,-2.0
