date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2023-03-30,2023,ATL,WSN,7.0,2.0,0,1,5.0
2023-04-01,2023,ATL,WSN,7.0,1.0,0,1,6.0
2023-04-02,2023,ATL,WSN,1.0,4.0,0,0,-3.0
2023-04-03,2023,ATL,STL,8.0,4.0,0,1,4.0
2023-04-04,2023,ATL,STL,4.0,1.0,0,1,3.0
2023-04-05,2023,ATL,STL,5.0,2.0,0,1,3.0
2023-04-06,2023,ATL,SDP,7.0,6.0,1,1,1.0
2023-04-07,2023,ATL,SDP,4.0,5.0,1,0,-1.0
2023-04-08,2023,ATL,SDP,1.0,4.0,1,0,-3.0
2023-04-09,2023,ATL,SDP,2.0,10.0,1,0,-8.0
2023-04-10,2023,ATL,CIN,5.0,4.0,1,1,1.0
2023-04-11,2023,ATL,CIN,7.0,6.0,1,1,1.0
2023-04-12,2023,ATL,CIN,5.0,4.0,1,1,1.0
2023-04-14,2023,ATL,KCR,10.0,3.0,0,1,7.0
2023-04-15,2023,ATL,KCR,9.0,3.0,0,1,6.0
2023-04-16,2023,ATL,KCR,5.0,4.0,0,1,1.0
2023-04-17,2023,ATL,SDP,2.0,0.0,0,1,2.0
2023-04-18,2023,ATL,SDP,8.0,1.0,0,1,7.0
2023-04-19,2023,ATL,SDP,0.0,1.0,0,0,-1.0
2023-04-21,2023,ATL,HOU,4.0,6.0,1,0,-2.0
2023-04-22,2023,ATL,HOU,3.0,6.0,1,0,-3.0
2023-04-23,2023,ATL,HOU,2.0,5.0,1,0,-3.0
2023-04-24,2023,ATL,MIA,11.0,0.0,1,1,11.0
2023-04-25,2023,ATL,MIA,7.0,4.0,1,1,3.0
2023-04-26,2023,ATL,MIA,6.0,4.0,1,1,2.0
2023-04-27,2023,ATL,MIA,4.0,5.0,1,0,-1.0
2023-04-28,2023,ATL,NYM,4.0,0.0,0,1,4.0
2023-05-02,2023,ATL,MIA,6.0,0.0,0,1,6.0
2023-05-03,2023,ATL,MIA,14.0,6.0,0,1,8.0
2023-05-04,2023,ATL,MIA,6.0,3.0,0,1,3.0
2023-05-05,2023,ATL,BAL,4.0,9.0,1,0,-5.0
2023-05-06,2023,ATL,BAL,5.0,4.0,1,1,1.0
2023-05-07,2023,ATL,BAL,3.0,2.0,1,1,1.0
2023-05-09,2023,ATL,BOS,9.0,3.0,1,1,6.0
2023-05-10,2023,ATL,BOS,2.0,5.0,1,0,-3.0
2023-05-12,2023,ATL,TOR,0.0,3.0,0,0,-3.0
2023-05-13,2023,ATL,TOR,2.0,5.0,0,0,-3.0
2023-05-14,2023,ATL,TOR,5.0,6.0,0,0,-1.0
2023-05-15,2023,ATL,TEX,12.0,0.0,0,1,12.0
2023-05-16,2023,ATL,TEX,4.0,7.0,0,0,-3.0
2023-05-17,2023,ATL,TEX,6.0,5.0,0,1,1.0
2023-05-19,2023,ATL,SEA,6.0,2.0,1,1,4.0
2023-05-20,2023,ATL,SEA,3.0,7.0,1,0,-4.0
2023-05-21,2023,ATL,SEA,3.0,2.0,1,1,1.0
2023-05-22,2023,ATL,LAD,6.0,8.0,1,0,-2.0
2023-05-23,2023,ATL,LAD,1.0,8.0,1,0,-7.0
2023-05-24,2023,ATL,LAD,4.0,3.0,1,1,1.0
2023-05-25,2023,ATL,PHI,8.0,5.0,1,1,3.0
2023-05-26,2023,ATL,PHI,4.0,6.0,1,0,-2.0
2023-05-27,2023,ATL,PHI,1.0,2.0,1,0,-1.0
2023-05-28,2023,ATL,PHI,11.0,4.0,1,1,7.0
2023-05-29,2023,ATL,OAK,2.0,7.0,0,0,-5.0
2023-05-30,2023,ATL,OAK,1.0,2.0,0,0,-1.0
2023-05-31,2023,ATL,OAK,4.0,2.0,0,1,2.0
2023-06-02,2023,ATL,ARI,2.0,3.0,0,0,-1.0
2023-06-03,2023,ATL,ARI,5.0,2.0,0,1,3.0
2023-06-04,2023,ATL,ARI,8.0,5.0,0,1,3.0
