date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2023-03-30,2023,BAL,BOS,10.0,9.0,0,1,Gibson,Kluber,1.0
2023-04-01,2023,BAL,BOS,8.0,9.0,0,0,Jansen,Bautista,-1.0
2023-04-02,2023,BAL,BOS,5.0,9.0,0,0,Houck,Irvin,-4.0
2023-04-03,2023,BAL,TEX,2.0,0.0,0,1,Coulombe,Gray,2.0
2023-04-04,2023,BAL,TEX,7.0,2.0,0,1,Gibson,Heaney,5.0
2023-04-05,2023,BAL,TEX,2.0,5.0,0,0,deGrom,Voth,-3.0
2023-04-07,2023,BAL,NYY,7.0,6.0,1,1,Pérez,Marinaccio,1.0
2023-04-08,2023,BAL,NYY,1.0,4.0,1,0,Brito,Irvin,-3.0
2023-04-09,2023,BAL,NYY,3.0,5.0,1,0,Cortés,Wells,-2.0
2023-04-10,2023,BAL,OAK,5.0,1.0,1,1,Gibson,Sears,4.0
2023-04-11,2023,BAL,OAK,12.0,8.0,1,1,Baker,Moll,4.0
2023-04-12,2023,BAL,OAK,4.0,8.0,1,0,Smith,Akin,-4.0
2023-04-13,2023,BAL,OAK,8.0,7.0,1,1,Bautista,May,1.0
2023-04-14,2023,BAL,CHW,6.0,3.0,0,1,Baumann,López,3.0
2023-04-15,2023,BAL,CHW,6.0,7.0,0,0,Lambert,Gillaspie,-1.0
2023-04-16,2023,BAL,CHW,8.0,4.0,0,1,Baumann,Bummer,4.0
2023-04-18,2023,BAL,WSN,1.0,0.0,0,1,Kremer,Gray,1.0
2023-04-19,2023,BAL,WSN,4.0,0.0,0,1,Bradish,Gore,4.0
2023-04-21,2023,BAL,DET,2.0,1.0,1,1,Bautista,Foley,1.0
2023-04-22,2023,BAL,DET,5.0,1.0,1,1,Gibson,Wentz,4.0
2023-04-23,2023,BAL,DET,2.0,1.0,1,1,Akin,Englert,1.0
2023-04-24,2023,BAL,BOS,5.0,4.0,1,1,Kremer,Sale,1.0
2023-04-25,2023,BAL,BOS,6.0,8.0,1,0,Kluber,Bradish,-2.0
2023-04-26,2023,BAL,BOS,6.0,2.0,1,1,Wells,Houck,4.0
2023-04-27,2023,BAL,DET,7.0,4.0,0,1,Baker,Shreve,3.0
2023-04-30,2023,BAL,DET,5.0,3.0,0,1,Voth,Turnbull,2.0
2023-05-02,2023,BAL,KCR,11.0,7.0,0,1,Wells,Yarbrough,4.0
2023-05-03,2023,BAL,KCR,0.0,6.0,0,0,Greinke,Gibson,-6.0
