date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2019-03-28,2019,BOS,SEA,4.0,12.0,0,0,Gonzales,Sale,-8.0
2019-03-29,2019,BOS,SEA,7.0,6.0,0,1,Johnson,Strickland,1.0
2019-03-30,2019,BOS,SEA,5.0,6.0,0,0,Leake,Rodríguez,-1.0
2019-03-31,2019,BOS,SEA,8.0,10.0,0,0,LeBlanc,Porcello,-2.0
2019-04-01,2019,BOS,OAK,0.0,7.0,0,0,Brooks,Price,-7.0
2019-04-02,2019,BOS,OAK,0.0,1.0,0,0,Fiers,Sale,-1.0
2019-04-03,2019,BOS,OAK,6.0,3.0,0,1,Barnes,Rodney,3.0
2019-04-04,2019,BOS,OAK,3.0,7.0,0,0,Anderson,Rodríguez,-4.0
2019-04-05,2019,BOS,ARI,8.0,15.0,0,0,Godley,Porcello,-7.0
2019-04-06,2019,BOS,ARI,4.0,5.0,0,0,Holland,Brewer,-1.0
2019-04-07,2019,BOS,ARI,1.0,0.0,0,1,Walden,Kelly,1.0
2019-04-09,2019,BOS,TOR,5.0,7.0,1,0,Shoemaker,Sale,-2.0
2019-04-11,2019,BOS,TOR,7.0,6.0,1,1,Walden,Giles,1.0
2019-04-12,2019,BOS,BAL,6.0,4.0,1,1,Rodríguez,Hess,2.0
2019-04-13,2019,BOS,BAL,5.0,9.0,1,0,Cashner,Porcello,-4.0
2019-04-14,2019,BOS,BAL,4.0,0.0,1,1,Price,Means,4.0
2019-04-15,2019,BOS,BAL,1.0,8.0,1,0,Straily,Velázquez,-7.0
2019-04-16,2019,BOS,NYY,0.0,8.0,0,0,Paxton,Sale,-8.0
2019-04-17,2019,BOS,NYY,3.0,5.0,0,0,Kahnle,Workman,-2.0
2019-04-19,2019,BOS,TBR,6.0,4.0,0,1,Workman,Castillo,2.0
2019-04-20,2019,BOS,TBR,6.0,5.0,0,1,Barnes,Alvarado,1.0
2019-04-21,2019,BOS,TBR,4.0,3.0,0,1,Walden,Alvarado,1.0
2019-04-24,2019,BOS,DET,11.0,4.0,1,1,Rodríguez,Ross,7.0
2019-04-25,2019,BOS,DET,7.0,3.0,1,1,Porcello,Zimmermann,4.0
2019-04-27,2019,BOS,TBR,1.0,2.0,1,0,Morton,Price,-1.0
2019-04-28,2019,BOS,TBR,2.0,5.0,1,0,Glasnow,Sale,-3.0
2019-04-29,2019,BOS,OAK,9.0,4.0,1,1,Brasier,Montas,5.0
2019-04-30,2019,BOS,OAK,5.0,1.0,1,1,Porcello,Brooks,4.0
2019-05-01,2019,BOS,OAK,7.0,3.0,1,1,Walden,Fiers,4.0
2019-05-02,2019,BOS,CHW,4.0,6.0,0,0,Fulmer,Brasier,-2.0
2019-05-03,2019,BOS,CHW,6.0,1.0,0,1,Sale,López,5.0
2019-05-04,2019,BOS,CHW,15.0,2.0,0,1,Rodríguez,Banuelos,13.0
2019-05-05,2019,BOS,CHW,9.0,2.0,0,1,Workman,Herrera,7.0
2019-05-06,2019,BOS,BAL,1.0,4.0,0,0,Means,Smith,-3.0
2019-05-07,2019,BOS,BAL,8.0,5.0,0,1,Walden,Kline,3.0
2019-05-08,2019,BOS,BAL,2.0,1.0,0,1,Brasier,Ramírez,1.0
2019-05-10,2019,BOS,SEA,14.0,1.0,1,1,Rodríguez,Swanson,13.0
2019-05-11,2019,BOS,SEA,9.0,5.0,1,1,Porcello,Hernández,4.0
2019-05-12,2019,BOS,SEA,11.0,2.0,1,1,Velázquez,Gonzales,9.0
2019-05-14,2019,BOS,COL,4.0,5.0,1,0,Dunn,Brasier,-1.0
2019-05-15,2019,BOS,COL,6.0,5.0,1,1,Workman,Bettis,1.0
2019-05-17,2019,BOS,HOU,1.0,3.0,1,0,Harris,Porcello,-2.0
2019-05-18,2019,BOS,HOU,3.0,7.0,1,0,James,Velázquez,-4.0
2019-05-19,2019,BOS,HOU,4.0,3.0,1,1,Walden,Valdez,1.0
