date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2019-03-28,2019,CHC,TEX,12.0,4.0,0,1,Lester,Minor,8.0
2019-03-30,2019,CHC,TEX,6.0,8.0,0,0,Kelley,Edwards,-2.0
2019-03-31,2019,CHC,TEX,10.0,11.0,0,0,Leclerc,Strop,-1.0
2019-04-01,2019,CHC,ATL,0.0,8.0,0,0,Parsons,Hendricks,-8.0
2019-04-03,2019,CHC,ATL,4.0,6.0,0,0,Jackson,Cishek,-2.0
2019-04-04,2019,CHC,ATL,4.0,9.0,0,0,Fried,Darvish,-5.0
2019-04-05,2019,CHC,MIL,10.0,13.0,0,0,Anderson,Quintana,-3.0
2019-04-06,2019,CHC,MIL,14.0,8.0,0,1,Hamels,Burnes,6.0
2019-04-07,2019,CHC,MIL,2.0,4.0,0,0,Davies,Hendricks,-2.0
2019-04-08,2019,CHC,PIT,10.0,0.0,1,1,Brach,Taillon,10.0
2019-04-10,2019,CHC,PIT,2.0,5.0,1,0,Lyles,Darvish,-3.0
2019-04-11,2019,CHC,PIT,2.0,0.0,1,1,Quintana,Musgrove,2.0
2019-04-12,2019,CHC,LAA,5.0,1.0,1,1,Hamels,Skaggs,4.0
2019-04-13,2019,CHC,LAA,5.0,6.0,1,0,Buttrey,Hendricks,-1.0
2019-04-15,2019,CHC,MIA,7.0,2.0,0,1,Darvish,Richards,5.0
2019-04-16,2019,CHC,MIA,4.0,0.0,0,1,Quintana,López,4.0
2019-04-17,2019,CHC,MIA,6.0,0.0,0,1,Hamels,Alcantara,6.0
2019-04-19,2019,CHC,ARI,5.0,1.0,1,1,Hendricks,Kelly,4.0
2019-04-20,2019,CHC,ARI,0.0,6.0,1,0,Greinke,Darvish,-6.0
2019-04-21,2019,CHC,ARI,2.0,1.0,1,1,Strop,Bradley,1.0
2019-04-23,2019,CHC,LAD,7.0,2.0,1,1,Quintana,Maeda,5.0
2019-04-24,2019,CHC,LAD,7.0,6.0,1,1,Brach,Alexander,1.0
2019-04-25,2019,CHC,LAD,1.0,2.0,1,0,Báez,Lester,-1.0
2019-04-26,2019,CHC,ARI,3.0,8.0,0,0,Ray,Hendricks,-5.0
2019-04-27,2019,CHC,ARI,9.0,1.0,0,1,Darvish,Godley,8.0
2019-04-28,2019,CHC,ARI,6.0,5.0,0,1,Chatwood,Andriese,1.0
2019-04-30,2019,CHC,SEA,6.0,5.0,0,1,Brach,Brennan,1.0
2019-05-01,2019,CHC,SEA,11.0,0.0,0,1,Lester,Gonzales,11.0
2019-05-03,2019,CHC,STL,4.0,0.0,1,1,Hendricks,Flaherty,4.0
2019-05-04,2019,CHC,STL,6.0,5.0,1,1,Kintzler,Brebbia,1.0
2019-05-05,2019,CHC,STL,13.0,5.0,1,1,Quintana,Wainwright,8.0
2019-05-06,2019,CHC,MIA,5.0,6.0,1,0,Conley,Strop,-1.0
2019-05-07,2019,CHC,MIA,5.0,2.0,1,1,Cishek,Conley,3.0
2019-05-08,2019,CHC,MIA,3.0,2.0,1,1,Edwards,Quijada,1.0
2019-05-09,2019,CHC,MIA,4.0,1.0,1,1,Montgomery,Richards,3.0
2019-05-10,2019,CHC,MIL,0.0,7.0,1,0,Gonzalez,Quintana,-7.0
2019-05-11,2019,CHC,MIL,2.0,1.0,1,1,Chatwood,Smith,1.0
2019-05-12,2019,CHC,MIL,4.0,1.0,1,1,Lester,Chacín,3.0
2019-05-14,2019,CHC,CIN,3.0,1.0,0,1,Hendricks,Roark,2.0
2019-05-15,2019,CHC,CIN,5.0,6.0,0,0,Garrett,Brach,-1.0
2019-05-16,2019,CHC,CIN,2.0,4.0,0,0,Castillo,Quintana,-2.0
2019-05-17,2019,CHC,WSN,14.0,6.0,0,1,Hamels,Scherzer,8.0
2019-05-18,2019,CHC,WSN,2.0,5.0,0,0,Strasburg,Lester,-3.0
2019-05-19,2019,CHC,WSN,6.0,5.0,0,1,Hendricks,Hellickson,1.0
2019-05-20,2019,CHC,PHI,4.0,5.0,1,0,Neris,Ryan,-1.0
2019-05-21,2019,CHC,PHI,3.0,2.0,1,1,Ryan,Nicasio,1.0
2019-05-22,2019,CHC,PHI,8.0,4.0,1,1,Chatwood,Irvin,4.0
2019-05-23,2019,CHC,PHI,7.0,9.0,1,0,Nola,Lester,-2.0
2019-05-24,2019,CHC,CIN,5.0,6.0,1,0,Hernandez,Cishek,-1.0
2019-05-25,2019,CHC,CIN,8.0,6.0,1,1,Maples,Hughes,2.0
2019-05-26,2019,CHC,CIN,2.0,10.0,1,0,Roark,Quintana,-8.0
2019-05-27,2019,CHC,HOU,5.0,6.0,0,0,Cole,Hamels,-1.0
2019-05-28,2019,CHC,HOU,6.0,9.0,0,0,James,Lester,-3.0
