date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2023-03-30,2023,CHC,MIL,4.0,0.0,1,1,4.0
2023-04-01,2023,CHC,MIL,1.0,3.0,1,0,-2.0
2023-04-02,2023,CHC,MIL,5.0,9.0,1,0,-4.0
2023-04-03,2023,CHC,CIN,6.0,7.0,0,0,-1.0
2023-04-04,2023,CHC,CIN,12.0,5.0,0,1,7.0
2023-04-07,2023,CHC,TEX,2.0,0.0,1,1,2.0
2023-04-08,2023,CHC,TEX,10.0,3.0,1,1,7.0
2023-04-09,2023,CHC,TEX,2.0,8.0,1,0,-6.0
2023-04-10,2023,CHC,SEA,3.0,2.0,1,1,1.0
2023-04-11,2023,CHC,SEA,14.0,9.0,1,1,5.0
2023-04-12,2023,CHC,SEA,2.0,5.0,1,0,-3.0
2023-04-14,2023,CHC,LAD,8.0,2.0,0,1,6.0
2023-04-15,2023,CHC,LAD,1.0,2.0,0,0,-1.0
2023-04-16,2023,CHC,LAD,3.0,2.0,0,1,1.0
2023-04-17,2023,CHC,OAK,10.0,1.0,0,1,9.0
2023-04-18,2023,CHC,OAK,4.0,0.0,0,1,4.0
2023-04-19,2023,CHC,OAK,12.0,2.0,0,1,10.0
2023-04-20,2023,CHC,LAD,2.0,6.0,1,0,-4.0
2023-04-21,2023,CHC,LAD,13.0,0.0,1,1,13.0
2023-04-22,2023,CHC,LAD,4.0,9.0,1,0,-5.0
2023-04-23,2023,CHC,LAD,3.0,7.0,1,0,-4.0
2023-04-25,2023,CHC,SDP,6.0,0.0,1,1,6.0
2023-04-26,2023,CHC,SDP,3.0,5.0,1,0,-2.0
2023-04-27,2023,CHC,SDP,5.0,2.0,1,1,3.0
2023-04-28,2023,CHC,MIA,2.0,3.0,0,0,-1.0
2023-04-29,2023,CHC,MIA,6.0,7.0,0,0,-1.0
2023-04-30,2023,CHC,MIA,3.0,4.0,0,0,-1.0
2023-05-01,2023,CHC,WSN,5.0,1.0,0,1,4.0
2023-05-02,2023,CHC,WSN,1.0,4.0,0,0,-3.0
2023-05-03,2023,CHC,WSN,1.0,2.0,0,0,-1.0
2023-05-04,2023,CHC,WSN,3.0,4.0,0,0,-1.0
2023-05-05,2023,CHC,MIA,4.0,1.0,1,1,3.0
2023-05-06,2023,CHC,MIA,4.0,2.0,1,1,2.0
2023-05-07,2023,CHC,MIA,4.0,5.0,1,0,-1.0
2023-05-08,2023,CHC,STL,1.0,3.0,1,0,-2.0
2023-05-09,2023,CHC,STL,4.0,6.0,1,0,-2.0
2023-05-10,2023,CHC,STL,10.0,4.0,1,1,6.0
2023-05-12,2023,CHC,MIN,6.0,2.0,0,1,4.0
2023-05-13,2023,CHC,MIN,1.0,11.0,0,0,-10.0
2023-05-14,2023,CHC,MIN,3.0,16.0,0,0,-13.0
2023-05-15,2023,CHC,HOU,4.0,6.0,0,0,-2.0
2023-05-16,2023,CHC,HOU,3.0,7.0,0,0,-4.0
2023-05-17,2023,CHC,HOU,6.0,7.0,0,0,-1.0
2023-05-19,2023,CHC,PHI,10.0,1.0,0,1,9.0
2023-05-20,2023,CHC,PHI,3.0,12.0,0,0,-9.0
2023-05-21,2023,CHC,PHI,1.0,2.0,0,0,-1.0
2023-05-23,2023,CHC,NYM,7.0,2.0,1,1,5.0
2023-05-24,2023,CHC,NYM,4.0,2.0,1,1,2.0
2023-05-25,2023,CHC,NYM,1.0,10.0,1,0,-9.0
2023-05-26,2023,CHC,CIN,0.0,9.0,1,0,-9.0
2023-05-27,2023,CHC,CIN,5.0,8.0,1,0,-3.0
2023-05-28,2023,CHC,CIN,5.0,8.0,1,0,-3.0
2023-05-29,2023,CHC,TBR,1.0,0.0,1,1,1.0
2023-05-30,2023,CHC,TBR,2.0,1.0,1,1,1.0
2023-05-31,2023,CHC,TBR,3.0,4.0,1,0,-1.0
2023-06-02,2023,CHC,SDP,2.0,1.0,0,1,1.0
2023-06-03,2023,CHC,SDP,0.0,6.0,0,0,-6.0
2023-06-04,2023,CHC,SDP,7.0,1.0,0,1,6.0
2023-06-05,2023,CHC,SDP,0.0,5.0,0,0,-5.0
2023-06-06,2023,CHC,LAA,4.0,7.0,0,0,-3.0
2023-06-07,2023,CHC,LAA,2.0,6.0,0,0,-4.0
2023-06-08,2023,CHC,LAA,1.0,3.0,0,0,-2.0
2023-06-09,2023,CHC,SFG,3.0,2.0,0,1,1.0
2023-06-10,2023,CHC,SFG,4.0,0.0,0,1,4.0
2023-06-11,2023,CHC,SFG,3.0,13.0,0,0,-10.0
2023-06-13,2023,CHC,PIT,11.0,3.0,1,1,8.0
2023-06-14,2023,CHC,PIT,10.0,6.0,1,1,4.0
2023-06-15,2023,CHC,PIT,7.0,2.0,1,1,5.0
2023-06-16,2023,CHC,BAL,10.0,3.0,1,1,7.0
2023-06-17,2023,CHC,BAL,3.0,2.0,1,1,1.0
2023-06-18,2023,CHC,BAL,3.0,6.0,1,0,-3.0
2023-06-19,2023,CHC,PIT,8.0,0.0,0,1,8.0
2023-06-20,2023,CHC,PIT,4.0,0.0,0,1,4.0
2023-06-21,2023,CHC,PIT,8.0,3.0,0,1,5.0
2023-06-24,2023,CHC,STL,9.0,1.0,0,1,8.0
