date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2024-03-28,2024,CHW,DET,0.0,1.0,1,0,-1.0
2024-03-30,2024,CHW,DET,6.0,7.0,1,0,-1.0
2024-03-31,2024,CHW,DET,2.0,3.0,1,0,-1.0
2024-04-01,2024,CHW,ATL,0.0,9.0,1,0,-9.0
2024-04-02,2024,CHW,ATL,3.0,2.0,1,1,1.0
2024-04-04,2024,CHW,KCR,1.0,10.0,0,0,-9.0
2024-04-05,2024,CHW,KCR,1.0,2.0,0,0,-1.0
2024-04-06,2024,CHW,KCR,0.0,3.0,0,0,-3.0
2024-04-07,2024,CHW,KCR,3.0,5.0,0,0,-2.0
2024-04-08,2024,CHW,CLE,0.0,4.0,0,0,-4.0
2024-04-09,2024,CHW,CLE,7.0,5.0,0,1,2.0
2024-04-10,2024,CHW,CLE,6.0,7.0,0,0,-1.0
2024-04-12,2024,CHW,CIN,1.0,11.0,1,0,-10.0
2024-04-13,2024,CHW,CIN,0.0,5.0,1,0,-5.0
2024-04-14,2024,CHW,CIN,4.0,11.0,1,0,-7.0
2024-04-15,2024,CHW,KCR,0.0,2.0,1,0,-2.0
2024-04-19,2024,CHW,PHI,0.0,7.0,0,0,-7.0
2024-04-20,2024,CHW,PHI,5.0,9.0,0,0,-4.0
2024-04-21,2024,CHW,PHI,2.0,8.0,0,0,-6.0
2024-04-22,2024,CHW,MIN,0.0,7.0,0,0,-7.0
2024-04-23,2024,CHW,MIN,5.0,6.0,0,0,-1.0
2024-04-24,2024,CHW,MIN,3.0,6.0,0,0,-3.0
2024-04-25,2024,CHW,MIN,3.0,6.0,0,0,-3.0
2024-04-26,2024,CHW,TBR,9.0,4.0,1,1,5.0
2024-04-27,2024,CHW,TBR,8.0,7.0,1,1,1.0
2024-04-28,2024,CHW,TBR,4.0,2.0,1,1,2.0
2024-04-29,2024,CHW,MIN,2.0,3.0,1,0,-1.0
2024-04-30,2024,CHW,MIN,5.0,6.0,1,0,-1.0
2024-05-01,2024,CHW,MIN,5.0,10.0,1,0,-5.0
2024-05-03,2024,CHW,STL,0.0,3.0,0,0,-3.0
2024-05-04,2024,CHW,STL,6.0,5.0,0,1,1.0
2024-05-05,2024,CHW,STL,5.0,1.0,0,1,4.0
2024-05-06,2024,CHW,TBR,2.0,8.0,0,0,-6.0
2024-05-07,2024,CHW,TBR,1.0,5.0,0,0,-4.0
2024-05-08,2024,CHW,TBR,4.0,1.0,0,1,3.0
2024-05-09,2024,CHW,CLE,3.0,2.0,1,1,1.0
2024-05-10,2024,CHW,CLE,6.0,3.0,1,1,3.0
2024-05-11,2024,CHW,CLE,3.0,1.0,1,1,2.0
2024-05-12,2024,CHW,CLE,0.0,7.0,1,0,-7.0
2024-05-15,2024,CHW,WSN,2.0,0.0,1,1,2.0
2024-05-17,2024,CHW,NYY,2.0,4.0,0,0,-2.0
2024-05-18,2024,CHW,NYY,1.0,6.0,0,0,-5.0
