date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2025-03-27,2025,CHW,LAA,8.0,1.0,1,1,Burke,Kikuchi,7.0
2025-03-29,2025,CHW,LAA,0.0,1.0,1,0,Soriano,Clevinger,-1.0
2025-03-30,2025,CHW,LAA,2.0,3.0,1,0,Joyce,Booser,-1.0
2025-03-31,2025,CHW,MIN,9.0,0.0,1,1,Pérez,Paddack,9.0
2025-04-01,2025,CHW,MIN,3.0,8.0,1,0,Varland,Murfee,-5.0
2025-04-02,2025,CHW,MIN,1.0,6.0,1,0,López,Burke,-5.0
2025-04-04,2025,CHW,DET,4.0,7.0,0,0,Flaherty,Cannon,-3.0
2025-04-05,2025,CHW,DET,2.0,7.0,0,0,Olson,Martin,-5.0
2025-04-06,2025,CHW,DET,3.0,4.0,0,0,Brebbia,Ellard,-1.0
2025-04-08,2025,CHW,CLE,0.0,1.0,0,0,Clase,Clevinger,-1.0
2025-04-09,2025,CHW,CLE,2.0,3.0,0,0,Sewald,Burke,-1.0
2025-04-10,2025,CHW,CLE,1.0,6.0,0,0,Williams,Cannon,-5.0
2025-04-11,2025,CHW,BOS,11.0,1.0,1,1,Martin,Newcomb,10.0
2025-04-12,2025,CHW,BOS,3.0,2.0,1,1,Gilbert,Chapman,1.0
2025-04-13,2025,CHW,BOS,1.0,3.0,1,0,Crochet,Smith,-2.0
2025-04-15,2025,CHW,ATH,3.0,12.0,1,0,Springs,Burke,-9.0
2025-04-16,2025,CHW,ATH,1.0,3.0,1,0,Bido,Gilbert,-2.0
2025-04-17,2025,CHW,ATH,0.0,8.0,1,0,Sears,Martin,-8.0
2025-04-18,2025,CHW,BOS,3.0,10.0,0,0,Dobbins,Pérez,-7.0
2025-04-19,2025,CHW,BOS,3.0,4.0,0,0,Whitlock,Vasil,-1.0
2025-04-20,2025,CHW,BOS,8.0,4.0,0,1,Eisert,Kelly,4.0
