date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2020-07-24,2020,CIN,DET,7.0,1.0,1,1,6.0
2020-07-25,2020,CIN,DET,4.0,6.0,1,0,-2.0
2020-07-26,2020,CIN,DET,2.0,3.0,1,0,-1.0
2020-07-27,2020,CIN,CHC,7.0,8.0,1,0,-1.0
2020-07-28,2020,CIN,CHC,5.0,8.0,1,0,-3.0
2020-07-29,2020,CIN,CHC,12.0,7.0,1,1,5.0
2020-07-31,2020,CIN,DET,2.0,7.0,0,0,-5.0
2020-08-03,2020,CIN,CLE,3.0,2.0,1,1,1.0
2020-08-04,2020,CIN,CLE,2.0,4.0,1,0,-2.0
2020-08-05,2020,CIN,CLE,0.0,2.0,0,0,-2.0
2020-08-06,2020,CIN,CLE,0.0,13.0,0,0,-13.0
2020-08-07,2020,CIN,MIL,8.0,3.0,0,1,5.0
2020-08-08,2020,CIN,MIL,4.0,1.0,0,1,3.0
2020-08-09,2020,CIN,MIL,3.0,9.0,0,0,-6.0
2020-08-11,2020,CIN,KCR,6.0,5.0,1,1,1.0
2020-08-12,2020,CIN,KCR,4.0,5.0,1,0,-1.0
2020-08-13,2020,CIN,PIT,6.0,9.0,1,0,-3.0
2020-08-14,2020,CIN,PIT,8.0,1.0,1,1,7.0
2020-08-20,2020,CIN,STL,4.0,5.0,0,0,-1.0
2020-08-21,2020,CIN,STL,4.0,2.0,0,1,2.0
2020-08-22,2020,CIN,STL,0.0,3.0,0,0,-3.0
2020-08-23,2020,CIN,STL,2.0,6.0,0,0,-4.0
2020-08-24,2020,CIN,MIL,2.0,4.0,0,0,-2.0
2020-08-25,2020,CIN,MIL,2.0,3.0,0,0,-1.0
2020-08-28,2020,CIN,CHC,6.0,5.0,1,1,1.0
2020-08-30,2020,CIN,CHC,1.0,10.0,1,0,-9.0
2020-08-31,2020,CIN,STL,5.0,7.0,1,0,-2.0
2020-09-01,2020,CIN,STL,2.0,16.0,1,0,-14.0
2020-09-02,2020,CIN,STL,4.0,3.0,1,1,1.0
2020-09-05,2020,CIN,PIT,6.0,2.0,0,1,4.0
2020-09-06,2020,CIN,PIT,2.0,3.0,0,0,-1.0
2020-09-08,2020,CIN,CHC,0.0,3.0,0,0,-3.0
2020-09-09,2020,CIN,CHC,3.0,0.0,0,1,3.0
2020-09-10,2020,CIN,CHC,5.0,8.0,0,0,-3.0
2020-09-11,2020,CIN,STL,3.0,1.0,0,1,2.0
2020-09-12,2020,CIN,STL,1.0,7.0,0,0,-6.0
2020-09-13,2020,CIN,STL,10.0,5.0,0,1,5.0
2020-09-15,2020,CIN,PIT,4.0,1.0,1,1,3.0
2020-09-16,2020,CIN,PIT,1.0,0.0,1,1,1.0
2020-09-18,2020,CIN,CHW,7.0,1.0,1,1,6.0
2020-09-19,2020,CIN,CHW,0.0,5.0,1,0,-5.0
2020-09-20,2020,CIN,CHW,7.0,3.0,1,1,4.0
2020-09-21,2020,CIN,MIL,6.0,3.0,1,1,3.0
2020-09-22,2020,CIN,MIL,2.0,3.0,1,0,-1.0
2020-09-23,2020,CIN,MIL,6.0,1.0,1,1,5.0
2020-09-25,2020,CIN,MIN,7.0,2.0,0,1,5.0
2020-09-26,2020,CIN,MIN,3.0,7.0,0,0,-4.0
