date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2021-04-01,2021,CIN,STL,6.0,11.0,1,0,Gallegos,Castillo,-5.0
2021-04-03,2021,CIN,STL,9.0,6.0,1,1,Mahle,Wainwright,3.0
2021-04-04,2021,CIN,STL,12.0,1.0,1,1,Hoffman,Martínez,11.0
2021-04-05,2021,CIN,PIT,5.0,3.0,1,1,Doolittle,Howard,2.0
2021-04-06,2021,CIN,PIT,14.0,1.0,1,1,Miley,Cahill,13.0
2021-04-07,2021,CIN,PIT,11.0,4.0,1,1,Castillo,Kuhl,7.0
2021-04-09,2021,CIN,ARI,6.0,5.0,0,1,Pérez,Young,1.0
2021-04-10,2021,CIN,ARI,3.0,8.0,0,0,Smith,Hoffman,-5.0
2021-04-11,2021,CIN,ARI,0.0,7.0,0,0,Weaver,De León,-7.0
2021-04-12,2021,CIN,SFG,3.0,0.0,0,1,Miley,Sanchez,3.0
2021-04-13,2021,CIN,SFG,6.0,7.0,0,0,Peralta,Pérez,-1.0
2021-04-14,2021,CIN,SFG,0.0,3.0,0,0,Cueto,Mahle,-3.0
2021-04-16,2021,CIN,CLE,10.0,3.0,1,1,Hoffman,Allen,7.0
2021-04-17,2021,CIN,CLE,3.0,2.0,1,1,Doolittle,Pérez,1.0
2021-04-18,2021,CIN,CLE,3.0,6.0,1,0,Bieber,Miley,-3.0
2021-04-20,2021,CIN,ARI,4.0,5.0,1,0,Bukauskas,Garrett,-1.0
2021-04-21,2021,CIN,ARI,5.0,8.0,1,0,Clarke,Pérez,-3.0
2021-04-22,2021,CIN,ARI,11.0,14.0,1,0,Smith,Sims,-3.0
2021-04-23,2021,CIN,STL,4.0,5.0,0,0,Kim,Gray,-1.0
2021-04-24,2021,CIN,STL,0.0,2.0,0,0,Gant,Miley,-2.0
2021-04-25,2021,CIN,STL,2.0,5.0,0,0,Flaherty,Castillo,-3.0
2021-04-26,2021,CIN,LAD,5.0,3.0,0,1,Antone,Jansen,2.0
2021-04-27,2021,CIN,LAD,6.0,5.0,0,1,Hendrix,Alexander,1.0
2021-04-28,2021,CIN,LAD,0.0,8.0,0,0,Kershaw,Gray,-8.0
2021-04-30,2021,CIN,CHC,8.0,6.0,1,1,Miley,Arrieta,2.0
2021-05-01,2021,CIN,CHC,2.0,3.0,1,0,Brothers,Castillo,-1.0
2021-05-02,2021,CIN,CHC,13.0,12.0,1,1,Hendrix,Kimbrel,1.0
2021-05-04,2021,CIN,CHW,0.0,9.0,1,0,Cease,Hoffman,-9.0
2021-05-05,2021,CIN,CHW,1.0,0.0,1,1,Sims,Hendriks,1.0
2021-05-07,2021,CIN,CLE,3.0,0.0,0,1,Miley,Clase,3.0
2021-05-08,2021,CIN,CLE,2.0,9.0,0,0,Civale,Castillo,-7.0
2021-05-10,2021,CIN,PIT,14.0,1.0,0,1,Mahle,Keller,13.0
2021-05-11,2021,CIN,PIT,2.0,7.0,0,0,Brubaker,Hoffman,-5.0
2021-05-12,2021,CIN,PIT,5.0,1.0,0,1,Sims,Underwood,4.0
2021-05-13,2021,CIN,COL,8.0,13.0,0,0,González,Castillo,-5.0
2021-05-14,2021,CIN,COL,6.0,9.0,0,0,Márquez,Miley,-3.0
2021-05-15,2021,CIN,COL,6.0,5.0,0,1,Sims,Santos,1.0
2021-05-16,2021,CIN,COL,7.0,6.0,0,1,Doolittle,Givens,1.0
2021-05-17,2021,CIN,SFG,3.0,6.0,1,0,Webb,Gray,-3.0
2021-05-18,2021,CIN,SFG,2.0,4.0,1,0,DeSclafani,Castillo,-2.0
2021-05-19,2021,CIN,SFG,0.0,4.0,1,0,Gausman,Miley,-4.0
2021-05-20,2021,CIN,SFG,4.0,19.0,1,0,Cueto,Mahle,-15.0
2021-05-21,2021,CIN,MIL,9.0,4.0,1,1,Hoffman,Houser,5.0
2021-05-22,2021,CIN,MIL,3.0,4.0,1,0,Suter,Hembree,-1.0
2021-05-23,2021,CIN,MIL,4.0,9.0,1,0,Boxberger,Castillo,-5.0
2021-05-25,2021,CIN,WSN,2.0,1.0,0,1,Mahle,Scherzer,1.0
2021-05-26,2021,CIN,WSN,3.0,5.0,0,0,Voth,Hoffman,-2.0
2021-05-27,2021,CIN,WSN,3.0,0.0,0,1,Gray,Strasburg,3.0
2021-05-28,2021,CIN,CHC,0.0,1.0,0,0,Alzolay,Gutierrez,-1.0
2021-05-29,2021,CIN,CHC,2.0,10.0,0,0,Thompson,Castillo,-8.0
2021-05-30,2021,CIN,CHC,5.0,1.0,0,1,Mahle,Arrieta,4.0
2021-05-31,2021,CIN,PHI,11.0,1.0,1,1,Miley,Velasquez,10.0
2021-06-01,2021,CIN,PHI,3.0,17.0,1,0,Nola,Gray,-14.0
2021-06-03,2021,CIN,STL,4.0,2.0,0,1,Gutierrez,Wainwright,2.0
2021-06-04,2021,CIN,STL,6.0,4.0,0,1,Castillo,Kim,2.0
2021-06-05,2021,CIN,STL,5.0,2.0,0,1,Mahle,Helsley,3.0
2021-06-06,2021,CIN,STL,8.0,7.0,0,1,Hembree,Reyes,1.0
2021-06-08,2021,CIN,MIL,1.0,5.0,1,0,Houser,Hendrix,-4.0
2021-06-09,2021,CIN,MIL,7.0,3.0,1,1,Gutierrez,Anderson,4.0
2021-06-10,2021,CIN,MIL,2.0,7.0,1,0,Suter,Castillo,-5.0
2021-06-11,2021,CIN,COL,11.0,5.0,1,1,Mahle,Freeland,6.0
2021-06-12,2021,CIN,COL,10.0,3.0,1,1,Miley,Márquez,7.0
2021-06-13,2021,CIN,COL,6.0,2.0,1,1,Hendrix,Senzatela,4.0
2021-06-14,2021,CIN,MIL,10.0,2.0,0,1,Gutierrez,Lauer,8.0
2021-06-15,2021,CIN,MIL,2.0,1.0,0,1,Sims,Boxberger,1.0
2021-06-16,2021,CIN,MIL,2.0,1.0,0,1,Mahle,Peralta,1.0
2021-06-17,2021,CIN,SDP,4.0,6.0,0,0,Johnson,Garrett,-2.0
2021-06-18,2021,CIN,SDP,2.0,8.0,0,0,Paddack,Santillan,-6.0
2021-06-19,2021,CIN,SDP,5.0,7.0,0,0,Crismatt,Hembree,-2.0
2021-06-20,2021,CIN,SDP,2.0,3.0,0,0,Lamet,Castillo,-1.0
