date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2024-03-28,2024,CLE,OAK,8.0,0.0,0,1,Bieber,Wood,8.0
2024-03-29,2024,CLE,OAK,6.0,4.0,0,1,Allen,Stripling,2.0
2024-03-30,2024,CLE,OAK,12.0,3.0,0,1,Sandlin,Sears,9.0
2024-03-31,2024,CLE,OAK,3.0,4.0,0,0,Jiménez,Barlow,-1.0
2024-04-01,2024,CLE,SEA,4.0,5.0,0,0,Hancock,McKenzie,-1.0
2024-04-02,2024,CLE,SEA,5.0,2.0,0,1,Bieber,Castillo,3.0
2024-04-03,2024,CLE,SEA,8.0,0.0,0,1,Allen,Kirby,8.0
2024-04-04,2024,CLE,MIN,4.0,2.0,0,1,Bibee,López,2.0
2024-04-06,2024,CLE,MIN,3.0,1.0,0,1,Sandlin,Ryan,2.0
2024-04-08,2024,CLE,CHW,4.0,0.0,1,1,McKenzie,Banks,4.0
2024-04-09,2024,CLE,CHW,5.0,7.0,1,0,Wilson,Barlow,-2.0
2024-04-10,2024,CLE,CHW,7.0,6.0,1,1,Morgan,Shaw,1.0
2024-04-14,2024,CLE,NYY,8.0,7.0,1,1,Beede,Ferguson,1.0
2024-04-15,2024,CLE,BOS,6.0,0.0,0,1,Herrin,Bernardino,6.0
2024-04-16,2024,CLE,BOS,10.0,7.0,0,1,Clase,Winckowski,3.0
2024-04-17,2024,CLE,BOS,0.0,2.0,0,0,Houck,Lively,-2.0
2024-04-18,2024,CLE,BOS,5.0,4.0,0,1,Carrasco,Criswell,1.0
2024-04-19,2024,CLE,OAK,10.0,2.0,1,1,McKenzie,Boyle,8.0
2024-04-20,2024,CLE,OAK,6.0,3.0,1,1,Allen,Wood,3.0
2024-04-21,2024,CLE,OAK,6.0,2.0,1,1,Bibee,Stripling,4.0
2024-04-23,2024,CLE,BOS,4.0,1.0,1,1,Barlow,Houck,3.0
2024-04-24,2024,CLE,BOS,0.0,8.0,1,0,Criswell,Carrasco,-8.0
2024-04-25,2024,CLE,BOS,6.0,4.0,1,1,Gaddis,Anderson,2.0
2024-04-26,2024,CLE,ATL,2.0,6.0,0,0,Sale,Allen,-4.0
