date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2023-03-30,2023,COL,SDP,7.0,2.0,0,1,5.0
2023-03-31,2023,COL,SDP,4.0,1.0,0,1,3.0
2023-04-01,2023,COL,SDP,4.0,8.0,0,0,-4.0
2023-04-02,2023,COL,SDP,1.0,3.0,0,0,-2.0
2023-04-03,2023,COL,LAD,4.0,13.0,0,0,-9.0
2023-04-04,2023,COL,LAD,2.0,5.0,0,0,-3.0
2023-04-06,2023,COL,WSN,1.0,0.0,1,1,1.0
2023-04-07,2023,COL,WSN,5.0,10.0,1,0,-5.0
2023-04-08,2023,COL,WSN,6.0,7.0,1,0,-1.0
2023-04-09,2023,COL,WSN,7.0,6.0,1,1,1.0
2023-04-10,2023,COL,STL,7.0,4.0,1,1,3.0
2023-04-11,2023,COL,STL,6.0,9.0,1,0,-3.0
2023-04-12,2023,COL,STL,4.0,7.0,1,0,-3.0
2023-04-14,2023,COL,SEA,3.0,5.0,0,0,-2.0
2023-04-15,2023,COL,SEA,2.0,9.0,0,0,-7.0
2023-04-16,2023,COL,SEA,0.0,1.0,0,0,-1.0
2023-04-17,2023,COL,PIT,3.0,14.0,1,0,-11.0
2023-04-18,2023,COL,PIT,3.0,5.0,1,0,-2.0
2023-04-19,2023,COL,PIT,3.0,14.0,1,0,-11.0
2023-04-20,2023,COL,PHI,5.0,0.0,0,1,5.0
2023-04-21,2023,COL,PHI,3.0,4.0,0,0,-1.0
2023-04-22,2023,COL,PHI,3.0,4.0,0,0,-1.0
2023-04-23,2023,COL,PHI,3.0,9.0,0,0,-6.0
2023-04-24,2023,COL,CLE,6.0,0.0,0,1,6.0
2023-04-25,2023,COL,CLE,5.0,1.0,0,1,4.0
2023-04-26,2023,COL,CLE,1.0,4.0,0,0,-3.0
2023-04-28,2023,COL,ARI,1.0,9.0,1,0,-8.0
2023-04-29,2023,COL,ARI,4.0,11.0,1,0,-7.0
2023-04-30,2023,COL,ARI,12.0,4.0,1,1,8.0
2023-05-02,2023,COL,MIL,3.0,2.0,1,1,1.0
2023-05-03,2023,COL,MIL,7.0,1.0,1,1,6.0
2023-05-04,2023,COL,MIL,9.0,6.0,1,1,3.0
2023-05-05,2023,COL,NYM,0.0,1.0,0,0,-1.0
2023-05-06,2023,COL,NYM,5.0,2.0,0,1,3.0
2023-05-07,2023,COL,NYM,13.0,6.0,0,1,7.0
2023-05-08,2023,COL,PIT,0.0,2.0,0,0,-2.0
2023-05-09,2023,COL,PIT,10.0,1.0,0,1,9.0
