date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2025-03-28,2025,COL,TBR,2.0,3.0,0,0,Fairbanks,Vodnik,-1.0
2025-03-29,2025,COL,TBR,2.0,1.0,0,1,Peralta,Littell,1.0
2025-03-30,2025,COL,TBR,4.0,6.0,0,0,Bradley,Peralta,-2.0
2025-03-31,2025,COL,PHI,1.0,6.0,0,0,Ross,Alexander,-5.0
2025-04-02,2025,COL,PHI,1.0,5.0,0,0,Wheeler,Freeland,-4.0
2025-04-03,2025,COL,PHI,1.0,3.0,0,0,Walker,Senzatela,-2.0
2025-04-04,2025,COL,ATH,3.0,6.0,1,0,Murdock,Chivilli,-3.0
2025-04-05,2025,COL,ATH,4.0,7.0,1,0,Sears,Márquez,-3.0
2025-04-06,2025,COL,ATH,12.0,5.0,1,1,Dollander,Estes,7.0
2025-04-08,2025,COL,MIL,1.0,7.0,1,0,Peralta,Freeland,-6.0
2025-04-09,2025,COL,MIL,2.0,17.0,1,0,Anderson,Senzatela,-15.0
2025-04-10,2025,COL,MIL,7.0,2.0,1,1,Alexander,Payamps,5.0
2025-04-11,2025,COL,SDP,0.0,8.0,0,0,Pivetta,Márquez,-8.0
2025-04-12,2025,COL,SDP,0.0,2.0,0,0,Hart,Dollander,-2.0
2025-04-13,2025,COL,SDP,0.0,6.0,0,0,King,Freeland,-6.0
2025-04-14,2025,COL,LAD,3.0,5.0,0,0,May,Senzatela,-2.0
2025-04-15,2025,COL,LAD,2.0,6.0,0,0,Dreyer,Feltner,-4.0
2025-04-16,2025,COL,LAD,7.0,8.0,0,0,Casparius,Márquez,-1.0
2025-04-19,2025,COL,WSN,11.0,12.0,1,0,Gore,Dollander,-1.0
2025-04-22,2025,COL,KCR,3.0,4.0,0,0,Lynch,Kinley,-1.0
2025-04-25,2025,COL,CIN,7.0,8.0,1,0,Ashcraft,Chivilli,-1.0
2025-04-26,2025,COL,CIN,4.0,6.0,1,0,Greene,Senzatela,-2.0
2025-04-27,2025,COL,CIN,1.0,8.0,1,0,Lodolo,Blalock,-7.0
2025-04-28,2025,COL,ATL,3.0,6.0,1,0,Elder,Feltner,-3.0
2025-04-29,2025,COL,ATL,2.0,8.0,1,0,Smith-Shawver,Márquez,-6.0
2025-04-30,2025,COL,ATL,2.0,1.0,1,1,Dollander,Sale,1.0
2025-05-01,2025,COL,SFG,4.0,3.0,0,1,Chivilli,Rogers,1.0
2025-05-02,2025,COL,SFG,0.0,4.0,0,0,Ray,Senzatela,-4.0
2025-05-03,2025,COL,SFG,3.0,6.0,0,0,Rodríguez,Bird,-3.0
2025-05-04,2025,COL,SFG,3.0,9.0,0,0,Webb,Márquez,-6.0
2025-05-07,2025,COL,DET,6.0,8.0,1,0,Vest,Agnos,-2.0
2025-05-09,2025,COL,SDP,9.0,13.0,1,0,Vásquez,Senzatela,-4.0
2025-05-10,2025,COL,SDP,0.0,21.0,1,0,Kolek,Blalock,-21.0
2025-05-11,2025,COL,SDP,9.0,3.0,1,1,Márquez,Pivetta,6.0
