date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2021-04-01,2021,HOU,OAK,8.0,1.0,0,1,7.0
2021-04-02,2021,HOU,OAK,9.0,5.0,0,1,4.0
2021-04-03,2021,HOU,OAK,9.0,1.0,0,1,8.0
2021-04-04,2021,HOU,OAK,9.0,2.0,0,1,7.0
2021-04-05,2021,HOU,LAA,6.0,7.0,0,0,-1.0
2021-04-06,2021,HOU,LAA,4.0,2.0,0,1,2.0
2021-04-08,2021,HOU,OAK,6.0,2.0,1,1,4.0
2021-04-09,2021,HOU,OAK,2.0,6.0,1,0,-4.0
2021-04-10,2021,HOU,OAK,3.0,7.0,1,0,-4.0
2021-04-12,2021,HOU,DET,2.0,6.0,1,0,-4.0
2021-04-13,2021,HOU,DET,2.0,8.0,1,0,-6.0
2021-04-14,2021,HOU,DET,4.0,6.0,1,0,-2.0
2021-04-16,2021,HOU,SEA,5.0,6.0,0,0,-1.0
2021-04-17,2021,HOU,SEA,1.0,0.0,0,1,1.0
2021-04-18,2021,HOU,SEA,2.0,7.0,0,0,-5.0
2021-04-20,2021,HOU,COL,2.0,6.0,0,0,-4.0
2021-04-21,2021,HOU,COL,3.0,6.0,0,0,-3.0
2021-04-22,2021,HOU,LAA,8.0,2.0,1,1,6.0
2021-04-23,2021,HOU,LAA,5.0,4.0,1,1,1.0
2021-04-24,2021,HOU,LAA,16.0,2.0,1,1,14.0
2021-04-25,2021,HOU,LAA,2.0,4.0,1,0,-2.0
2021-04-26,2021,HOU,SEA,5.0,2.0,1,1,3.0
2021-04-27,2021,HOU,SEA,2.0,0.0,1,1,2.0
2021-04-28,2021,HOU,SEA,7.0,5.0,1,1,2.0
2021-04-29,2021,HOU,SEA,0.0,1.0,1,0,-1.0
2021-04-30,2021,HOU,TBR,9.0,2.0,0,1,7.0
2021-05-01,2021,HOU,TBR,3.0,1.0,0,1,2.0
2021-05-02,2021,HOU,TBR,4.0,5.0,0,0,-1.0
2021-05-04,2021,HOU,NYY,3.0,7.0,0,0,-4.0
2021-05-05,2021,HOU,NYY,3.0,6.0,0,0,-3.0
2021-05-06,2021,HOU,NYY,7.0,4.0,0,1,3.0
2021-05-07,2021,HOU,TOR,10.0,4.0,1,1,6.0
2021-05-08,2021,HOU,TOR,4.0,8.0,1,0,-4.0
2021-05-09,2021,HOU,TOR,7.0,4.0,1,1,3.0
2021-05-10,2021,HOU,LAA,4.0,5.0,1,0,-1.0
2021-05-11,2021,HOU,LAA,5.0,1.0,1,1,4.0
2021-05-12,2021,HOU,LAA,9.0,1.0,1,1,8.0
2021-05-13,2021,HOU,TEX,4.0,3.0,1,1,1.0
2021-05-14,2021,HOU,TEX,10.0,4.0,1,1,6.0
2021-05-15,2021,HOU,TEX,6.0,5.0,1,1,1.0
2021-05-16,2021,HOU,TEX,6.0,2.0,1,1,4.0
2021-05-18,2021,HOU,OAK,5.0,6.0,0,0,-1.0
2021-05-19,2021,HOU,OAK,8.0,1.0,0,1,7.0
2021-05-20,2021,HOU,OAK,8.0,4.0,0,1,4.0
2021-05-21,2021,HOU,TEX,5.0,7.0,0,0,-2.0
2021-05-22,2021,HOU,TEX,4.0,8.0,0,0,-4.0
2021-05-23,2021,HOU,TEX,2.0,3.0,0,0,-1.0
2021-05-25,2021,HOU,LAD,2.0,9.0,1,0,-7.0
2021-05-26,2021,HOU,LAD,5.0,2.0,1,1,3.0
2021-05-28,2021,HOU,SDP,3.0,10.0,1,0,-7.0
2021-05-29,2021,HOU,SDP,8.0,11.0,1,0,-3.0
2021-05-30,2021,HOU,SDP,7.0,4.0,1,1,3.0
2021-05-31,2021,HOU,BOS,11.0,2.0,1,1,9.0
2021-06-01,2021,HOU,BOS,5.0,1.0,1,1,4.0
2021-06-02,2021,HOU,BOS,2.0,1.0,1,1,1.0
2021-06-03,2021,HOU,BOS,1.0,5.0,1,0,-4.0
2021-06-04,2021,HOU,TOR,13.0,1.0,0,1,12.0
2021-06-05,2021,HOU,TOR,2.0,6.0,0,0,-4.0
2021-06-06,2021,HOU,TOR,6.0,3.0,0,1,3.0
2021-06-08,2021,HOU,BOS,7.0,1.0,0,1,6.0
2021-06-09,2021,HOU,BOS,8.0,3.0,0,1,5.0
2021-06-10,2021,HOU,BOS,8.0,12.0,0,0,-4.0
2021-06-11,2021,HOU,MIN,6.0,4.0,0,1,2.0
2021-06-12,2021,HOU,MIN,2.0,5.0,0,0,-3.0
2021-06-13,2021,HOU,MIN,14.0,3.0,0,1,11.0
2021-06-15,2021,HOU,TEX,6.0,3.0,1,1,3.0
2021-06-16,2021,HOU,TEX,8.0,4.0,1,1,4.0
2021-06-17,2021,HOU,CHW,10.0,2.0,1,1,8.0
2021-06-18,2021,HOU,CHW,2.0,1.0,1,1,1.0
2021-06-19,2021,HOU,CHW,7.0,3.0,1,1,4.0
2021-06-20,2021,HOU,CHW,8.0,2.0,1,1,6.0
2021-06-21,2021,HOU,BAL,10.0,2.0,0,1,8.0
2021-06-22,2021,HOU,BAL,3.0,1.0,0,1,2.0
2021-06-23,2021,HOU,BAL,13.0,0.0,0,1,13.0
2021-06-24,2021,HOU,DET,12.0,3.0,0,1,9.0
2021-06-27,2021,HOU,DET,1.0,2.0,0,0,-1.0
2021-06-28,2021,HOU,BAL,7.0,9.0,1,0,-2.0
2021-06-29,2021,HOU,BAL,3.0,13.0,1,0,-10.0
2021-06-30,2021,HOU,BAL,2.0,5.0,1,0,-3.0
2021-07-01,2021,HOU,CLE,7.0,2.0,0,1,5.0
2021-07-02,2021,HOU,CLE,6.0,3.0,0,1,3.0
2021-07-03,2021,HOU,CLE,3.0,2.0,0,1,1.0
2021-07-04,2021,HOU,CLE,4.0,3.0,0,1,1.0
2021-07-06,2021,HOU,OAK,9.0,6.0,1,1,3.0
2021-07-07,2021,HOU,OAK,4.0,3.0,1,1,1.0
2021-07-08,2021,HOU,OAK,1.0,2.0,1,0,-1.0
2021-07-09,2021,HOU,NYY,0.0,4.0,1,0,-4.0
2021-07-10,2021,HOU,NYY,0.0,1.0,1,0,-1.0
2021-07-11,2021,HOU,NYY,8.0,7.0,1,1,1.0
2021-07-16,2021,HOU,CHW,7.0,1.0,0,1,6.0
2021-07-17,2021,HOU,CHW,1.0,10.0,0,0,-9.0
2021-07-18,2021,HOU,CHW,0.0,4.0,0,0,-4.0
2021-07-19,2021,HOU,CLE,4.0,3.0,1,1,1.0
2021-07-20,2021,HOU,CLE,9.0,3.0,1,1,6.0
2021-07-21,2021,HOU,CLE,4.0,5.0,1,0,-1.0
2021-07-23,2021,HOU,TEX,7.0,3.0,1,1,4.0
2021-07-24,2021,HOU,TEX,4.0,1.0,1,1,3.0
2021-07-25,2021,HOU,TEX,3.0,1.0,1,1,2.0
2021-07-26,2021,HOU,SEA,8.0,11.0,0,0,-3.0
2021-07-27,2021,HOU,SEA,8.0,6.0,0,1,2.0
2021-07-28,2021,HOU,SEA,11.0,4.0,0,1,7.0
2021-07-30,2021,HOU,SFG,9.0,6.0,0,1,3.0
2021-07-31,2021,HOU,SFG,6.0,8.0,0,0,-2.0
2021-08-01,2021,HOU,SFG,3.0,5.0,0,0,-2.0
2021-08-03,2021,HOU,LAD,3.0,0.0,0,1,3.0
2021-08-04,2021,HOU,LAD,5.0,7.0,0,0,-2.0
2021-08-05,2021,HOU,MIN,3.0,5.0,1,0,-2.0
