date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2023-03-30,2023,HOU,CHW,2.0,3.0,1,0,Graveman,Pressly,-1.0
2023-03-31,2023,HOU,CHW,6.0,3.0,1,1,Martinez,Graveman,3.0
2023-04-01,2023,HOU,CHW,6.0,4.0,1,1,Stanek,Kelly,2.0
2023-04-02,2023,HOU,CHW,3.0,6.0,1,0,Clevinger,Garcia,-3.0
2023-04-03,2023,HOU,DET,6.0,7.0,1,0,Wingenter,Neris,-1.0
2023-04-04,2023,HOU,DET,3.0,6.0,1,0,Manning,Valdez,-3.0
2023-04-05,2023,HOU,DET,8.0,2.0,1,1,Javier,Rodríguez,6.0
2023-04-07,2023,HOU,MIN,2.0,3.0,0,0,López,Stanek,-1.0
2023-04-08,2023,HOU,MIN,6.0,9.0,0,0,Ryan,Martinez,-3.0
2023-04-09,2023,HOU,MIN,5.0,1.0,0,1,Brown,Mahle,4.0
2023-04-10,2023,HOU,PIT,8.0,2.0,0,1,Valdez,Contreras,6.0
2023-04-11,2023,HOU,PIT,4.0,7.0,0,0,Bednar,Pressly,-3.0
2023-04-12,2023,HOU,PIT,7.0,0.0,0,1,Urquidy,Hill,7.0
2023-04-14,2023,HOU,TEX,2.0,6.0,1,0,Pérez,Garcia,-4.0
2023-04-15,2023,HOU,TEX,8.0,2.0,1,1,Brown,Ragans,6.0
2023-04-16,2023,HOU,TEX,1.0,9.0,1,0,Burke,Valdez,-8.0
2023-04-17,2023,HOU,TOR,9.0,2.0,1,1,Javier,Gausman,7.0
2023-04-18,2023,HOU,TOR,2.0,4.0,1,0,Bassitt,Urquidy,-2.0
2023-04-19,2023,HOU,TOR,8.0,1.0,1,1,Garcia,Berríos,7.0
2023-04-21,2023,HOU,ATL,6.0,4.0,0,1,Neris,Minter,2.0
2023-04-22,2023,HOU,ATL,6.0,3.0,0,1,Valdez,Wright,3.0
2023-04-23,2023,HOU,ATL,5.0,2.0,0,1,Neris,Minter,3.0
2023-04-24,2023,HOU,TBR,3.0,8.0,0,0,Bradley,Urquidy,-5.0
2023-04-25,2023,HOU,TBR,5.0,0.0,0,1,Garcia,Rasmussen,5.0
2023-04-26,2023,HOU,TBR,1.0,0.0,0,1,Brown,Faucher,1.0
2023-04-28,2023,HOU,PHI,1.0,3.0,1,0,Nola,Valdez,-2.0
2023-04-29,2023,HOU,PHI,1.0,6.0,1,0,Wheeler,Javier,-5.0
2023-04-30,2023,HOU,PHI,4.0,3.0,1,1,Urquidy,Falter,1.0
2023-05-01,2023,HOU,SFG,7.0,3.0,1,1,Stanek,Hjelle,4.0
2023-05-02,2023,HOU,SFG,0.0,2.0,1,0,DeSclafani,Brown,-2.0
2023-05-03,2023,HOU,SFG,2.0,4.0,1,0,Webb,Valdez,-2.0
2023-05-05,2023,HOU,SEA,6.0,4.0,0,1,Abreu,Brash,2.0
2023-05-06,2023,HOU,SEA,5.0,7.0,0,0,Saucedo,Montero,-2.0
2023-05-07,2023,HOU,SEA,1.0,3.0,0,0,Miller,Bielak,-2.0
2023-05-08,2023,HOU,LAA,4.0,6.0,0,0,Moore,Montero,-2.0
2023-05-09,2023,HOU,LAA,3.0,1.0,0,1,Valdez,Ohtani,2.0
2023-05-10,2023,HOU,LAA,5.0,4.0,0,1,Javier,Canning,1.0
2023-05-12,2023,HOU,CHW,5.0,1.0,0,1,France,Kopech,4.0
2023-05-13,2023,HOU,CHW,1.0,3.0,0,0,Kelly,Montero,-2.0
2023-05-14,2023,HOU,CHW,4.0,3.0,0,1,Brown,Giolito,1.0
