date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2022-04-07,2022,KCR,CLE,3.0,1.0,1,1,2.0
2022-04-09,2022,KCR,CLE,1.0,0.0,1,1,1.0
2022-04-10,2022,KCR,CLE,3.0,17.0,1,0,-14.0
2022-04-11,2022,KCR,CLE,7.0,10.0,1,0,-3.0
2022-04-12,2022,KCR,STL,5.0,6.0,0,0,-1.0
2022-04-14,2022,KCR,DET,2.0,4.0,1,0,-2.0
2022-04-15,2022,KCR,DET,1.0,2.0,1,0,-1.0
2022-04-16,2022,KCR,DET,3.0,1.0,1,1,2.0
2022-04-19,2022,KCR,MIN,4.0,3.0,1,1,1.0
2022-04-20,2022,KCR,MIN,2.0,0.0,1,1,2.0
2022-04-21,2022,KCR,MIN,0.0,1.0,1,0,-1.0
2022-04-22,2022,KCR,SEA,1.0,4.0,0,0,-3.0
2022-04-23,2022,KCR,SEA,7.0,13.0,0,0,-6.0
2022-04-24,2022,KCR,SEA,4.0,5.0,0,0,-1.0
2022-04-26,2022,KCR,CHW,6.0,0.0,0,1,6.0
2022-04-27,2022,KCR,CHW,3.0,7.0,0,0,-4.0
2022-04-28,2022,KCR,CHW,5.0,2.0,0,1,3.0
2022-04-29,2022,KCR,NYY,2.0,12.0,1,0,-10.0
2022-04-30,2022,KCR,NYY,0.0,3.0,1,0,-3.0
2022-05-01,2022,KCR,NYY,4.0,6.0,1,0,-2.0
2022-05-02,2022,KCR,STL,0.0,1.0,0,0,-1.0
2022-05-03,2022,KCR,STL,7.0,1.0,1,1,6.0
2022-05-04,2022,KCR,STL,0.0,10.0,1,0,-10.0
2022-05-09,2022,KCR,BAL,1.0,6.0,0,0,-5.0
2022-05-10,2022,KCR,TEX,4.0,6.0,0,0,-2.0
2022-05-11,2022,KCR,TEX,8.0,2.0,0,1,6.0
2022-05-12,2022,KCR,TEX,1.0,3.0,0,0,-2.0
2022-05-13,2022,KCR,COL,14.0,10.0,0,1,4.0
2022-05-14,2022,KCR,COL,4.0,10.0,0,0,-6.0
2022-05-15,2022,KCR,COL,8.0,7.0,0,1,1.0
2022-05-16,2022,KCR,CHW,3.0,5.0,1,0,-2.0
2022-05-18,2022,KCR,CHW,6.0,2.0,1,1,4.0
2022-05-19,2022,KCR,CHW,4.0,7.0,1,0,-3.0
2022-05-20,2022,KCR,MIN,4.0,6.0,1,0,-2.0
2022-05-21,2022,KCR,MIN,2.0,9.0,1,0,-7.0
2022-05-22,2022,KCR,MIN,6.0,7.0,1,0,-1.0
2022-05-23,2022,KCR,ARI,5.0,9.0,0,0,-4.0
2022-05-24,2022,KCR,ARI,6.0,8.0,0,0,-2.0
2022-05-26,2022,KCR,MIN,3.0,2.0,0,1,1.0
