date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2026-03-27,2026,KCR,ATL,0.0,6.0,0,0,Sale,Ragans,-6.0
2026-03-28,2026,KCR,ATL,2.0,6.0,0,0,Bido,Estévez,-4.0
2026-03-29,2026,KCR,ATL,4.0,1.0,0,1,Lugo,Holmes,3.0
2026-03-30,2026,KCR,MIN,3.0,1.0,1,1,Bubic,Woods Richardson,2.0
2026-04-01,2026,KCR,MIN,13.0,9.0,1,1,Cameron,Ryan,4.0
2026-04-02,2026,KCR,MIN,1.0,5.0,1,0,Bradley,Ragans,-4.0
2026-04-05,2026,KCR,MIL,5.0,8.0,1,0,Harrison,Bubic,-3.0
2026-04-06,2026,KCR,CLE,4.0,2.0,0,1,Wacha,Pallette,2.0
2026-04-07,2026,KCR,CLE,1.0,2.0,0,0,Smith,Schreiber,-1.0
2026-04-08,2026,KCR,CLE,2.0,10.0,0,0,Cantillo,Ragans,-8.0
2026-04-09,2026,KCR,CHW,0.0,2.0,1,0,Kay,Lugo,-2.0
2026-04-10,2026,KCR,CHW,2.0,0.0,1,1,Bubic,Martin,2.0
2026-04-11,2026,KCR,CHW,2.0,0.0,1,1,Wacha,Fedde,2.0
2026-04-12,2026,KCR,CHW,5.0,6.0,1,0,Leasure,Schreiber,-1.0
2026-04-14,2026,KCR,DET,1.0,2.0,0,0,Vest,Mears,-1.0
2026-04-15,2026,KCR,DET,1.0,2.0,0,0,Finnegan,Morgan,-1.0
2026-04-16,2026,KCR,DET,9.0,10.0,0,0,Seabold,Erceg,-1.0
2026-04-17,2026,KCR,NYY,2.0,4.0,0,0,Doval,Lange,-2.0
2026-04-18,2026,KCR,NYY,4.0,13.0,0,0,Warren,Cameron,-9.0
2026-04-19,2026,KCR,NYY,0.0,7.0,0,0,Weathers,Ragans,-7.0
2026-04-20,2026,KCR,BAL,5.0,7.0,1,0,Nunez,Lange,-2.0
2026-04-21,2026,KCR,BAL,6.0,5.0,1,1,Erceg,Helsley,1.0
2026-04-22,2026,KCR,BAL,6.0,8.0,1,0,Bassitt,Wacha,-2.0
2026-04-24,2026,KCR,LAA,6.0,3.0,1,1,Cameron,Kikuchi,3.0
2026-04-25,2026,KCR,LAA,12.0,1.0,1,1,Ragans,Ureña,11.0
2026-04-26,2026,KCR,LAA,11.0,9.0,1,1,Erceg,Lucchesi,2.0
2026-04-28,2026,KCR,ATH,4.0,1.0,0,1,Mears,Sterner,3.0
2026-04-29,2026,KCR,ATH,2.0,5.0,0,0,Severino,Wacha,-3.0
2026-04-30,2026,KCR,ATH,3.0,6.0,0,0,Medina,Cameron,-3.0
2026-05-01,2026,KCR,SEA,7.0,6.0,0,1,Lynch,Ferrer,1.0
2026-05-02,2026,KCR,SEA,3.0,2.0,0,1,Strahm,Criswell,1.0
2026-05-03,2026,KCR,SEA,4.0,1.0,0,1,Bubic,Castillo,3.0
2026-05-04,2026,KCR,CLE,6.0,2.0,1,1,Wacha,Bibee,4.0
2026-05-05,2026,KCR,CLE,5.0,3.0,1,1,Kolek,Williams,2.0
2026-05-06,2026,KCR,CLE,1.0,3.0,1,0,Cantillo,Avila,-2.0
2026-05-07,2026,KCR,CLE,5.0,8.0,1,0,Cecconi,Lugo,-3.0
2026-05-08,2026,KCR,DET,4.0,3.0,1,1,Erceg,Hurter,1.0
2026-05-09,2026,KCR,DET,5.0,1.0,1,1,Wacha,Smith,4.0
2026-05-10,2026,KCR,DET,3.0,6.0,1,0,De Jesus,Mears,-3.0
2026-05-12,2026,KCR,CHW,5.0,6.0,0,0,Domínguez,Strahm,-1.0
2026-05-13,2026,KCR,CHW,5.0,6.0,0,0,Davis,Lugo,-1.0
2026-05-14,2026,KCR,CHW,2.0,6.0,0,0,Kay,Bubic,-4.0
2026-05-15,2026,KCR,STL,4.0,5.0,0,0,Graceffo,Cruz,-1.0
2026-05-16,2026,KCR,STL,2.0,4.0,0,0,Leahy,Cameron,-2.0
2026-05-17,2026,KCR,STL,2.0,0.0,0,1,Kolek,Pallante,2.0
2026-05-18,2026,KCR,BOS,1.0,3.0,1,0,Gray,Lugo,-2.0
2026-05-19,2026,KCR,BOS,1.0,7.0,1,0,Whitlock,Falter,-6.0
2026-05-20,2026,KCR,BOS,3.0,4.0,1,0,Early,Cruz,-1.0
2026-05-22,2026,KCR,SEA,0.0,2.0,1,0,Bazardo,Mears,-2.0
2026-05-23,2026,KCR,SEA,5.0,0.0,1,1,Kolek,Kirby,5.0
2026-05-24,2026,KCR,SEA,8.0,6.0,1,1,Lugo,Woo,2.0
2026-05-25,2026,KCR,NYY,3.0,4.0,1,0,Hill,Erceg,-1.0
2026-05-26,2026,KCR,NYY,1.0,15.0,1,0,Schlittler,Falter,-14.0
2026-05-27,2026,KCR,NYY,0.0,7.0,1,0,Cole,Cameron,-7.0
2026-05-29,2026,KCR,TEX,1.0,9.0,0,0,Gore,Kolek,-8.0
2026-05-30,2026,KCR,TEX,6.0,7.0,0,0,Gray,Erceg,-1.0
2026-05-31,2026,KCR,TEX,3.0,6.0,0,0,Leiter,Wacha,-3.0
2026-06-01,2026,KCR,CIN,9.0,2.0,0,1,Avila,Richardson,7.0
2026-06-02,2026,KCR,CIN,3.0,4.0,0,0,Burke,Schreiber,-1.0
2026-06-03,2026,KCR,CIN,5.0,2.0,0,1,Lynch,Santillan,3.0
2026-06-04,2026,KCR,MIN,8.0,6.0,0,1,Strahm,Rogers,2.0
2026-06-05,2026,KCR,MIN,3.0,5.0,0,0,Matthews,Wacha,-2.0
