date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2020-07-24,2020,LAA,OAK,3.0,7.0,0,0,-4.0
2020-07-25,2020,LAA,OAK,4.0,1.0,0,1,3.0
2020-07-26,2020,LAA,OAK,4.0,6.0,0,0,-2.0
2020-07-27,2020,LAA,OAK,0.0,3.0,0,0,-3.0
2020-07-28,2020,LAA,SEA,10.0,2.0,1,1,8.0
2020-07-29,2020,LAA,SEA,7.0,10.0,1,0,-3.0
2020-07-30,2020,LAA,SEA,5.0,8.0,1,0,-3.0
2020-07-31,2020,LAA,HOU,6.0,9.0,1,0,-3.0
2020-08-01,2020,LAA,HOU,5.0,4.0,1,1,1.0
2020-08-02,2020,LAA,HOU,5.0,6.0,1,0,-1.0
2020-08-04,2020,LAA,SEA,5.0,3.0,0,1,2.0
2020-08-05,2020,LAA,SEA,6.0,7.0,0,0,-1.0
2020-08-06,2020,LAA,SEA,6.0,1.0,0,1,5.0
2020-08-07,2020,LAA,TEX,3.0,4.0,0,0,-1.0
2020-08-08,2020,LAA,TEX,0.0,2.0,0,0,-2.0
2020-08-09,2020,LAA,TEX,3.0,7.0,0,0,-4.0
2020-08-10,2020,LAA,OAK,10.0,9.0,1,1,1.0
2020-08-11,2020,LAA,OAK,6.0,0.0,1,1,6.0
2020-08-12,2020,LAA,OAK,4.0,8.0,1,0,-4.0
2020-08-14,2020,LAA,LAD,4.0,7.0,1,0,-3.0
2020-08-15,2020,LAA,LAD,5.0,6.0,1,0,-1.0
2020-08-16,2020,LAA,LAD,3.0,8.0,1,0,-5.0
2020-08-17,2020,LAA,SFG,7.0,6.0,1,1,1.0
2020-08-18,2020,LAA,SFG,2.0,8.0,1,0,-6.0
2020-08-19,2020,LAA,SFG,2.0,7.0,0,0,-5.0
2020-08-20,2020,LAA,SFG,5.0,10.0,0,0,-5.0
2020-08-21,2020,LAA,OAK,3.0,5.0,0,0,-2.0
2020-08-22,2020,LAA,OAK,4.0,3.0,0,1,1.0
2020-08-23,2020,LAA,OAK,4.0,5.0,0,0,-1.0
2020-08-24,2020,LAA,HOU,4.0,11.0,0,0,-7.0
2020-08-28,2020,LAA,SEA,3.0,2.0,1,1,1.0
2020-08-29,2020,LAA,SEA,16.0,3.0,1,1,13.0
2020-08-30,2020,LAA,SEA,1.0,2.0,1,0,-1.0
2020-08-31,2020,LAA,SEA,1.0,2.0,1,0,-1.0
2020-09-02,2020,LAA,SDP,4.0,11.0,1,0,-7.0
2020-09-03,2020,LAA,SDP,2.0,0.0,1,1,2.0
2020-09-04,2020,LAA,HOU,6.0,5.0,1,1,1.0
2020-09-06,2020,LAA,HOU,9.0,5.0,1,1,4.0
2020-09-08,2020,LAA,TEX,1.0,7.0,0,0,-6.0
2020-09-09,2020,LAA,TEX,3.0,7.0,0,0,-4.0
2020-09-10,2020,LAA,TEX,6.0,2.0,0,1,4.0
2020-09-11,2020,LAA,COL,4.0,8.0,0,0,-4.0
2020-09-12,2020,LAA,COL,5.0,2.0,0,1,3.0
2020-09-13,2020,LAA,COL,5.0,3.0,0,1,2.0
2020-09-15,2020,LAA,ARI,8.0,9.0,1,0,-1.0
2020-09-16,2020,LAA,ARI,6.0,9.0,1,0,-3.0
2020-09-17,2020,LAA,ARI,7.0,3.0,1,1,4.0
2020-09-18,2020,LAA,TEX,6.0,2.0,1,1,4.0
2020-09-19,2020,LAA,TEX,4.0,3.0,1,1,1.0
2020-09-20,2020,LAA,TEX,2.0,7.0,1,0,-5.0
2020-09-21,2020,LAA,TEX,8.0,5.0,1,1,3.0
2020-09-22,2020,LAA,SDP,4.0,2.0,0,1,2.0
2020-09-23,2020,LAA,SDP,5.0,2.0,0,1,3.0
2020-09-25,2020,LAA,LAD,5.0,9.0,0,0,-4.0
2020-09-26,2020,LAA,LAD,6.0,7.0,0,0,-1.0
