date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2025-03-18,2025,LAD,CHC,4.0,1.0,0,1,Yamamoto,Brown,3.0
2025-03-19,2025,LAD,CHC,6.0,3.0,0,1,Knack,Steele,3.0
2025-03-27,2025,LAD,DET,5.0,4.0,1,1,Snell,Skubal,1.0
2025-03-28,2025,LAD,DET,8.0,5.0,1,1,Garcia,Brieske,3.0
2025-03-29,2025,LAD,DET,7.0,3.0,1,1,Banda,Olson,4.0
2025-03-31,2025,LAD,ATL,6.0,1.0,1,1,Glasnow,Holmes,5.0
2025-04-01,2025,LAD,ATL,3.0,1.0,1,1,Banda,Sale,2.0
2025-04-02,2025,LAD,ATL,6.0,5.0,1,1,Dreyer,Iglesias,1.0
2025-04-04,2025,LAD,PHI,2.0,3.0,0,0,Luzardo,Yamamoto,-1.0
2025-04-05,2025,LAD,PHI,3.0,1.0,0,1,Banda,Nola,2.0
2025-04-06,2025,LAD,PHI,7.0,8.0,0,0,Kerkering,Treinen,-1.0
2025-04-07,2025,LAD,WSN,4.0,6.0,0,0,Gore,May,-2.0
2025-04-08,2025,LAD,WSN,2.0,8.0,0,0,Poche,Wrobleski,-6.0
2025-04-09,2025,LAD,WSN,6.0,5.0,0,1,Yates,Salazar,1.0
2025-04-11,2025,LAD,CHC,3.0,0.0,1,1,Yamamoto,Boyd,3.0
2025-04-12,2025,LAD,CHC,0.0,16.0,1,0,Brown,Sasaki,-16.0
2025-04-13,2025,LAD,CHC,2.0,4.0,1,0,Roberts,Treinen,-2.0
2025-04-14,2025,LAD,COL,5.0,3.0,1,1,May,Senzatela,2.0
2025-04-15,2025,LAD,COL,6.0,2.0,1,1,Dreyer,Feltner,4.0
2025-04-16,2025,LAD,COL,8.0,7.0,1,1,Casparius,Márquez,1.0
2025-04-18,2025,LAD,TEX,3.0,0.0,0,1,Yamamoto,deGrom,3.0
2025-04-19,2025,LAD,TEX,3.0,4.0,0,0,Webb,Yates,-1.0
2025-04-20,2025,LAD,TEX,1.0,0.0,0,1,Casparius,Martin,1.0
2025-04-22,2025,LAD,CHC,10.0,11.0,0,0,Hodge,Davis,-1.0
2025-04-23,2025,LAD,CHC,6.0,7.0,0,0,Boyd,Dreyer,-1.0
2025-04-25,2025,LAD,PIT,0.0,3.0,1,0,Skenes,Yamamoto,-3.0
2025-04-26,2025,LAD,PIT,8.0,4.0,1,1,Yates,Holderman,4.0
2025-04-27,2025,LAD,PIT,9.0,2.0,1,1,Casparius,Falter,7.0
2025-04-28,2025,LAD,MIA,7.0,6.0,1,1,Yates,Henriquez,1.0
2025-04-29,2025,LAD,MIA,15.0,2.0,1,1,Sauer,Alcantara,13.0
2025-04-30,2025,LAD,MIA,12.0,7.0,1,1,Gonsolin,Quantrill,5.0
2025-05-02,2025,LAD,ATL,2.0,1.0,0,1,Yamamoto,Holmes,1.0
2025-05-03,2025,LAD,ATL,10.0,3.0,0,1,Sasaki,Schwellenbach,7.0
2025-05-04,2025,LAD,ATL,3.0,4.0,0,0,Elder,May,-1.0
2025-05-05,2025,LAD,MIA,7.0,4.0,0,1,Casparius,Alcantara,3.0
2025-05-06,2025,LAD,MIA,4.0,5.0,0,0,Tinoco,Feyereisen,-1.0
2025-05-07,2025,LAD,MIA,10.0,1.0,0,1,Knack,Gibson,9.0
2025-05-08,2025,LAD,ARI,3.0,5.0,0,0,Pfaadt,Yamamoto,-2.0
2025-05-09,2025,LAD,ARI,14.0,11.0,0,1,Vesia,Ginkel,3.0
2025-05-10,2025,LAD,ARI,0.0,3.0,0,0,Burnes,May,-3.0
2025-05-11,2025,LAD,ARI,8.0,1.0,0,1,Gonsolin,Gallen,7.0
2025-05-13,2025,LAD,ATH,1.0,11.0,1,0,Springs,Knack,-10.0
2025-05-14,2025,LAD,ATH,9.0,3.0,1,1,Yamamoto,Hoglund,6.0
2025-05-15,2025,LAD,ATH,19.0,2.0,1,1,Wrobleski,Bido,17.0
2025-05-16,2025,LAD,LAA,2.0,6.0,1,0,Kochanowicz,May,-4.0
