date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2021-04-01,2021,MIA,TBR,0.0,1.0,1,0,-1.0
2021-04-02,2021,MIA,TBR,4.0,6.0,1,0,-2.0
2021-04-03,2021,MIA,TBR,12.0,7.0,1,1,5.0
2021-04-05,2021,MIA,STL,1.0,4.0,1,0,-3.0
2021-04-06,2021,MIA,STL,2.0,4.0,1,0,-2.0
2021-04-07,2021,MIA,STL,0.0,7.0,1,0,-7.0
2021-04-08,2021,MIA,NYM,2.0,3.0,0,0,-1.0
2021-04-10,2021,MIA,NYM,3.0,0.0,0,1,3.0
2021-04-11,2021,MIA,NYM,5.0,6.0,0,0,-1.0
2021-04-12,2021,MIA,ATL,5.0,3.0,0,1,2.0
2021-04-13,2021,MIA,ATL,14.0,8.0,0,1,6.0
2021-04-14,2021,MIA,ATL,6.0,5.0,0,1,1.0
2021-04-15,2021,MIA,ATL,6.0,7.0,0,0,-1.0
2021-04-16,2021,MIA,SFG,4.0,1.0,1,1,3.0
2021-04-17,2021,MIA,SFG,7.0,6.0,1,1,1.0
2021-04-18,2021,MIA,SFG,0.0,1.0,1,0,-1.0
2021-04-20,2021,MIA,BAL,5.0,7.0,1,0,-2.0
2021-04-21,2021,MIA,BAL,3.0,0.0,1,1,3.0
2021-04-22,2021,MIA,SFG,0.0,3.0,0,0,-3.0
2021-04-23,2021,MIA,SFG,3.0,5.0,0,0,-2.0
2021-04-24,2021,MIA,SFG,5.0,2.0,0,1,3.0
2021-04-25,2021,MIA,SFG,3.0,4.0,0,0,-1.0
2021-04-26,2021,MIA,MIL,8.0,0.0,0,1,8.0
2021-04-27,2021,MIA,MIL,4.0,5.0,0,0,-1.0
2021-04-28,2021,MIA,MIL,6.0,2.0,0,1,4.0
2021-04-30,2021,MIA,WSN,1.0,2.0,0,0,-1.0
2021-05-01,2021,MIA,WSN,2.0,7.0,0,0,-5.0
2021-05-02,2021,MIA,WSN,1.0,3.0,0,0,-2.0
2021-05-04,2021,MIA,ARI,9.0,3.0,1,1,6.0
2021-05-05,2021,MIA,ARI,8.0,0.0,1,1,8.0
2021-05-06,2021,MIA,ARI,3.0,1.0,1,1,2.0
2021-05-07,2021,MIA,MIL,6.0,1.0,1,1,5.0
2021-05-08,2021,MIA,MIL,2.0,6.0,1,0,-4.0
2021-05-09,2021,MIA,MIL,1.0,2.0,1,0,-1.0
2021-05-10,2021,MIA,ARI,2.0,5.0,0,0,-3.0
2021-05-11,2021,MIA,ARI,3.0,11.0,0,0,-8.0
2021-05-12,2021,MIA,ARI,3.0,2.0,0,1,1.0
2021-05-13,2021,MIA,ARI,5.0,1.0,0,1,4.0
2021-05-14,2021,MIA,LAD,6.0,9.0,0,0,-3.0
2021-05-15,2021,MIA,LAD,0.0,7.0,0,0,-7.0
2021-05-16,2021,MIA,LAD,3.0,2.0,0,1,1.0
2021-05-18,2021,MIA,PHI,3.0,8.0,0,0,-5.0
2021-05-19,2021,MIA,PHI,3.0,1.0,0,1,2.0
2021-05-20,2021,MIA,PHI,6.0,0.0,0,1,6.0
2021-05-21,2021,MIA,NYM,5.0,6.0,1,0,-1.0
2021-05-22,2021,MIA,NYM,3.0,1.0,1,1,2.0
2021-05-23,2021,MIA,NYM,5.0,1.0,1,1,4.0
2021-05-24,2021,MIA,PHI,9.0,6.0,1,1,3.0
2021-05-25,2021,MIA,PHI,0.0,2.0,1,0,-2.0
2021-05-26,2021,MIA,PHI,4.0,2.0,1,1,2.0
2021-05-27,2021,MIA,PHI,2.0,3.0,1,0,-1.0
2021-05-28,2021,MIA,BOS,2.0,5.0,0,0,-3.0
2021-05-29,2021,MIA,BOS,1.0,3.0,0,0,-2.0
2021-06-01,2021,MIA,TOR,1.0,5.0,0,0,-4.0
2021-06-02,2021,MIA,TOR,5.0,6.0,0,0,-1.0
2021-06-03,2021,MIA,PIT,3.0,5.0,0,0,-2.0
2021-06-04,2021,MIA,PIT,2.0,9.0,0,0,-7.0
2021-06-05,2021,MIA,PIT,7.0,8.0,0,0,-1.0
2021-06-06,2021,MIA,PIT,3.0,1.0,0,1,2.0
2021-06-07,2021,MIA,BOS,3.0,5.0,0,0,-2.0
2021-06-08,2021,MIA,COL,6.0,2.0,1,1,4.0
2021-06-09,2021,MIA,COL,3.0,4.0,1,0,-1.0
2021-06-10,2021,MIA,COL,11.0,4.0,1,1,7.0
2021-06-11,2021,MIA,ATL,4.0,3.0,1,1,1.0
2021-06-12,2021,MIA,ATL,4.0,2.0,1,1,2.0
2021-06-13,2021,MIA,ATL,4.0,6.0,1,0,-2.0
2021-06-14,2021,MIA,STL,2.0,4.0,0,0,-2.0
2021-06-15,2021,MIA,STL,1.0,2.0,0,0,-1.0
2021-06-16,2021,MIA,STL,0.0,1.0,0,0,-1.0
2021-06-18,2021,MIA,CHC,10.0,2.0,0,1,8.0
2021-06-19,2021,MIA,CHC,11.0,1.0,0,1,10.0
2021-06-20,2021,MIA,CHC,0.0,2.0,0,0,-2.0
2021-06-22,2021,MIA,TOR,1.0,2.0,1,0,-1.0
2021-06-23,2021,MIA,TOR,1.0,3.0,1,0,-2.0
2021-06-24,2021,MIA,WSN,3.0,7.0,1,0,-4.0
2021-06-25,2021,MIA,WSN,11.0,2.0,1,1,9.0
2021-06-26,2021,MIA,WSN,3.0,2.0,1,1,1.0
2021-06-27,2021,MIA,WSN,1.0,5.0,1,0,-4.0
2021-06-29,2021,MIA,PHI,3.0,4.0,0,0,-1.0
2021-06-30,2021,MIA,PHI,11.0,6.0,0,1,5.0
2021-07-02,2021,MIA,ATL,0.0,1.0,0,0,-1.0
2021-07-03,2021,MIA,ATL,3.0,2.0,0,1,1.0
2021-07-04,2021,MIA,ATL,7.0,8.0,0,0,-1.0
2021-07-05,2021,MIA,LAD,5.0,4.0,1,1,1.0
2021-07-06,2021,MIA,LAD,2.0,1.0,1,1,1.0
2021-07-07,2021,MIA,LAD,9.0,6.0,1,1,3.0
2021-07-08,2021,MIA,LAD,1.0,6.0,1,0,-5.0
