date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2022-04-08,2022,MIA,SFG,5.0,6.0,0,0,Álvarez,Bass,-1.0
2022-04-09,2022,MIA,SFG,2.0,1.0,0,1,Okert,McGee,1.0
2022-04-10,2022,MIA,SFG,2.0,3.0,0,0,García,Rogers,-1.0
2022-04-11,2022,MIA,LAA,2.0,6.0,0,0,Lorenzen,Hernández,-4.0
2022-04-12,2022,MIA,LAA,3.0,4.0,0,0,Iglesias,Bender,-1.0
2022-04-14,2022,MIA,PHI,4.0,3.0,1,1,Alcantara,Gibson,1.0
2022-04-15,2022,MIA,PHI,7.0,1.0,1,1,López,Eflin,6.0
2022-04-16,2022,MIA,PHI,3.0,10.0,1,0,Suarez,Rogers,-7.0
2022-04-17,2022,MIA,PHI,11.0,3.0,1,1,Hernández,Wheeler,8.0
2022-04-19,2022,MIA,STL,1.0,5.0,1,0,Wainwright,Luzardo,-4.0
2022-04-20,2022,MIA,STL,0.0,2.0,1,0,Cabrera,Bender,-2.0
2022-04-21,2022,MIA,STL,5.0,0.0,1,1,López,Hicks,5.0
2022-04-22,2022,MIA,ATL,0.0,3.0,0,0,Wright,Rogers,-3.0
2022-04-23,2022,MIA,ATL,9.0,7.0,0,1,Okert,Strider,2.0
2022-04-24,2022,MIA,ATL,5.0,4.0,0,1,Luzardo,Elder,1.0
2022-04-26,2022,MIA,WSN,5.0,2.0,0,1,Alcantara,Gray,3.0
2022-04-27,2022,MIA,WSN,2.0,1.0,0,1,López,Fedde,1.0
2022-04-28,2022,MIA,WSN,3.0,2.0,0,1,Rogers,Corbin,1.0
2022-04-29,2022,MIA,SEA,8.0,6.0,1,1,Hernández,Brash,2.0
2022-04-30,2022,MIA,SEA,3.0,1.0,1,1,Luzardo,Ray,2.0
2022-05-01,2022,MIA,SEA,3.0,7.0,1,0,Gilbert,Alcantara,-4.0
