date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2023-03-30,2023,MIL,CHC,0.0,4.0,0,0,Stroman,Burnes,-4.0
2023-04-01,2023,MIL,CHC,3.0,1.0,0,1,Strzelecki,Assad,2.0
2023-04-02,2023,MIL,CHC,9.0,5.0,0,1,Lauer,Taillon,4.0
2023-04-03,2023,MIL,NYM,10.0,0.0,1,1,Peralta,Carrasco,10.0
2023-04-04,2023,MIL,NYM,9.0,0.0,1,1,Miley,Scherzer,9.0
2023-04-05,2023,MIL,NYM,7.0,6.0,1,1,Williams,Ottavino,1.0
2023-04-07,2023,MIL,STL,4.0,0.0,1,1,Woodruff,Flaherty,4.0
2023-04-08,2023,MIL,STL,0.0,6.0,1,0,Montgomery,Lauer,-6.0
2023-04-09,2023,MIL,STL,6.0,1.0,1,1,Peralta,Woodford,5.0
2023-04-10,2023,MIL,ARI,0.0,3.0,0,0,Gallen,Miley,-3.0
2023-04-11,2023,MIL,ARI,7.0,1.0,0,1,Burnes,Kelly,6.0
2023-04-12,2023,MIL,ARI,3.0,7.0,0,0,Nelson,Junk,-4.0
2023-04-13,2023,MIL,SDP,4.0,3.0,0,1,Williams,Garcia,1.0
2023-04-14,2023,MIL,SDP,11.0,2.0,0,1,Lauer,Wacha,9.0
2023-04-15,2023,MIL,SDP,3.0,10.0,0,0,Wilson,Peralta,-7.0
2023-04-16,2023,MIL,SDP,1.0,0.0,0,1,Miley,Darvish,1.0
2023-04-17,2023,MIL,SEA,7.0,3.0,0,1,Burnes,Flexen,4.0
2023-04-18,2023,MIL,SEA,6.0,5.0,0,1,Wilson,Topa,1.0
2023-04-19,2023,MIL,SEA,5.0,3.0,0,1,Lauer,Brash,2.0
2023-04-21,2023,MIL,BOS,3.0,5.0,1,0,Pivetta,Peralta,-2.0
2023-04-22,2023,MIL,BOS,5.0,4.0,1,1,Miley,Whitlock,1.0
2023-04-23,2023,MIL,BOS,5.0,12.0,1,0,Ort,Bush,-7.0
2023-04-24,2023,MIL,DET,2.0,4.0,1,0,Boyd,Rea,-2.0
2023-04-25,2023,MIL,DET,3.0,4.0,1,0,Englert,Lauer,-1.0
2023-04-26,2023,MIL,DET,6.0,2.0,1,1,Peralta,Lorenzen,4.0
2023-04-28,2023,MIL,LAA,2.0,1.0,1,1,Strzelecki,Loup,1.0
2023-04-29,2023,MIL,LAA,7.0,5.0,1,1,Burnes,Detmers,2.0
2023-04-30,2023,MIL,LAA,0.0,3.0,1,0,Suarez,Rea,-3.0
2023-05-02,2023,MIL,COL,2.0,3.0,0,0,Lawrence,Strzelecki,-1.0
2023-05-03,2023,MIL,COL,1.0,7.0,0,0,Freeland,Lauer,-6.0
2023-05-04,2023,MIL,COL,6.0,9.0,0,0,Hand,Strzelecki,-3.0
2023-05-05,2023,MIL,SFG,4.0,6.0,0,0,Manaea,Burnes,-2.0
2023-05-06,2023,MIL,SFG,1.0,4.0,0,0,Cobb,Rea,-3.0
2023-05-07,2023,MIL,SFG,7.0,3.0,0,1,Payamps,Stripling,4.0
2023-05-08,2023,MIL,LAD,9.0,3.0,1,1,Peralta,Gonsolin,6.0
2023-05-09,2023,MIL,LAD,2.0,6.0,1,0,Bruihl,Lauer,-4.0
2023-05-10,2023,MIL,LAD,1.0,8.0,1,0,Kershaw,Miley,-7.0
2023-05-12,2023,MIL,KCR,5.0,1.0,1,1,Burnes,Taylor,4.0
2023-05-13,2023,MIL,KCR,4.0,3.0,1,1,Williams,Hernández,1.0
2023-05-14,2023,MIL,KCR,9.0,6.0,1,1,Lauer,Lyles,3.0
2023-05-15,2023,MIL,STL,1.0,18.0,0,0,Flaherty,Peralta,-17.0
2023-05-16,2023,MIL,STL,3.0,2.0,0,1,Payamps,Montgomery,1.0
2023-05-17,2023,MIL,STL,0.0,3.0,0,0,Liberatore,Burnes,-3.0
2023-05-19,2023,MIL,TBR,0.0,1.0,0,0,Adam,Strzelecki,-1.0
2023-05-20,2023,MIL,TBR,4.0,8.0,0,0,Eflin,Lauer,-4.0
2023-05-21,2023,MIL,TBR,6.0,4.0,0,1,Peralta,Criswell,2.0
2023-05-22,2023,MIL,HOU,2.0,12.0,1,0,Javier,Burnes,-10.0
2023-05-23,2023,MIL,HOU,6.0,0.0,1,1,Rea,France,6.0
2023-05-24,2023,MIL,HOU,4.0,0.0,1,1,Houser,Bielak,4.0
2023-05-25,2023,MIL,SFG,0.0,5.0,1,0,Junis,Teheran,-5.0
2023-05-26,2023,MIL,SFG,1.0,15.0,1,0,Wood,Peralta,-14.0
2023-05-27,2023,MIL,SFG,1.0,3.0,1,0,Webb,Strzelecki,-2.0
2023-05-28,2023,MIL,SFG,7.0,5.0,1,1,Rea,Cobb,2.0
2023-05-30,2023,MIL,TOR,2.0,7.0,0,0,Kikuchi,Houser,-5.0
2023-05-31,2023,MIL,TOR,4.0,2.0,0,1,Teheran,Manoah,2.0
2023-06-01,2023,MIL,TOR,1.0,3.0,0,0,Gausman,Peralta,-2.0
2023-06-02,2023,MIL,CIN,5.0,4.0,0,1,Peguero,Cruz,1.0
2023-06-03,2023,MIL,CIN,10.0,8.0,0,1,Rea,Ashcraft,2.0
2023-06-04,2023,MIL,CIN,5.0,1.0,0,1,Houser,Lively,4.0
2023-06-05,2023,MIL,CIN,0.0,2.0,0,0,Abbott,Teheran,-2.0
2023-06-06,2023,MIL,BAL,4.0,3.0,1,1,Strzelecki,Voth,1.0
2023-06-07,2023,MIL,BAL,10.0,2.0,1,1,Burnes,Kremer,8.0
2023-06-08,2023,MIL,BAL,3.0,6.0,1,0,Akin,Strzelecki,-3.0
2023-06-09,2023,MIL,OAK,2.0,5.0,1,0,Medina,Houser,-3.0
