date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2020-07-24,2020,MIN,CHW,10.0,5.0,0,1,May,Giolito,5.0
2020-07-25,2020,MIN,CHW,3.0,10.0,0,0,Keuchel,Dobnak,-7.0
2020-07-26,2020,MIN,CHW,14.0,2.0,0,1,Maeda,López,12.0
2020-07-28,2020,MIN,STL,6.0,3.0,1,1,Bailey,Martínez,3.0
2020-07-29,2020,MIN,STL,3.0,0.0,1,1,Hill,Ponce de Leon,3.0
2020-07-30,2020,MIN,CLE,0.0,2.0,1,0,Bieber,Berríos,-2.0
2020-07-31,2020,MIN,CLE,4.0,1.0,1,1,Dobnak,Clevinger,3.0
2020-08-01,2020,MIN,CLE,3.0,0.0,1,1,Maeda,Carrasco,3.0
2020-08-02,2020,MIN,CLE,3.0,1.0,1,1,Smeltzer,Civale,2.0
2020-08-03,2020,MIN,PIT,5.0,4.0,1,1,Rogers,Burdi,1.0
2020-08-04,2020,MIN,PIT,7.0,3.0,1,1,Berríos,Musgrove,4.0
2020-08-05,2020,MIN,PIT,5.0,2.0,0,1,Dobnak,Williams,3.0
2020-08-06,2020,MIN,PIT,5.0,6.0,0,0,Howard,Rogers,-1.0
2020-08-07,2020,MIN,KCR,2.0,3.0,0,0,Holland,Wisler,-1.0
2020-08-08,2020,MIN,KCR,6.0,9.0,0,0,Zuber,Thorpe,-3.0
2020-08-09,2020,MIN,KCR,2.0,4.0,0,0,Singer,Berríos,-2.0
2020-08-10,2020,MIN,MIL,4.0,2.0,0,1,Dobnak,Houser,2.0
2020-08-11,2020,MIN,MIL,4.0,6.0,0,0,Williams,Rogers,-2.0
2020-08-12,2020,MIN,MIL,12.0,2.0,0,1,Maeda,Lauer,10.0
2020-08-16,2020,MIN,KCR,4.0,2.0,1,1,Dobnak,Singer,2.0
2020-08-17,2020,MIN,KCR,4.0,1.0,1,1,Smeltzer,Bubic,3.0
2020-08-18,2020,MIN,MIL,4.0,3.0,1,1,Alcala,Phelps,1.0
2020-08-19,2020,MIN,MIL,3.0,9.0,1,0,Anderson,Hill,-6.0
2020-08-20,2020,MIN,MIL,7.0,1.0,1,1,Berríos,Woodruff,6.0
2020-08-21,2020,MIN,KCR,2.0,7.0,0,0,Duffy,Odorizzi,-5.0
2020-08-22,2020,MIN,KCR,7.0,2.0,0,1,Dobnak,Singer,5.0
2020-08-23,2020,MIN,KCR,5.0,4.0,0,1,Clippard,Bubic,1.0
2020-08-24,2020,MIN,CLE,3.0,2.0,0,1,Maeda,Civale,1.0
2020-08-25,2020,MIN,CLE,2.0,4.0,0,0,Bieber,Alcala,-2.0
2020-08-26,2020,MIN,CLE,3.0,6.0,0,0,Maton,Romo,-3.0
2020-08-30,2020,MIN,DET,2.0,3.0,0,0,Alexander,Maeda,-1.0
2020-08-31,2020,MIN,CHW,5.0,8.0,1,0,Foster,Rogers,-3.0
2020-09-01,2020,MIN,CHW,3.0,2.0,1,1,Thielbar,Cordero,1.0
2020-09-02,2020,MIN,CHW,8.0,1.0,1,1,Berríos,López,7.0
2020-09-05,2020,MIN,DET,4.0,3.0,1,1,Alcala,Cisnero,1.0
2020-09-06,2020,MIN,DET,8.0,10.0,1,0,Funkhouser,Romo,-2.0
2020-09-07,2020,MIN,DET,6.0,2.0,1,1,Pineda,Fulmer,4.0
2020-09-11,2020,MIN,CLE,3.0,1.0,1,1,Maeda,Bieber,2.0
2020-09-12,2020,MIN,CLE,8.0,4.0,1,1,Hill,Plesac,4.0
2020-09-13,2020,MIN,CLE,7.0,5.0,1,1,Thielbar,McKenzie,2.0
2020-09-14,2020,MIN,CHW,1.0,3.0,0,0,Colomé,Rogers,-2.0
2020-09-15,2020,MIN,CHW,2.0,6.0,0,0,Dunning,Dobnak,-4.0
2020-09-16,2020,MIN,CHW,5.0,1.0,0,1,Stashak,Giolito,4.0
2020-09-17,2020,MIN,CHW,3.0,4.0,0,0,Heuer,Clippard,-1.0
2020-09-18,2020,MIN,CHC,0.0,1.0,0,0,Hendricks,Hill,-1.0
2020-09-19,2020,MIN,CHC,8.0,1.0,0,1,Pineda,Mills,7.0
2020-09-20,2020,MIN,CHC,4.0,0.0,0,1,Berríos,Darvish,4.0
2020-09-22,2020,MIN,DET,5.0,4.0,1,1,Rogers,Garcia,1.0
2020-09-23,2020,MIN,DET,7.0,6.0,1,1,Maeda,Mize,1.0
2020-09-25,2020,MIN,CIN,2.0,7.0,1,0,Lorenzen,Berríos,-5.0
2020-09-26,2020,MIN,CIN,7.0,3.0,1,1,Clippard,Castillo,4.0
