date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2023-03-30,2023,MIN,KCR,2.0,0.0,0,1,2.0
2023-04-01,2023,MIN,KCR,2.0,0.0,0,1,2.0
2023-04-02,2023,MIN,KCR,7.0,4.0,0,1,3.0
2023-04-03,2023,MIN,MIA,11.0,1.0,0,1,10.0
2023-04-04,2023,MIN,MIA,0.0,1.0,0,0,-1.0
2023-04-05,2023,MIN,MIA,2.0,5.0,0,0,-3.0
2023-04-07,2023,MIN,HOU,3.0,2.0,1,1,1.0
2023-04-08,2023,MIN,HOU,9.0,6.0,1,1,3.0
2023-04-09,2023,MIN,HOU,1.0,5.0,1,0,-4.0
2023-04-10,2023,MIN,CHW,3.0,4.0,1,0,-1.0
2023-04-11,2023,MIN,CHW,4.0,3.0,1,1,1.0
2023-04-12,2023,MIN,CHW,3.0,1.0,1,1,2.0
2023-04-13,2023,MIN,NYY,11.0,2.0,0,1,9.0
2023-04-14,2023,MIN,NYY,4.0,3.0,0,1,1.0
2023-04-15,2023,MIN,NYY,1.0,6.0,0,0,-5.0
2023-04-16,2023,MIN,NYY,0.0,2.0,0,0,-2.0
2023-04-18,2023,MIN,BOS,4.0,5.0,0,0,-1.0
2023-04-19,2023,MIN,BOS,10.0,4.0,0,1,6.0
2023-04-20,2023,MIN,BOS,5.0,11.0,0,0,-6.0
2023-04-21,2023,MIN,WSN,2.0,3.0,1,0,-1.0
2023-04-22,2023,MIN,WSN,4.0,10.0,1,0,-6.0
2023-04-23,2023,MIN,WSN,3.0,1.0,1,1,2.0
2023-04-24,2023,MIN,NYY,6.0,1.0,1,1,5.0
2023-04-25,2023,MIN,NYY,6.0,2.0,1,1,4.0
2023-04-26,2023,MIN,NYY,6.0,12.0,1,0,-6.0
2023-04-27,2023,MIN,KCR,7.0,1.0,1,1,6.0
2023-04-28,2023,MIN,KCR,8.0,6.0,1,1,2.0
2023-04-29,2023,MIN,KCR,2.0,3.0,1,0,-1.0
2023-04-30,2023,MIN,KCR,8.0,4.0,1,1,4.0
2023-05-02,2023,MIN,CHW,2.0,3.0,0,0,-1.0
2023-05-03,2023,MIN,CHW,4.0,6.0,0,0,-2.0
2023-05-04,2023,MIN,CHW,7.0,3.0,0,1,4.0
2023-05-05,2023,MIN,CLE,2.0,0.0,0,1,2.0
2023-05-06,2023,MIN,CLE,3.0,4.0,0,0,-1.0
2023-05-07,2023,MIN,CLE,0.0,2.0,0,0,-2.0
2023-05-09,2023,MIN,SDP,1.0,6.0,1,0,-5.0
2023-05-10,2023,MIN,SDP,4.0,3.0,1,1,1.0
2023-05-11,2023,MIN,SDP,5.0,3.0,1,1,2.0
2023-05-12,2023,MIN,CHC,2.0,6.0,1,0,-4.0
2023-05-13,2023,MIN,CHC,11.0,1.0,1,1,10.0
2023-05-14,2023,MIN,CHC,16.0,3.0,1,1,13.0
2023-05-15,2023,MIN,LAD,8.0,9.0,0,0,-1.0
2023-05-16,2023,MIN,LAD,5.0,1.0,0,1,4.0
2023-05-17,2023,MIN,LAD,3.0,7.0,0,0,-4.0
2023-05-19,2023,MIN,LAA,4.0,5.0,0,0,-1.0
