date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2021-04-05,2021,NYM,PHI,3.0,5.0,0,0,-2.0
2021-04-06,2021,NYM,PHI,8.0,4.0,0,1,4.0
2021-04-07,2021,NYM,PHI,2.0,8.0,0,0,-6.0
2021-04-08,2021,NYM,MIA,3.0,2.0,1,1,1.0
2021-04-10,2021,NYM,MIA,0.0,3.0,1,0,-3.0
2021-04-11,2021,NYM,MIA,6.0,5.0,1,1,1.0
2021-04-14,2021,NYM,PHI,5.0,1.0,1,1,4.0
2021-04-18,2021,NYM,COL,2.0,1.0,0,1,1.0
2021-04-20,2021,NYM,CHC,1.0,3.0,0,0,-2.0
2021-04-21,2021,NYM,CHC,4.0,16.0,0,0,-12.0
2021-04-22,2021,NYM,CHC,3.0,4.0,0,0,-1.0
2021-04-23,2021,NYM,WSN,6.0,0.0,1,1,6.0
2021-04-24,2021,NYM,WSN,1.0,7.0,1,0,-6.0
2021-04-25,2021,NYM,WSN,4.0,0.0,1,1,4.0
2021-04-27,2021,NYM,BOS,1.0,2.0,1,0,-1.0
2021-04-28,2021,NYM,BOS,0.0,1.0,1,0,-1.0
2021-04-30,2021,NYM,PHI,1.0,2.0,0,0,-1.0
2021-05-01,2021,NYM,PHI,5.0,4.0,0,1,1.0
2021-05-02,2021,NYM,PHI,8.0,7.0,0,1,1.0
2021-05-03,2021,NYM,STL,5.0,6.0,0,0,-1.0
2021-05-06,2021,NYM,STL,4.0,1.0,0,1,3.0
2021-05-07,2021,NYM,ARI,5.0,4.0,1,1,1.0
2021-05-08,2021,NYM,ARI,4.0,2.0,1,1,2.0
2021-05-09,2021,NYM,ARI,4.0,2.0,1,1,2.0
2021-05-11,2021,NYM,BAL,3.0,2.0,1,1,1.0
2021-05-12,2021,NYM,BAL,7.0,1.0,1,1,6.0
2021-05-14,2021,NYM,TBR,2.0,3.0,0,0,-1.0
2021-05-15,2021,NYM,TBR,5.0,12.0,0,0,-7.0
2021-05-16,2021,NYM,TBR,1.0,7.0,0,0,-6.0
2021-05-17,2021,NYM,ATL,3.0,1.0,0,1,2.0
2021-05-18,2021,NYM,ATL,4.0,3.0,0,1,1.0
2021-05-19,2021,NYM,ATL,4.0,5.0,0,0,-1.0
2021-05-21,2021,NYM,MIA,6.0,5.0,0,1,1.0
2021-05-22,2021,NYM,MIA,1.0,3.0,0,0,-2.0
2021-05-23,2021,NYM,MIA,1.0,5.0,0,0,-4.0
2021-05-24,2021,NYM,COL,2.0,3.0,1,0,-1.0
2021-05-25,2021,NYM,COL,3.0,1.0,1,1,2.0
2021-05-29,2021,NYM,ATL,13.0,2.0,1,1,11.0
2021-05-31,2021,NYM,ARI,6.0,2.0,0,1,4.0
2021-06-01,2021,NYM,ARI,5.0,6.0,0,0,-1.0
2021-06-02,2021,NYM,ARI,7.0,6.0,0,1,1.0
2021-06-03,2021,NYM,SDP,3.0,4.0,0,0,-1.0
2021-06-04,2021,NYM,SDP,0.0,2.0,0,0,-2.0
2021-06-05,2021,NYM,SDP,4.0,0.0,0,1,4.0
2021-06-06,2021,NYM,SDP,6.0,2.0,0,1,4.0
2021-06-08,2021,NYM,BAL,3.0,10.0,0,0,-7.0
2021-06-09,2021,NYM,BAL,14.0,1.0,0,1,13.0
2021-06-11,2021,NYM,SDP,3.0,2.0,1,1,1.0
2021-06-12,2021,NYM,SDP,4.0,1.0,1,1,3.0
2021-06-13,2021,NYM,SDP,3.0,7.0,1,0,-4.0
2021-06-14,2021,NYM,CHC,5.0,2.0,1,1,3.0
2021-06-15,2021,NYM,CHC,3.0,2.0,1,1,1.0
2021-06-16,2021,NYM,CHC,6.0,3.0,1,1,3.0
2021-06-17,2021,NYM,CHC,0.0,2.0,1,0,-2.0
2021-06-18,2021,NYM,WSN,0.0,1.0,0,0,-1.0
2021-06-20,2021,NYM,WSN,2.0,5.0,0,0,-3.0
2021-06-22,2021,NYM,ATL,0.0,3.0,1,0,-3.0
2021-06-23,2021,NYM,ATL,7.0,3.0,1,1,4.0
2021-06-26,2021,NYM,PHI,4.0,3.0,1,1,1.0
2021-06-27,2021,NYM,PHI,2.0,4.0,1,0,-2.0
2021-06-28,2021,NYM,WSN,4.0,8.0,0,0,-4.0
2021-06-29,2021,NYM,ATL,4.0,3.0,0,1,1.0
2021-06-30,2021,NYM,ATL,2.0,20.0,0,0,-18.0
2021-07-01,2021,NYM,ATL,3.0,4.0,0,0,-1.0
2021-07-03,2021,NYM,NYY,8.0,3.0,0,1,5.0
2021-07-05,2021,NYM,MIL,4.0,2.0,1,1,2.0
