date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2023-03-30,2023,NYM,MIA,5.0,3.0,0,1,Scherzer,Scott,2.0
2023-03-31,2023,NYM,MIA,1.0,2.0,0,0,Luzardo,Peterson,-1.0
2023-04-01,2023,NYM,MIA,6.0,2.0,0,1,Megill,Nardi,4.0
2023-04-02,2023,NYM,MIA,5.0,1.0,0,1,Senga,Rogers,4.0
2023-04-03,2023,NYM,MIL,0.0,10.0,0,0,Peralta,Carrasco,-10.0
2023-04-04,2023,NYM,MIL,0.0,9.0,0,0,Miley,Scherzer,-9.0
2023-04-05,2023,NYM,MIL,6.0,7.0,0,0,Williams,Ottavino,-1.0
2023-04-07,2023,NYM,MIA,9.0,3.0,1,1,Megill,Cabrera,6.0
2023-04-08,2023,NYM,MIA,5.0,2.0,1,1,Senga,Rogers,3.0
2023-04-09,2023,NYM,MIA,2.0,7.0,1,0,Scott,Carrasco,-5.0
2023-04-10,2023,NYM,SDP,5.0,0.0,1,1,Scherzer,Darvish,5.0
2023-04-11,2023,NYM,SDP,2.0,4.0,1,0,Weathers,Peterson,-2.0
2023-04-12,2023,NYM,SDP,5.0,2.0,1,1,Megill,Snell,3.0
2023-04-14,2023,NYM,OAK,17.0,6.0,0,1,Santana,Kaprielian,11.0
2023-04-15,2023,NYM,OAK,3.0,2.0,0,1,Smith,Fujinami,1.0
2023-04-16,2023,NYM,OAK,4.0,3.0,0,1,Yacabonis,Moll,1.0
2023-04-17,2023,NYM,LAD,8.0,6.0,0,1,Peterson,Vesia,2.0
2023-04-18,2023,NYM,LAD,0.0,5.0,0,0,Kershaw,Megill,-5.0
2023-04-19,2023,NYM,LAD,5.0,3.0,0,1,Yacabonis,Syndergaard,2.0
2023-04-20,2023,NYM,SFG,9.0,4.0,0,1,Senga,Manaea,5.0
2023-04-21,2023,NYM,SFG,7.0,0.0,0,1,Lucchesi,DeSclafani,7.0
2023-04-22,2023,NYM,SFG,4.0,7.0,0,0,Webb,Peterson,-3.0
2023-04-23,2023,NYM,SFG,4.0,5.0,0,0,Alexander,Smith,-1.0
2023-04-25,2023,NYM,WSN,0.0,5.0,1,0,Gray,Buttó,-5.0
2023-04-26,2023,NYM,WSN,1.0,4.0,1,0,Gore,Senga,-3.0
2023-04-27,2023,NYM,WSN,9.0,8.0,1,1,Robertson,Thompson,1.0
2023-04-28,2023,NYM,ATL,0.0,4.0,1,0,Fried,Peterson,-4.0
2023-05-04,2023,NYM,DET,0.0,2.0,0,0,Rodríguez,Verlander,-2.0
2023-05-05,2023,NYM,COL,1.0,0.0,1,1,Senga,Senzatela,1.0
2023-05-06,2023,NYM,COL,2.0,5.0,1,0,Gomber,Megill,-3.0
2023-05-07,2023,NYM,COL,6.0,13.0,1,0,Suter,Yacabonis,-7.0
2023-05-09,2023,NYM,CIN,6.0,7.0,0,0,Weaver,Peterson,-1.0
2023-05-10,2023,NYM,CIN,2.0,1.0,0,1,Verlander,Greene,1.0
2023-05-11,2023,NYM,CIN,0.0,5.0,0,0,Lively,Senga,-5.0
2023-05-12,2023,NYM,WSN,3.0,2.0,0,1,Megill,Edwards,1.0
2023-05-13,2023,NYM,WSN,2.0,3.0,0,0,Harvey,Leone,-1.0
2023-05-14,2023,NYM,WSN,8.0,2.0,0,1,Scherzer,Irvin,6.0
2023-05-15,2023,NYM,WSN,3.0,10.0,0,0,Corbin,Peterson,-7.0
2023-05-16,2023,NYM,TBR,5.0,8.0,1,0,Chirinos,Verlander,-3.0
2023-05-17,2023,NYM,TBR,8.0,7.0,1,1,Robertson,Fairbanks,1.0
2023-05-18,2023,NYM,TBR,3.0,2.0,1,1,Megill,Littell,1.0
2023-05-19,2023,NYM,CLE,10.0,9.0,1,1,Smith,Clase,1.0
2023-05-23,2023,NYM,CHC,2.0,7.0,0,0,Smyly,Megill,-5.0
2023-05-24,2023,NYM,CHC,2.0,4.0,0,0,Stroman,Senga,-2.0
2023-05-25,2023,NYM,CHC,10.0,1.0,0,1,Carrasco,Hendricks,9.0
2023-05-26,2023,NYM,COL,5.0,2.0,0,1,Scherzer,Seabold,3.0
2023-05-27,2023,NYM,COL,7.0,10.0,0,0,Lawrence,Brigham,-3.0
2023-05-28,2023,NYM,COL,10.0,11.0,0,0,Lambert,Nogosek,-1.0
2023-05-30,2023,NYM,PHI,2.0,0.0,1,1,Senga,Suarez,2.0
2023-05-31,2023,NYM,PHI,4.0,1.0,1,1,Carrasco,Nola,3.0
2023-06-01,2023,NYM,PHI,4.0,2.0,1,1,Scherzer,Walker,2.0
2023-06-02,2023,NYM,TOR,0.0,3.0,1,0,Bassitt,Verlander,-3.0
2023-06-03,2023,NYM,TOR,1.0,2.0,1,0,Pearson,Robertson,-1.0
2023-06-04,2023,NYM,TOR,4.0,6.0,1,0,Pearson,Leone,-2.0
2023-06-06,2023,NYM,ATL,4.0,6.0,0,0,Elder,Smith,-2.0
2023-06-07,2023,NYM,ATL,5.0,7.0,0,0,Anderson,Raley,-2.0
2023-06-08,2023,NYM,ATL,10.0,13.0,0,0,Iglesias,Hunter,-3.0
2023-06-09,2023,NYM,PIT,7.0,14.0,0,0,Hill,Megill,-7.0
2023-06-10,2023,NYM,PIT,5.0,1.0,0,1,Senga,Oviedo,4.0
2023-06-11,2023,NYM,PIT,1.0,2.0,0,0,Keller,Carrasco,-1.0
