date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2022-04-08,2022,NYY,BOS,6.0,5.0,1,1,King,Crawford,1.0
2022-04-09,2022,NYY,BOS,4.0,2.0,1,1,Luetge,Pivetta,2.0
2022-04-10,2022,NYY,BOS,3.0,4.0,1,0,Crawford,Schmidt,-1.0
2022-04-11,2022,NYY,TOR,0.0,3.0,1,0,Manoah,Taillon,-3.0
2022-04-12,2022,NYY,TOR,4.0,0.0,1,1,Holmes,Kikuchi,4.0
2022-04-13,2022,NYY,TOR,4.0,6.0,1,0,Cimber,Green,-2.0
2022-04-14,2022,NYY,TOR,3.0,0.0,1,1,Severino,Gausman,3.0
2022-04-15,2022,NYY,BAL,1.0,2.0,0,0,Krehbiel,Schmidt,-1.0
2022-04-16,2022,NYY,BAL,5.0,2.0,0,1,Sears,Lakins,3.0
2022-04-17,2022,NYY,BAL,0.0,5.0,0,0,López,Loaisiga,-5.0
2022-04-19,2022,NYY,DET,4.0,2.0,0,1,Schmidt,Alexander,2.0
2022-04-20,2022,NYY,DET,5.0,3.0,0,1,Green,Hutchison,2.0
2022-04-21,2022,NYY,DET,0.0,3.0,0,0,Pineda,Montgomery,-3.0
2022-04-22,2022,NYY,CLE,4.0,1.0,1,1,Taillon,Morgan,3.0
2022-04-23,2022,NYY,CLE,5.0,4.0,1,1,Castro,Clase,1.0
2022-04-24,2022,NYY,CLE,10.0,2.0,1,1,Cole,Civale,8.0
2022-04-26,2022,NYY,BAL,12.0,8.0,1,1,Severino,Lyles,4.0
2022-04-27,2022,NYY,BAL,5.0,2.0,1,1,King,Krehbiel,3.0
2022-04-28,2022,NYY,BAL,10.0,5.0,1,1,Castro,Zimmermann,5.0
2022-04-29,2022,NYY,KCR,12.0,2.0,0,1,Cortés,Bubic,10.0
2022-04-30,2022,NYY,KCR,3.0,0.0,0,1,Cole,Hernández,3.0
2022-05-01,2022,NYY,KCR,6.0,4.0,0,1,Schmidt,Coleman,2.0
2022-05-02,2022,NYY,TOR,3.0,2.0,0,1,Holmes,García,1.0
2022-05-03,2022,NYY,TOR,9.0,1.0,0,1,Taillon,Cimber,8.0
2022-05-04,2022,NYY,TOR,1.0,2.0,0,0,Kikuchi,Cortés,-1.0
2022-05-09,2022,NYY,TEX,1.0,0.0,1,1,Holmes,Martin,1.0
2022-05-10,2022,NYY,TOR,6.0,5.0,1,1,Peralta,Romano,1.0
2022-05-11,2022,NYY,TOR,5.0,3.0,1,1,Taillon,Berríos,2.0
2022-05-12,2022,NYY,CHW,15.0,7.0,0,1,Loaisiga,Kelly,8.0
2022-05-13,2022,NYY,CHW,10.0,4.0,0,1,Cole,Velasquez,6.0
2022-05-14,2022,NYY,CHW,2.0,3.0,0,0,Hendriks,Chapman,-1.0
2022-05-15,2022,NYY,CHW,5.0,1.0,0,1,Cortés,Kopech,4.0
2022-05-16,2022,NYY,BAL,6.0,2.0,0,1,Severino,Bradish,4.0
2022-05-17,2022,NYY,BAL,5.0,4.0,0,1,Taillon,Tate,1.0
2022-05-18,2022,NYY,BAL,3.0,2.0,0,1,Cole,Lyles,1.0
2022-05-19,2022,NYY,BAL,6.0,9.0,0,0,Bautista,Luetge,-3.0
2022-05-21,2022,NYY,CHW,7.0,5.0,1,1,Cortés,Keuchel,2.0
2022-05-23,2022,NYY,BAL,4.0,6.0,1,0,Lyles,Cole,-2.0
2022-05-24,2022,NYY,BAL,7.0,6.0,1,1,Schmidt,Baker,1.0
2022-05-25,2022,NYY,BAL,2.0,0.0,1,1,Sears,Wells,2.0
2022-05-26,2022,NYY,TBR,7.0,2.0,0,1,Cortés,Yarbrough,5.0
2022-05-27,2022,NYY,TBR,2.0,0.0,0,1,Taillon,Springs,2.0
2022-05-28,2022,NYY,TBR,1.0,3.0,0,0,Feyereisen,Luetge,-2.0
2022-05-29,2022,NYY,TBR,2.0,4.0,0,0,McClanahan,Severino,-2.0
2022-05-31,2022,NYY,LAA,9.0,1.0,1,1,Montgomery,Syndergaard,8.0
2022-06-03,2022,NYY,DET,13.0,0.0,1,1,Cole,Rodríguez,13.0
2022-06-04,2022,NYY,DET,3.0,0.0,1,1,Severino,Brieske,3.0
2022-06-05,2022,NYY,DET,5.0,4.0,1,1,King,Soto,1.0
2022-06-07,2022,NYY,MIN,10.0,4.0,0,1,Luetge,Sands,6.0
2022-06-08,2022,NYY,MIN,1.0,8.0,0,0,Archer,Cortés,-7.0
2022-06-09,2022,NYY,MIN,10.0,7.0,0,1,Castro,Duran,3.0
2022-06-10,2022,NYY,CHC,2.0,1.0,1,1,Marinaccio,Mills,1.0
2022-06-11,2022,NYY,CHC,8.0,0.0,1,1,Montgomery,Swarmer,8.0
2022-06-12,2022,NYY,CHC,18.0,4.0,1,1,Taillon,Thompson,14.0
2022-06-14,2022,NYY,TBR,2.0,0.0,1,1,Cole,Kluber,2.0
2022-06-15,2022,NYY,TBR,4.0,3.0,1,1,Cortés,McClanahan,1.0
2022-06-16,2022,NYY,TBR,2.0,1.0,1,1,King,Armstrong,1.0
2022-06-17,2022,NYY,TOR,12.0,3.0,0,1,Montgomery,Stripling,9.0
2022-06-18,2022,NYY,TOR,4.0,0.0,0,1,Taillon,Manoah,4.0
2022-06-19,2022,NYY,TOR,9.0,10.0,0,0,García,Peralta,-1.0
2022-06-20,2022,NYY,TBR,4.0,2.0,0,1,Peralta,Adam,2.0
2022-06-21,2022,NYY,TBR,4.0,5.0,0,0,Armstrong,Cortés,-1.0
2022-06-22,2022,NYY,TBR,5.0,4.0,0,1,Schmidt,Garza,1.0
2022-06-23,2022,NYY,HOU,7.0,6.0,1,1,Castro,Pressly,1.0
2022-06-24,2022,NYY,HOU,1.0,3.0,1,0,Verlander,Severino,-2.0
2022-06-25,2022,NYY,HOU,0.0,3.0,1,0,Javier,Cole,-3.0
2022-06-26,2022,NYY,HOU,6.0,3.0,1,1,King,Martinez,3.0
2022-06-27,2022,NYY,OAK,9.0,5.0,1,1,Abreu,Puk,4.0
2022-06-28,2022,NYY,OAK,2.0,1.0,1,1,Sears,Montas,1.0
2022-06-29,2022,NYY,OAK,5.0,3.0,1,1,Taillon,Irvin,2.0
2022-06-30,2022,NYY,HOU,1.0,2.0,0,0,Garcia,Severino,-1.0
2022-07-03,2022,NYY,CLE,0.0,2.0,0,0,McKenzie,Montgomery,-2.0
2022-07-05,2022,NYY,PIT,2.0,5.0,0,0,Quintana,Taillon,-3.0
2022-07-06,2022,NYY,PIT,16.0,0.0,0,1,Severino,Keller,16.0
