date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2023-03-30,2023,NYY,SFG,5.0,0.0,1,1,5.0
2023-04-01,2023,NYY,SFG,5.0,7.0,1,0,-2.0
2023-04-02,2023,NYY,SFG,6.0,0.0,1,1,6.0
2023-04-03,2023,NYY,PHI,8.0,1.0,1,1,7.0
2023-04-04,2023,NYY,PHI,1.0,4.0,1,0,-3.0
2023-04-05,2023,NYY,PHI,4.0,2.0,1,1,2.0
2023-04-07,2023,NYY,BAL,6.0,7.0,0,0,-1.0
2023-04-08,2023,NYY,BAL,4.0,1.0,0,1,3.0
2023-04-09,2023,NYY,BAL,5.0,3.0,0,1,2.0
2023-04-10,2023,NYY,CLE,2.0,3.0,0,0,-1.0
2023-04-11,2023,NYY,CLE,11.0,2.0,0,1,9.0
2023-04-12,2023,NYY,CLE,4.0,3.0,0,1,1.0
2023-04-13,2023,NYY,MIN,2.0,11.0,1,0,-9.0
2023-04-14,2023,NYY,MIN,3.0,4.0,1,0,-1.0
2023-04-15,2023,NYY,MIN,6.0,1.0,1,1,5.0
2023-04-16,2023,NYY,MIN,2.0,0.0,1,1,2.0
2023-04-18,2023,NYY,LAA,2.0,5.0,1,0,-3.0
2023-04-19,2023,NYY,LAA,3.0,2.0,1,1,1.0
2023-04-20,2023,NYY,LAA,9.0,3.0,1,1,6.0
2023-04-21,2023,NYY,TOR,1.0,6.0,1,0,-5.0
2023-04-22,2023,NYY,TOR,3.0,2.0,1,1,1.0
2023-04-23,2023,NYY,TOR,1.0,5.0,1,0,-4.0
2023-04-24,2023,NYY,MIN,1.0,6.0,0,0,-5.0
2023-04-25,2023,NYY,MIN,2.0,6.0,0,0,-4.0
2023-04-26,2023,NYY,MIN,12.0,6.0,0,1,6.0
2023-04-27,2023,NYY,TEX,4.0,2.0,0,1,2.0
2023-04-28,2023,NYY,TEX,2.0,5.0,0,0,-3.0
2023-04-29,2023,NYY,TEX,0.0,2.0,0,0,-2.0
2023-04-30,2023,NYY,TEX,2.0,15.0,0,0,-13.0
2023-05-01,2023,NYY,CLE,2.0,3.0,1,0,-1.0
2023-05-02,2023,NYY,CLE,4.0,2.0,1,1,2.0
2023-05-03,2023,NYY,CLE,4.0,3.0,1,1,1.0
2023-05-05,2023,NYY,TBR,4.0,5.0,0,0,-1.0
2023-05-06,2023,NYY,TBR,3.0,2.0,0,1,1.0
2023-05-07,2023,NYY,TBR,7.0,8.0,0,0,-1.0
2023-05-08,2023,NYY,OAK,7.0,2.0,1,1,5.0
2023-05-09,2023,NYY,OAK,10.0,5.0,1,1,5.0
2023-05-10,2023,NYY,OAK,11.0,3.0,1,1,8.0
2023-05-11,2023,NYY,TBR,2.0,8.0,1,0,-6.0
2023-05-12,2023,NYY,TBR,6.0,5.0,1,1,1.0
2023-05-13,2023,NYY,TBR,9.0,8.0,1,1,1.0
2023-05-14,2023,NYY,TBR,7.0,8.0,1,0,-1.0
2023-05-15,2023,NYY,TOR,7.0,4.0,0,1,3.0
2023-05-16,2023,NYY,TOR,6.0,3.0,0,1,3.0
2023-05-17,2023,NYY,TOR,0.0,3.0,0,0,-3.0
2023-05-18,2023,NYY,TOR,4.0,2.0,0,1,2.0
2023-05-19,2023,NYY,CIN,6.0,2.0,0,1,4.0
2023-05-20,2023,NYY,CIN,7.0,4.0,0,1,3.0
2023-05-21,2023,NYY,CIN,4.0,1.0,0,1,3.0
2023-05-23,2023,NYY,BAL,6.0,5.0,1,1,1.0
2023-05-24,2023,NYY,BAL,6.0,9.0,1,0,-3.0
2023-05-25,2023,NYY,BAL,1.0,3.0,1,0,-2.0
2023-05-26,2023,NYY,SDP,1.0,5.0,1,0,-4.0
2023-05-27,2023,NYY,SDP,3.0,2.0,1,1,1.0
2023-05-28,2023,NYY,SDP,10.0,7.0,1,1,3.0
2023-05-29,2023,NYY,SEA,10.0,4.0,0,1,6.0
2023-05-30,2023,NYY,SEA,10.0,2.0,0,1,8.0
2023-05-31,2023,NYY,SEA,0.0,1.0,0,0,-1.0
2023-06-02,2023,NYY,LAD,4.0,8.0,0,0,-4.0
2023-06-03,2023,NYY,LAD,6.0,3.0,0,1,3.0
2023-06-04,2023,NYY,LAD,4.0,1.0,0,1,3.0
2023-06-06,2023,NYY,CHW,2.0,3.0,1,0,-1.0
2023-06-09,2023,NYY,BOS,2.0,3.0,1,0,-1.0
2023-06-10,2023,NYY,BOS,3.0,1.0,1,1,2.0
2023-06-11,2023,NYY,BOS,2.0,3.0,1,0,-1.0
2023-06-13,2023,NYY,NYM,7.0,6.0,0,1,1.0
2023-06-14,2023,NYY,NYM,3.0,4.0,0,0,-1.0
2023-06-16,2023,NYY,BOS,5.0,15.0,0,0,-10.0
2023-06-20,2023,NYY,SEA,3.0,1.0,1,1,2.0
2023-06-21,2023,NYY,SEA,4.0,2.0,1,1,2.0
2023-06-22,2023,NYY,SEA,2.0,10.0,1,0,-8.0
2023-06-23,2023,NYY,TEX,2.0,4.0,1,0,-2.0
2023-06-24,2023,NYY,TEX,1.0,0.0,1,1,1.0
2023-06-25,2023,NYY,TEX,5.0,3.0,1,1,2.0
2023-06-27,2023,NYY,OAK,1.0,2.0,0,0,-1.0
2023-06-28,2023,NYY,OAK,11.0,0.0,0,1,11.0
2023-06-29,2023,NYY,OAK,10.0,4.0,0,1,6.0
2023-07-02,2023,NYY,STL,1.0,5.0,0,0,-4.0
2023-07-03,2023,NYY,BAL,6.0,3.0,1,1,3.0
2023-07-04,2023,NYY,BAL,8.0,4.0,1,1,4.0
2023-07-05,2023,NYY,BAL,3.0,6.0,1,0,-3.0
2023-07-06,2023,NYY,BAL,1.0,14.0,1,0,-13.0
2023-07-07,2023,NYY,CHC,0.0,3.0,1,0,-3.0
2023-07-08,2023,NYY,CHC,6.0,3.0,1,1,3.0
2023-07-09,2023,NYY,CHC,4.0,7.0,1,0,-3.0
2023-07-14,2023,NYY,COL,2.0,7.0,0,0,-5.0
2023-07-15,2023,NYY,COL,6.0,3.0,0,1,3.0
2023-07-16,2023,NYY,COL,7.0,8.0,0,0,-1.0
2023-07-17,2023,NYY,LAA,3.0,4.0,0,0,-1.0
2023-07-18,2023,NYY,LAA,1.0,5.0,0,0,-4.0
2023-07-19,2023,NYY,LAA,3.0,7.0,0,0,-4.0
2023-07-21,2023,NYY,KCR,5.0,4.0,1,1,1.0
2023-07-22,2023,NYY,KCR,5.0,2.0,1,1,3.0
2023-07-23,2023,NYY,KCR,8.0,5.0,1,1,3.0
2023-07-25,2023,NYY,NYM,3.0,9.0,1,0,-6.0
2023-07-26,2023,NYY,NYM,3.0,1.0,1,1,2.0
2023-07-28,2023,NYY,BAL,0.0,1.0,0,0,-1.0
2023-07-29,2023,NYY,BAL,8.0,3.0,0,1,5.0
2023-07-30,2023,NYY,BAL,3.0,9.0,0,0,-6.0
2023-07-31,2023,NYY,TBR,1.0,5.0,1,0,-4.0
2023-08-01,2023,NYY,TBR,2.0,5.0,1,0,-3.0
2023-08-02,2023,NYY,TBR,7.0,2.0,1,1,5.0
2023-08-03,2023,NYY,HOU,4.0,3.0,1,1,1.0
2023-08-04,2023,NYY,HOU,3.0,7.0,1,0,-4.0
2023-08-05,2023,NYY,HOU,3.0,1.0,1,1,2.0
2023-08-06,2023,NYY,HOU,7.0,9.0,1,0,-2.0
2023-08-07,2023,NYY,CHW,1.0,5.0,0,0,-4.0
2023-08-08,2023,NYY,CHW,7.0,1.0,0,1,6.0
2023-08-09,2023,NYY,CHW,2.0,9.0,0,0,-7.0
2023-08-11,2023,NYY,MIA,9.0,4.0,0,1,5.0
2023-08-12,2023,NYY,MIA,1.0,3.0,0,0,-2.0
2023-08-13,2023,NYY,MIA,7.0,8.0,0,0,-1.0
2023-08-14,2023,NYY,ATL,3.0,11.0,0,0,-8.0
2023-08-15,2023,NYY,ATL,0.0,5.0,0,0,-5.0
2023-08-16,2023,NYY,ATL,0.0,2.0,0,0,-2.0
2023-08-18,2023,NYY,BOS,3.0,8.0,1,0,-5.0
2023-08-19,2023,NYY,BOS,1.0,8.0,1,0,-7.0
2023-08-20,2023,NYY,BOS,5.0,6.0,1,0,-1.0
2023-08-22,2023,NYY,WSN,1.0,2.0,1,0,-1.0
2023-08-23,2023,NYY,WSN,9.0,1.0,1,1,8.0
2023-08-24,2023,NYY,WSN,5.0,6.0,1,0,-1.0
2023-08-25,2023,NYY,TBR,6.0,2.0,0,1,4.0
2023-08-26,2023,NYY,TBR,0.0,3.0,0,0,-3.0
2023-08-27,2023,NYY,TBR,4.0,7.0,0,0,-3.0
2023-08-28,2023,NYY,DET,4.0,1.0,0,1,3.0
2023-08-29,2023,NYY,DET,4.0,2.0,0,1,2.0
2023-08-30,2023,NYY,DET,6.0,2.0,0,1,4.0
2023-08-31,2023,NYY,DET,3.0,4.0,0,0,-1.0
2023-09-01,2023,NYY,HOU,6.0,2.0,0,1,4.0
2023-09-02,2023,NYY,HOU,5.0,4.0,0,1,1.0
2023-09-03,2023,NYY,HOU,6.0,1.0,0,1,5.0
2023-09-05,2023,NYY,DET,5.0,1.0,1,1,4.0
2023-09-06,2023,NYY,DET,4.0,3.0,1,1,1.0
2023-09-07,2023,NYY,DET,3.0,10.0,1,0,-7.0
2023-09-08,2023,NYY,MIL,2.0,8.0,1,0,-6.0
2023-09-09,2023,NYY,MIL,2.0,9.0,1,0,-7.0
