date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2019-03-20,2019,OAK,SEA,7.0,9.0,1,0,Gonzales,Fiers,-2.0
2019-03-21,2019,OAK,SEA,4.0,5.0,1,0,Rosscup,Buchter,-1.0
2019-03-28,2019,OAK,LAA,4.0,0.0,1,1,Fiers,Cahill,4.0
2019-03-29,2019,OAK,LAA,2.0,6.0,1,0,Robles,Soria,-4.0
2019-03-30,2019,OAK,LAA,4.0,2.0,1,1,Anderson,Peña,2.0
2019-03-31,2019,OAK,LAA,2.0,1.0,1,1,Montas,Skaggs,1.0
2019-04-01,2019,OAK,BOS,7.0,0.0,1,1,Brooks,Price,7.0
2019-04-02,2019,OAK,BOS,1.0,0.0,1,1,Fiers,Sale,1.0
2019-04-03,2019,OAK,BOS,3.0,6.0,1,0,Barnes,Rodney,-3.0
2019-04-04,2019,OAK,BOS,7.0,3.0,1,1,Anderson,Rodríguez,4.0
2019-04-05,2019,OAK,HOU,2.0,3.0,0,0,McHugh,Montas,-1.0
2019-04-06,2019,OAK,HOU,0.0,6.0,0,0,Miley,Brooks,-6.0
2019-04-07,2019,OAK,HOU,8.0,9.0,0,0,Osuna,Treinen,-1.0
2019-04-08,2019,OAK,BAL,4.0,12.0,0,0,Cashner,Estrada,-8.0
2019-04-09,2019,OAK,BAL,13.0,2.0,0,1,Anderson,Means,11.0
2019-04-10,2019,OAK,BAL,10.0,3.0,0,1,Montas,Straily,7.0
2019-04-11,2019,OAK,BAL,8.0,5.0,0,1,Brooks,Bundy,3.0
2019-04-12,2019,OAK,TEX,8.0,6.0,0,1,Trivino,Martin,2.0
2019-04-14,2019,OAK,TEX,7.0,8.0,0,0,Springs,Soria,-1.0
2019-04-16,2019,OAK,HOU,1.0,9.0,1,0,McHugh,Estrada,-8.0
2019-04-17,2019,OAK,HOU,2.0,1.0,1,1,Montas,Miley,1.0
2019-04-19,2019,OAK,TOR,1.0,5.0,1,0,Stroman,Brooks,-4.0
2019-04-20,2019,OAK,TOR,1.0,10.0,1,0,Gaviglio,Fiers,-9.0
2019-04-21,2019,OAK,TOR,4.0,5.0,1,0,Hudson,Anderson,-1.0
2019-04-22,2019,OAK,TEX,6.0,1.0,1,1,Bassitt,Minor,5.0
2019-04-23,2019,OAK,TEX,11.0,5.0,1,1,Montas,Lynn,6.0
2019-04-24,2019,OAK,TEX,6.0,5.0,1,1,Treinen,Martin,1.0
2019-04-26,2019,OAK,TOR,2.0,4.0,0,0,Giles,Petit,-2.0
2019-04-27,2019,OAK,TOR,1.0,7.0,0,0,Sanchez,Anderson,-6.0
2019-04-28,2019,OAK,TOR,4.0,5.0,0,0,Luciano,Treinen,-1.0
2019-04-29,2019,OAK,BOS,4.0,9.0,0,0,Brasier,Montas,-5.0
2019-04-30,2019,OAK,BOS,1.0,5.0,0,0,Porcello,Brooks,-4.0
2019-05-01,2019,OAK,BOS,3.0,7.0,0,0,Walden,Fiers,-4.0
2019-05-03,2019,OAK,PIT,14.0,1.0,0,1,Anderson,Musgrove,13.0
2019-05-04,2019,OAK,PIT,4.0,6.0,0,0,Feliz,Wendelken,-2.0
2019-05-05,2019,OAK,PIT,3.0,5.0,0,0,Lyons,Rodney,-2.0
2019-05-07,2019,OAK,CIN,2.0,0.0,1,1,Fiers,Mahle,2.0
2019-05-08,2019,OAK,CIN,5.0,4.0,1,1,Hendriks,Stephenson,1.0
2019-05-09,2019,OAK,CIN,0.0,3.0,1,0,Roark,Bassitt,-3.0
2019-05-10,2019,OAK,CLE,4.0,3.0,1,1,Soria,Hand,1.0
