date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2024-03-28,2024,OAK,CLE,0.0,8.0,1,0,-8.0
2024-03-29,2024,OAK,CLE,4.0,6.0,1,0,-2.0
2024-03-30,2024,OAK,CLE,3.0,12.0,1,0,-9.0
2024-03-31,2024,OAK,CLE,4.0,3.0,1,1,1.0
2024-04-01,2024,OAK,BOS,0.0,9.0,1,0,-9.0
2024-04-02,2024,OAK,BOS,4.0,5.0,1,0,-1.0
2024-04-03,2024,OAK,BOS,0.0,1.0,1,0,-1.0
2024-04-05,2024,OAK,DET,4.0,5.0,0,0,-1.0
2024-04-06,2024,OAK,DET,4.0,0.0,0,1,4.0
2024-04-07,2024,OAK,DET,7.0,1.0,0,1,6.0
2024-04-09,2024,OAK,TEX,4.0,3.0,0,1,1.0
2024-04-10,2024,OAK,TEX,2.0,6.0,0,0,-4.0
2024-04-11,2024,OAK,TEX,1.0,0.0,0,1,1.0
2024-04-12,2024,OAK,WSN,2.0,1.0,1,1,1.0
2024-04-13,2024,OAK,WSN,1.0,3.0,1,0,-2.0
2024-04-14,2024,OAK,WSN,7.0,6.0,1,1,1.0
2024-04-15,2024,OAK,STL,1.0,3.0,1,0,-2.0
2024-04-16,2024,OAK,STL,2.0,3.0,1,0,-1.0
2024-04-17,2024,OAK,STL,6.0,3.0,1,1,3.0
2024-04-19,2024,OAK,CLE,2.0,10.0,0,0,-8.0
2024-04-20,2024,OAK,CLE,3.0,6.0,0,0,-3.0
2024-04-21,2024,OAK,CLE,2.0,6.0,0,0,-4.0
2024-04-22,2024,OAK,NYY,2.0,0.0,0,1,2.0
2024-04-23,2024,OAK,NYY,3.0,4.0,0,0,-1.0
2024-04-24,2024,OAK,NYY,3.0,7.0,0,0,-4.0
2024-04-25,2024,OAK,NYY,3.0,1.0,0,1,2.0
2024-04-26,2024,OAK,BAL,3.0,2.0,0,1,1.0
2024-04-27,2024,OAK,BAL,0.0,7.0,0,0,-7.0
2024-04-28,2024,OAK,BAL,7.0,6.0,0,1,1.0
2024-04-29,2024,OAK,PIT,5.0,1.0,1,1,4.0
2024-04-30,2024,OAK,PIT,5.0,2.0,1,1,3.0
2024-05-01,2024,OAK,PIT,4.0,0.0,1,1,4.0
2024-05-03,2024,OAK,MIA,3.0,1.0,1,1,2.0
2024-05-04,2024,OAK,MIA,20.0,4.0,1,1,16.0
2024-05-05,2024,OAK,MIA,3.0,12.0,1,0,-9.0
2024-05-06,2024,OAK,TEX,2.0,4.0,1,0,-2.0
2024-05-07,2024,OAK,TEX,8.0,15.0,1,0,-7.0
2024-05-10,2024,OAK,SEA,1.0,8.0,0,0,-7.0
2024-05-11,2024,OAK,SEA,8.0,1.0,0,1,7.0
2024-05-12,2024,OAK,SEA,4.0,8.0,0,0,-4.0
2024-05-13,2024,OAK,HOU,2.0,9.0,0,0,-7.0
2024-05-14,2024,OAK,HOU,1.0,2.0,0,0,-1.0
2024-05-15,2024,OAK,HOU,0.0,3.0,0,0,-3.0
2024-05-16,2024,OAK,HOU,1.0,8.0,0,0,-7.0
2024-05-17,2024,OAK,KCR,2.0,6.0,0,0,-4.0
2024-05-18,2024,OAK,KCR,3.0,5.0,0,0,-2.0
2024-05-19,2024,OAK,KCR,4.0,8.0,0,0,-4.0
2024-05-21,2024,OAK,COL,5.0,4.0,1,1,1.0
2024-05-22,2024,OAK,COL,3.0,4.0,1,0,-1.0
2024-05-23,2024,OAK,COL,10.0,9.0,1,1,1.0
2024-05-24,2024,OAK,HOU,3.0,6.0,1,0,-3.0
2024-05-25,2024,OAK,HOU,3.0,1.0,1,1,2.0
2024-05-26,2024,OAK,HOU,2.0,5.0,1,0,-3.0
2024-05-28,2024,OAK,TBR,3.0,0.0,0,1,3.0
2024-05-29,2024,OAK,TBR,3.0,4.0,0,0,-1.0
2024-05-30,2024,OAK,TBR,5.0,6.0,0,0,-1.0
2024-05-31,2024,OAK,ATL,2.0,4.0,0,0,-2.0
2024-06-01,2024,OAK,ATL,11.0,9.0,0,1,2.0
2024-06-02,2024,OAK,ATL,1.0,3.0,0,0,-2.0
2024-06-04,2024,OAK,SEA,3.0,4.0,1,0,-1.0
2024-06-05,2024,OAK,SEA,2.0,1.0,1,1,1.0
2024-06-06,2024,OAK,SEA,0.0,3.0,1,0,-3.0
2024-06-07,2024,OAK,TOR,2.0,1.0,1,1,1.0
2024-06-08,2024,OAK,TOR,0.0,7.0,1,0,-7.0
2024-06-09,2024,OAK,TOR,4.0,6.0,1,0,-2.0
2024-06-10,2024,OAK,SDP,1.0,6.0,0,0,-5.0
2024-06-11,2024,OAK,SDP,3.0,4.0,0,0,-1.0
2024-06-12,2024,OAK,SDP,4.0,5.0,0,0,-1.0
2024-06-13,2024,OAK,MIN,2.0,6.0,0,0,-4.0
2024-06-14,2024,OAK,MIN,5.0,6.0,0,0,-1.0
2024-06-18,2024,OAK,KCR,7.0,5.0,1,1,2.0
2024-06-19,2024,OAK,KCR,5.0,1.0,1,1,4.0
2024-06-20,2024,OAK,KCR,2.0,3.0,1,0,-1.0
2024-06-21,2024,OAK,MIN,6.0,5.0,1,1,1.0
2024-06-22,2024,OAK,MIN,2.0,10.0,1,0,-8.0
2024-06-23,2024,OAK,MIN,0.0,3.0,1,0,-3.0
2024-06-24,2024,OAK,LAA,1.0,5.0,0,0,-4.0
2024-06-25,2024,OAK,LAA,5.0,7.0,0,0,-2.0
2024-06-26,2024,OAK,LAA,2.0,5.0,0,0,-3.0
2024-06-28,2024,OAK,ARI,9.0,4.0,0,1,5.0
2024-06-29,2024,OAK,ARI,0.0,3.0,0,0,-3.0
2024-06-30,2024,OAK,ARI,1.0,5.0,0,0,-4.0
2024-07-02,2024,OAK,LAA,7.0,5.0,1,1,2.0
2024-07-03,2024,OAK,LAA,5.0,0.0,1,1,5.0
2024-07-04,2024,OAK,LAA,5.0,0.0,1,1,5.0
2024-07-05,2024,OAK,BAL,2.0,3.0,1,0,-1.0
2024-07-06,2024,OAK,BAL,19.0,8.0,1,1,11.0
2024-07-07,2024,OAK,BAL,3.0,6.0,1,0,-3.0
2024-07-09,2024,OAK,BOS,9.0,12.0,0,0,-3.0
2024-07-10,2024,OAK,BOS,5.0,2.0,0,1,3.0
2024-07-11,2024,OAK,BOS,0.0,7.0,0,0,-7.0
2024-07-12,2024,OAK,PHI,6.0,2.0,0,1,4.0
2024-07-13,2024,OAK,PHI,5.0,11.0,0,0,-6.0
