date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2019-03-28,2019,PHI,ATL,10.0,4.0,1,1,6.0
2019-03-30,2019,PHI,ATL,8.0,6.0,1,1,2.0
2019-03-31,2019,PHI,ATL,5.0,1.0,1,1,4.0
2019-04-02,2019,PHI,WSN,8.0,2.0,0,1,6.0
2019-04-03,2019,PHI,WSN,8.0,9.0,0,0,-1.0
2019-04-05,2019,PHI,MIN,10.0,4.0,1,1,6.0
2019-04-06,2019,PHI,MIN,2.0,6.0,1,0,-4.0
2019-04-07,2019,PHI,MIN,2.0,1.0,1,1,1.0
2019-04-08,2019,PHI,WSN,4.0,3.0,1,1,1.0
2019-04-09,2019,PHI,WSN,6.0,10.0,1,0,-4.0
2019-04-10,2019,PHI,WSN,1.0,15.0,1,0,-14.0
2019-04-12,2019,PHI,MIA,9.0,1.0,0,1,8.0
2019-04-13,2019,PHI,MIA,3.0,10.0,0,0,-7.0
2019-04-14,2019,PHI,MIA,3.0,1.0,0,1,2.0
2019-04-15,2019,PHI,NYM,6.0,7.0,1,0,-1.0
2019-04-16,2019,PHI,NYM,14.0,3.0,1,1,11.0
2019-04-17,2019,PHI,NYM,3.0,2.0,1,1,1.0
2019-04-18,2019,PHI,COL,2.0,6.0,0,0,-4.0
2019-04-19,2019,PHI,COL,3.0,4.0,0,0,-1.0
2019-04-20,2019,PHI,COL,8.0,5.0,0,1,3.0
2019-04-21,2019,PHI,COL,1.0,4.0,0,0,-3.0
2019-04-22,2019,PHI,NYM,1.0,5.0,0,0,-4.0
2019-04-23,2019,PHI,NYM,0.0,9.0,0,0,-9.0
2019-04-24,2019,PHI,NYM,6.0,0.0,0,1,6.0
2019-04-25,2019,PHI,MIA,1.0,3.0,1,0,-2.0
2019-04-26,2019,PHI,MIA,4.0,0.0,1,1,4.0
2019-04-27,2019,PHI,MIA,12.0,9.0,1,1,3.0
2019-04-28,2019,PHI,MIA,5.0,1.0,1,1,4.0
2019-04-30,2019,PHI,DET,1.0,3.0,1,0,-2.0
2019-05-01,2019,PHI,DET,7.0,3.0,1,1,4.0
2019-05-03,2019,PHI,WSN,4.0,2.0,1,1,2.0
2019-05-04,2019,PHI,WSN,8.0,10.0,1,0,-2.0
2019-05-05,2019,PHI,WSN,7.0,1.0,1,1,6.0
2019-05-06,2019,PHI,STL,0.0,6.0,0,0,-6.0
2019-05-07,2019,PHI,STL,11.0,1.0,0,1,10.0
2019-05-08,2019,PHI,STL,5.0,0.0,0,1,5.0
2019-05-10,2019,PHI,KCR,1.0,5.0,0,0,-4.0
2019-05-11,2019,PHI,KCR,7.0,0.0,0,1,7.0
2019-05-12,2019,PHI,KCR,6.0,1.0,0,1,5.0
2019-05-13,2019,PHI,MIL,7.0,4.0,1,1,3.0
2019-05-14,2019,PHI,MIL,1.0,6.0,1,0,-5.0
2019-05-15,2019,PHI,MIL,2.0,5.0,1,0,-3.0
2019-05-16,2019,PHI,MIL,3.0,11.0,1,0,-8.0
2019-05-17,2019,PHI,COL,5.0,4.0,1,1,1.0
2019-05-18,2019,PHI,COL,2.0,1.0,1,1,1.0
2019-05-19,2019,PHI,COL,7.0,5.0,1,1,2.0
2019-05-20,2019,PHI,CHC,5.0,4.0,0,1,1.0
2019-05-21,2019,PHI,CHC,2.0,3.0,0,0,-1.0
2019-05-22,2019,PHI,CHC,4.0,8.0,0,0,-4.0
2019-05-23,2019,PHI,CHC,9.0,7.0,0,1,2.0
2019-05-24,2019,PHI,MIL,6.0,4.0,0,1,2.0
2019-05-25,2019,PHI,MIL,7.0,2.0,0,1,5.0
2019-05-26,2019,PHI,MIL,1.0,9.0,0,0,-8.0
