date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2023-03-30,2023,PIT,CIN,5.0,4.0,0,1,1.0
2023-04-01,2023,PIT,CIN,2.0,6.0,0,0,-4.0
2023-04-02,2023,PIT,CIN,1.0,3.0,0,0,-2.0
2023-04-03,2023,PIT,BOS,7.0,6.0,0,1,1.0
2023-04-04,2023,PIT,BOS,4.0,1.0,0,1,3.0
2023-04-05,2023,PIT,BOS,4.0,1.0,0,1,3.0
2023-04-07,2023,PIT,CHW,13.0,9.0,1,1,4.0
2023-04-08,2023,PIT,CHW,5.0,11.0,1,0,-6.0
2023-04-09,2023,PIT,CHW,1.0,0.0,1,1,1.0
2023-04-10,2023,PIT,HOU,2.0,8.0,1,0,-6.0
2023-04-11,2023,PIT,HOU,7.0,4.0,1,1,3.0
2023-04-12,2023,PIT,HOU,0.0,7.0,1,0,-7.0
2023-04-13,2023,PIT,STL,5.0,0.0,0,1,5.0
2023-04-14,2023,PIT,STL,0.0,3.0,0,0,-3.0
2023-04-15,2023,PIT,STL,6.0,3.0,0,1,3.0
2023-04-16,2023,PIT,STL,4.0,5.0,0,0,-1.0
2023-04-17,2023,PIT,COL,14.0,3.0,0,1,11.0
2023-04-18,2023,PIT,COL,5.0,3.0,0,1,2.0
2023-04-19,2023,PIT,COL,14.0,3.0,0,1,11.0
2023-04-20,2023,PIT,CIN,4.0,3.0,1,1,1.0
2023-04-21,2023,PIT,CIN,4.0,2.0,1,1,2.0
2023-04-22,2023,PIT,CIN,2.0,1.0,1,1,1.0
2023-04-23,2023,PIT,CIN,2.0,0.0,1,1,2.0
2023-04-25,2023,PIT,LAD,7.0,8.0,1,0,-1.0
2023-04-26,2023,PIT,LAD,8.0,1.0,1,1,7.0
2023-04-27,2023,PIT,LAD,6.0,2.0,1,1,4.0
2023-04-30,2023,PIT,WSN,2.0,7.0,0,0,-5.0
2023-05-02,2023,PIT,TBR,1.0,4.0,0,0,-3.0
2023-05-03,2023,PIT,TBR,1.0,8.0,0,0,-7.0
2023-05-04,2023,PIT,TBR,2.0,3.0,0,0,-1.0
2023-05-05,2023,PIT,TOR,0.0,4.0,1,0,-4.0
2023-05-06,2023,PIT,TOR,2.0,8.0,1,0,-6.0
2023-05-07,2023,PIT,TOR,1.0,10.0,1,0,-9.0
2023-05-08,2023,PIT,COL,2.0,0.0,1,1,2.0
2023-05-09,2023,PIT,COL,1.0,10.0,1,0,-9.0
2023-05-10,2023,PIT,COL,3.0,4.0,1,0,-1.0
2023-05-12,2023,PIT,BAL,3.0,6.0,0,0,-3.0
2023-05-13,2023,PIT,BAL,0.0,2.0,0,0,-2.0
2023-05-14,2023,PIT,BAL,4.0,0.0,0,1,4.0
2023-05-16,2023,PIT,DET,0.0,4.0,0,0,-4.0
2023-05-17,2023,PIT,DET,8.0,0.0,0,1,8.0
2023-05-19,2023,PIT,ARI,13.0,3.0,1,1,10.0
2023-05-20,2023,PIT,ARI,3.0,4.0,1,0,-1.0
2023-05-21,2023,PIT,ARI,3.0,8.0,1,0,-5.0
2023-05-22,2023,PIT,TEX,6.0,4.0,1,1,2.0
2023-05-23,2023,PIT,TEX,1.0,6.0,1,0,-5.0
2023-05-24,2023,PIT,TEX,2.0,3.0,1,0,-1.0
2023-05-26,2023,PIT,SEA,11.0,6.0,0,1,5.0
2023-05-27,2023,PIT,SEA,0.0,5.0,0,0,-5.0
2023-05-28,2023,PIT,SEA,3.0,6.0,0,0,-3.0
2023-05-29,2023,PIT,SFG,4.0,14.0,0,0,-10.0
2023-05-30,2023,PIT,SFG,2.0,1.0,0,1,1.0
2023-05-31,2023,PIT,SFG,9.0,4.0,0,1,5.0
2023-06-02,2023,PIT,STL,7.0,5.0,1,1,2.0
2023-06-03,2023,PIT,STL,4.0,3.0,1,1,1.0
2023-06-04,2023,PIT,STL,2.0,1.0,1,1,1.0
2023-06-05,2023,PIT,OAK,5.0,4.0,1,1,1.0
2023-06-06,2023,PIT,OAK,2.0,11.0,1,0,-9.0
2023-06-07,2023,PIT,OAK,5.0,9.0,1,0,-4.0
2023-06-09,2023,PIT,NYM,14.0,7.0,1,1,7.0
2023-06-10,2023,PIT,NYM,1.0,5.0,1,0,-4.0
2023-06-11,2023,PIT,NYM,2.0,1.0,1,1,1.0
2023-06-13,2023,PIT,CHC,3.0,11.0,0,0,-8.0
2023-06-14,2023,PIT,CHC,6.0,10.0,0,0,-4.0
2023-06-15,2023,PIT,CHC,2.0,7.0,0,0,-5.0
2023-06-16,2023,PIT,MIL,4.0,5.0,0,0,-1.0
2023-06-17,2023,PIT,MIL,0.0,5.0,0,0,-5.0
2023-06-18,2023,PIT,MIL,2.0,5.0,0,0,-3.0
2023-06-19,2023,PIT,CHC,0.0,8.0,1,0,-8.0
2023-06-20,2023,PIT,CHC,0.0,4.0,1,0,-4.0
2023-06-21,2023,PIT,CHC,3.0,8.0,1,0,-5.0
2023-06-22,2023,PIT,MIA,4.0,6.0,0,0,-2.0
2023-06-23,2023,PIT,MIA,3.0,1.0,0,1,2.0
2023-06-24,2023,PIT,MIA,3.0,4.0,0,0,-1.0
2023-06-25,2023,PIT,MIA,0.0,2.0,0,0,-2.0
2023-06-27,2023,PIT,SDP,9.0,4.0,1,1,5.0
2023-06-28,2023,PIT,SDP,7.0,1.0,1,1,6.0
2023-06-29,2023,PIT,SDP,5.0,4.0,1,1,1.0
2023-06-30,2023,PIT,MIL,8.0,7.0,1,1,1.0
2023-07-01,2023,PIT,MIL,8.0,11.0,1,0,-3.0
2023-07-02,2023,PIT,MIL,3.0,6.0,1,0,-3.0
2023-07-03,2023,PIT,LAD,2.0,5.0,0,0,-3.0
2023-07-04,2023,PIT,LAD,9.0,7.0,0,1,2.0
2023-07-05,2023,PIT,LAD,4.0,6.0,0,0,-2.0
2023-07-06,2023,PIT,LAD,2.0,5.0,0,0,-3.0
2023-07-07,2023,PIT,ARI,3.0,7.0,0,0,-4.0
2023-07-08,2023,PIT,ARI,2.0,3.0,0,0,-1.0
2023-07-09,2023,PIT,ARI,4.0,2.0,0,1,2.0
2023-07-14,2023,PIT,SFG,4.0,6.0,1,0,-2.0
2023-07-15,2023,PIT,SFG,1.0,3.0,1,0,-2.0
2023-07-16,2023,PIT,SFG,4.0,8.0,1,0,-4.0
2023-07-17,2023,PIT,CLE,0.0,11.0,1,0,-11.0
2023-07-18,2023,PIT,CLE,1.0,10.0,1,0,-9.0
2023-07-19,2023,PIT,CLE,7.0,5.0,1,1,2.0
2023-07-21,2023,PIT,LAA,5.0,8.0,0,0,-3.0
2023-07-22,2023,PIT,LAA,3.0,0.0,0,1,3.0
2023-07-23,2023,PIT,LAA,5.0,7.0,0,0,-2.0
2023-07-24,2023,PIT,SDP,8.0,4.0,0,1,4.0
2023-07-25,2023,PIT,SDP,1.0,5.0,0,0,-4.0
2023-07-26,2023,PIT,SDP,3.0,2.0,0,1,1.0
2023-07-28,2023,PIT,PHI,1.0,2.0,1,0,-1.0
2023-07-29,2023,PIT,PHI,7.0,6.0,1,1,1.0
2023-07-30,2023,PIT,PHI,6.0,4.0,1,1,2.0
2023-08-01,2023,PIT,DET,4.0,1.0,1,1,3.0
2023-08-02,2023,PIT,DET,3.0,6.0,1,0,-3.0
2023-08-03,2023,PIT,MIL,1.0,14.0,0,0,-13.0
2023-08-04,2023,PIT,MIL,8.0,4.0,0,1,4.0
2023-08-05,2023,PIT,MIL,2.0,3.0,0,0,-1.0
2023-08-06,2023,PIT,MIL,4.0,1.0,0,1,3.0
2023-08-07,2023,PIT,ATL,7.0,6.0,1,1,1.0
2023-08-08,2023,PIT,ATL,6.0,8.0,1,0,-2.0
2023-08-09,2023,PIT,ATL,5.0,6.0,1,0,-1.0
2023-08-10,2023,PIT,ATL,7.0,5.0,1,1,2.0
2023-08-11,2023,PIT,CIN,2.0,9.0,1,0,-7.0
2023-08-14,2023,PIT,NYM,2.0,7.0,0,0,-5.0
2023-08-15,2023,PIT,NYM,7.0,4.0,0,1,3.0
2023-08-16,2023,PIT,NYM,3.0,8.0,0,0,-5.0
2023-08-18,2023,PIT,MIN,1.0,5.0,0,0,-4.0
2023-08-19,2023,PIT,MIN,7.0,4.0,0,1,3.0
2023-08-20,2023,PIT,MIN,0.0,2.0,0,0,-2.0
2023-08-21,2023,PIT,STL,11.0,1.0,1,1,10.0
2023-08-22,2023,PIT,STL,6.0,3.0,1,1,3.0
2023-08-23,2023,PIT,STL,4.0,6.0,1,0,-2.0
2023-08-24,2023,PIT,CHC,4.0,5.0,1,0,-1.0
2023-08-25,2023,PIT,CHC,2.0,1.0,1,1,1.0
2023-08-26,2023,PIT,CHC,6.0,10.0,1,0,-4.0
2023-08-27,2023,PIT,CHC,1.0,10.0,1,0,-9.0
2023-08-28,2023,PIT,KCR,5.0,0.0,0,1,5.0
2023-08-29,2023,PIT,KCR,6.0,3.0,0,1,3.0
2023-08-30,2023,PIT,KCR,4.0,1.0,0,1,3.0
