date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2026-03-26,2026,PIT,NYM,7.0,11.0,0,0,Peralta,Skenes,-4.0
2026-03-28,2026,PIT,NYM,2.0,4.0,0,0,Lovelady,Barco,-2.0
2026-03-29,2026,PIT,NYM,4.0,3.0,0,1,Santana,Lovelady,1.0
2026-03-30,2026,PIT,CIN,0.0,2.0,0,0,Burns,Ashcraft,-2.0
2026-03-31,2026,PIT,CIN,8.0,3.0,0,1,Ramírez,Williamson,5.0
2026-04-01,2026,PIT,CIN,8.0,3.0,0,1,Skenes,Abbott,5.0
2026-04-03,2026,PIT,BAL,5.0,4.0,1,1,Keller,Bradish,1.0
2026-04-04,2026,PIT,BAL,3.0,2.0,1,1,Santana,Helsley,1.0
2026-04-05,2026,PIT,BAL,8.0,2.0,1,1,Ashcraft,Bassitt,6.0
2026-04-06,2026,PIT,SDP,0.0,5.0,1,0,Márquez,Chandler,-5.0
2026-04-07,2026,PIT,SDP,7.0,1.0,1,1,Skenes,Pivetta,6.0
2026-04-08,2026,PIT,SDP,2.0,8.0,1,0,King,Lawrence,-6.0
2026-04-10,2026,PIT,CHC,2.0,0.0,0,1,Montgomery,Thielbar,2.0
2026-04-11,2026,PIT,CHC,4.0,3.0,0,1,Ramírez,Thielbar,1.0
2026-04-12,2026,PIT,CHC,6.0,7.0,0,0,Palencia,Urquidy,-1.0
2026-04-13,2026,PIT,WSN,16.0,5.0,1,1,Skenes,Cavalli,11.0
2026-04-14,2026,PIT,WSN,4.0,5.0,1,0,Parker,Keller,-1.0
2026-04-15,2026,PIT,WSN,2.0,0.0,1,1,Mlodzinski,Irvin,2.0
2026-04-16,2026,PIT,WSN,7.0,8.0,1,0,Beeter,Santana,-1.0
2026-04-17,2026,PIT,TBR,5.0,1.0,1,1,Chandler,Martinez,4.0
2026-04-18,2026,PIT,TBR,7.0,8.0,1,0,Jax,Ramírez,-1.0
2026-04-19,2026,PIT,TBR,6.0,3.0,1,1,Keller,McClanahan,3.0
2026-04-21,2026,PIT,TEX,1.0,5.0,0,0,Rocker,Mlodzinski,-4.0
2026-04-22,2026,PIT,TEX,8.0,4.0,0,1,Soto,Winn,4.0
2026-04-23,2026,PIT,TEX,1.0,6.0,0,0,deGrom,Chandler,-5.0
2026-04-24,2026,PIT,MIL,6.0,0.0,0,1,Skenes,Woodruff,6.0
2026-04-25,2026,PIT,MIL,6.0,3.0,0,1,Soto,Zerpa,3.0
2026-04-26,2026,PIT,MIL,0.0,5.0,0,0,Harrison,Mlodzinski,-5.0
2026-04-27,2026,PIT,STL,2.0,4.0,1,0,Fernandez,Santana,-2.0
2026-04-28,2026,PIT,STL,7.0,11.0,1,0,Leahy,Ashcraft,-4.0
2026-04-29,2026,PIT,STL,4.0,5.0,1,0,Pallante,Chandler,-1.0
2026-04-30,2026,PIT,STL,5.0,10.0,1,0,Graceffo,Skenes,-5.0
2026-05-01,2026,PIT,CIN,9.0,1.0,1,1,Keller,Singer,8.0
2026-05-02,2026,PIT,CIN,17.0,7.0,1,1,Mlodzinski,Lowder,10.0
2026-05-03,2026,PIT,CIN,1.0,0.0,1,1,Soto,Santillan,1.0
2026-05-05,2026,PIT,ARI,0.0,9.0,0,0,Rodríguez,Chandler,-9.0
2026-05-06,2026,PIT,ARI,1.0,0.0,0,1,Skenes,Soroka,1.0
2026-05-07,2026,PIT,ARI,4.0,2.0,0,1,Keller,Gallen,2.0
2026-05-08,2026,PIT,SFG,2.0,5.0,0,0,Ray,Mlodzinski,-3.0
2026-05-09,2026,PIT,SFG,13.0,3.0,0,1,Ashcraft,Roupp,10.0
2026-05-10,2026,PIT,SFG,6.0,7.0,0,0,Borucki,Lawrence,-1.0
2026-05-12,2026,PIT,COL,3.0,1.0,1,1,Skenes,Lorenzen,2.0
2026-05-13,2026,PIT,COL,4.0,10.0,1,0,Senzatela,Keller,-6.0
2026-05-14,2026,PIT,COL,7.0,2.0,1,1,Mlodzinski,Dollander,5.0
2026-05-15,2026,PIT,PHI,9.0,11.0,1,0,Alvarado,Santana,-2.0
2026-05-16,2026,PIT,PHI,0.0,6.0,1,0,Sánchez,Chandler,-6.0
2026-05-17,2026,PIT,PHI,0.0,6.0,1,0,Wheeler,Skenes,-6.0
2026-05-19,2026,PIT,STL,6.0,9.0,0,0,Soriano,Montgomery,-3.0
2026-05-20,2026,PIT,STL,7.0,0.0,0,1,Mlodzinski,McGreevy,7.0
2026-05-21,2026,PIT,STL,6.0,2.0,0,1,Ashcraft,May,4.0
2026-05-22,2026,PIT,TOR,2.0,6.0,0,0,Gausman,Chandler,-4.0
2026-05-23,2026,PIT,TOR,2.0,5.0,0,0,Corbin,Skenes,-3.0
2026-05-24,2026,PIT,TOR,4.0,1.0,0,1,Keller,Cease,3.0
2026-05-25,2026,PIT,CHC,2.0,1.0,1,1,Dotel,Thornton,1.0
2026-05-26,2026,PIT,CHC,12.0,1.0,1,1,Ashcraft,Wicks,11.0
2026-05-27,2026,PIT,CHC,4.0,10.0,1,0,Webb,Ramírez,-6.0
2026-05-28,2026,PIT,CHC,2.0,7.0,1,0,Rea,Skenes,-5.0
2026-05-29,2026,PIT,MIN,6.0,5.0,1,1,Soto,Rogers,1.0
2026-05-30,2026,PIT,MIN,10.0,9.0,1,1,Ramírez,Ober,1.0
2026-05-31,2026,PIT,MIN,9.0,3.0,1,1,Ashcraft,Matthews,6.0
2026-06-02,2026,PIT,HOU,10.0,6.0,0,1,Chandler,Burrows,4.0
2026-06-03,2026,PIT,HOU,9.0,11.0,0,0,Blubaugh,Soto,-2.0
2026-06-04,2026,PIT,HOU,5.0,1.0,0,1,Jones,Teng,4.0
2026-06-05,2026,PIT,ATL,3.0,6.0,0,0,Pérez,Keller,-3.0
