date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2023-03-30,2023,SDP,COL,2.0,7.0,1,0,Márquez,Snell,-5.0
2023-03-31,2023,SDP,COL,1.0,4.0,1,0,Freeland,Martinez,-3.0
2023-04-01,2023,SDP,COL,8.0,4.0,1,1,Wacha,Ureña,4.0
2023-04-02,2023,SDP,COL,3.0,1.0,1,1,Lugo,Gomber,2.0
2023-04-03,2023,SDP,ARI,5.0,4.0,1,1,Hill,McGough,1.0
2023-04-04,2023,SDP,ARI,6.0,8.0,1,0,Ginkel,Garcia,-2.0
2023-04-06,2023,SDP,ATL,6.0,7.0,0,0,Minter,Crismatt,-1.0
2023-04-07,2023,SDP,ATL,5.0,4.0,0,1,Honeywell,Tonkin,1.0
2023-04-08,2023,SDP,ATL,4.0,1.0,0,1,Wacha,Morton,3.0
2023-04-09,2023,SDP,ATL,10.0,2.0,0,1,Lugo,Dodd,8.0
2023-04-10,2023,SDP,NYM,0.0,5.0,0,0,Scherzer,Darvish,-5.0
2023-04-11,2023,SDP,NYM,4.0,2.0,0,1,Weathers,Peterson,2.0
2023-04-12,2023,SDP,NYM,2.0,5.0,0,0,Megill,Snell,-3.0
2023-04-13,2023,SDP,MIL,3.0,4.0,1,0,Williams,Garcia,-1.0
2023-04-14,2023,SDP,MIL,2.0,11.0,1,0,Lauer,Wacha,-9.0
2023-04-15,2023,SDP,MIL,10.0,3.0,1,1,Wilson,Peralta,7.0
2023-04-16,2023,SDP,MIL,0.0,1.0,1,0,Miley,Darvish,-1.0
2023-04-17,2023,SDP,ATL,0.0,2.0,1,0,Fried,Weathers,-2.0
2023-04-18,2023,SDP,ATL,1.0,8.0,1,0,Strider,Snell,-7.0
2023-04-19,2023,SDP,ATL,1.0,0.0,1,1,Martinez,Morton,1.0
2023-04-20,2023,SDP,ARI,7.0,5.0,0,1,Honeywell,Nelson,2.0
2023-04-21,2023,SDP,ARI,0.0,9.0,0,0,Gallen,Lugo,-9.0
2023-04-22,2023,SDP,ARI,5.0,3.0,0,1,Musgrove,Kelly,2.0
2023-04-23,2023,SDP,ARI,7.0,5.0,0,1,Darvish,Jameson,2.0
2023-04-25,2023,SDP,CHC,0.0,6.0,0,0,Steele,Snell,-6.0
2023-04-26,2023,SDP,CHC,5.0,3.0,0,1,Martinez,Hughes,2.0
2023-04-27,2023,SDP,CHC,2.0,5.0,0,0,Wesneski,Lugo,-3.0
2023-04-29,2023,SDP,SFG,16.0,11.0,1,1,Cosgrove,Rogers,5.0
2023-04-30,2023,SDP,SFG,6.0,4.0,1,1,Garcia,Rogers,2.0
2023-05-01,2023,SDP,CIN,8.0,3.0,1,1,Snell,Weaver,5.0
2023-05-02,2023,SDP,CIN,1.0,2.0,1,0,Law,Garcia,-1.0
2023-05-03,2023,SDP,CIN,7.0,1.0,1,1,Lugo,Cessa,6.0
2023-05-05,2023,SDP,LAD,5.0,2.0,1,1,Darvish,Kershaw,3.0
2023-05-06,2023,SDP,LAD,1.0,2.0,1,0,May,Snell,-1.0
2023-05-07,2023,SDP,LAD,2.0,5.0,1,0,Ferguson,Honeywell,-3.0
2023-05-09,2023,SDP,MIN,6.0,1.0,0,1,Wacha,Jax,5.0
2023-05-10,2023,SDP,MIN,3.0,4.0,0,0,Jax,Tapia,-1.0
2023-05-11,2023,SDP,MIN,3.0,5.0,0,0,Pagán,Honeywell,-2.0
2023-05-12,2023,SDP,LAD,2.0,4.0,0,0,Ferguson,Hill,-2.0
2023-05-13,2023,SDP,LAD,2.0,4.0,0,0,Urías,Musgrove,-2.0
2023-05-14,2023,SDP,LAD,0.0,4.0,0,0,Gonsolin,Weathers,-4.0
2023-05-15,2023,SDP,KCR,4.0,0.0,1,1,Wacha,Keller,4.0
2023-05-16,2023,SDP,KCR,4.0,5.0,1,0,Singer,Lugo,-1.0
2023-05-17,2023,SDP,KCR,3.0,4.0,1,0,Taylor,Darvish,-1.0
2023-05-19,2023,SDP,BOS,1.0,6.0,1,0,Paxton,Snell,-5.0
2023-05-20,2023,SDP,BOS,2.0,4.0,1,0,Sale,Musgrove,-2.0
2023-05-21,2023,SDP,BOS,7.0,0.0,1,1,Wacha,Kluber,7.0
2023-05-23,2023,SDP,WSN,7.0,4.0,0,1,Darvish,Ramírez,3.0
2023-05-24,2023,SDP,WSN,3.0,5.0,0,0,Williams,Weathers,-2.0
2023-05-25,2023,SDP,WSN,8.0,6.0,0,1,Carlton,Harvey,2.0
2023-05-26,2023,SDP,NYY,5.0,1.0,0,1,Musgrove,Vásquez,4.0
2023-05-27,2023,SDP,NYY,2.0,3.0,0,0,Holmes,Martinez,-1.0
2023-05-28,2023,SDP,NYY,7.0,10.0,0,0,Cole,Darvish,-3.0
2023-05-30,2023,SDP,MIA,9.0,4.0,0,1,Martinez,Floro,5.0
2023-05-31,2023,SDP,MIA,1.0,2.0,0,0,Okert,Hader,-1.0
2023-06-01,2023,SDP,MIA,10.0,1.0,0,1,Musgrove,Luzardo,9.0
2023-06-02,2023,SDP,CHC,1.0,2.0,1,0,Taillon,Wacha,-1.0
2023-06-03,2023,SDP,CHC,6.0,0.0,1,1,Darvish,Smyly,6.0
2023-06-04,2023,SDP,CHC,1.0,7.0,1,0,Stroman,Weathers,-6.0
2023-06-05,2023,SDP,CHC,5.0,0.0,1,1,Snell,Hendricks,5.0
2023-06-06,2023,SDP,SEA,1.0,4.0,1,0,Gilbert,Honeywell,-3.0
2023-06-07,2023,SDP,SEA,10.0,3.0,1,1,Wacha,Kirby,7.0
2023-06-09,2023,SDP,COL,9.0,6.0,0,1,Darvish,Gomber,3.0
2023-06-10,2023,SDP,COL,3.0,2.0,0,1,Carlton,Bird,1.0
2023-06-11,2023,SDP,COL,4.0,5.0,0,0,Lawrence,Honeywell,-1.0
2023-06-13,2023,SDP,CLE,6.0,3.0,1,1,Musgrove,Bibee,3.0
2023-06-14,2023,SDP,CLE,5.0,0.0,1,1,Wacha,Civale,5.0
2023-06-15,2023,SDP,CLE,6.0,8.0,1,0,Stephan,Weathers,-2.0
2023-06-16,2023,SDP,TBR,2.0,6.0,1,0,McClanahan,Darvish,-4.0
2023-06-17,2023,SDP,TBR,2.0,0.0,1,1,Snell,Eflin,2.0
2023-06-18,2023,SDP,TBR,5.0,4.0,1,1,Musgrove,Chirinos,1.0
2023-06-19,2023,SDP,SFG,4.0,7.0,0,0,Doval,Kerr,-3.0
2023-06-20,2023,SDP,SFG,3.0,4.0,0,0,Rogers,Martinez,-1.0
2023-06-21,2023,SDP,SFG,2.0,4.0,0,0,Hjelle,Darvish,-2.0
2023-06-22,2023,SDP,SFG,10.0,0.0,0,1,Snell,Wood,10.0
2023-06-23,2023,SDP,WSN,13.0,3.0,1,1,Musgrove,Corbin,10.0
2023-06-24,2023,SDP,WSN,0.0,2.0,1,0,Gray,Waldron,-2.0
2023-06-25,2023,SDP,WSN,3.0,8.0,1,0,Gore,Lugo,-5.0
2023-06-27,2023,SDP,PIT,4.0,9.0,0,0,Hill,Knehr,-5.0
2023-06-28,2023,SDP,PIT,1.0,7.0,0,0,Keller,Snell,-6.0
2023-06-29,2023,SDP,PIT,4.0,5.0,0,0,Moreta,Hill,-1.0
2023-06-30,2023,SDP,CIN,5.0,7.0,0,0,Duarte,Carlton,-2.0
2023-07-01,2023,SDP,CIN,12.0,5.0,0,1,Wacha,Williamson,7.0
2023-07-02,2023,SDP,CIN,3.0,4.0,0,0,Sims,Cosgrove,-1.0
2023-07-03,2023,SDP,LAA,10.0,3.0,1,1,Snell,Barria,7.0
2023-07-04,2023,SDP,LAA,8.0,5.0,1,1,Musgrove,Ohtani,3.0
2023-07-05,2023,SDP,LAA,5.0,3.0,1,1,Martinez,Webb,2.0
2023-07-07,2023,SDP,NYM,5.0,7.0,1,0,Smith,Cosgrove,-2.0
2023-07-08,2023,SDP,NYM,3.0,1.0,1,1,Snell,Peterson,2.0
2023-07-09,2023,SDP,NYM,6.0,2.0,1,1,Musgrove,Scherzer,4.0
2023-07-14,2023,SDP,PHI,8.0,3.0,0,1,Darvish,Sánchez,5.0
2023-07-16,2023,SDP,PHI,6.0,7.0,0,0,Hoffman,Hill,-1.0
2023-07-18,2023,SDP,TOR,9.0,1.0,0,1,Musgrove,Manoah,8.0
2023-07-19,2023,SDP,TOR,2.0,0.0,0,1,Darvish,Berríos,2.0
2023-07-20,2023,SDP,TOR,0.0,4.0,0,0,Bassitt,Snell,-4.0
2023-07-21,2023,SDP,DET,5.0,4.0,0,1,Lugo,Olson,1.0
2023-07-22,2023,SDP,DET,14.0,3.0,0,1,Wolf,Englert,11.0
2023-07-23,2023,SDP,DET,1.0,3.0,0,0,Faedo,Musgrove,-2.0
2023-07-24,2023,SDP,PIT,4.0,8.0,1,0,Priester,Darvish,-4.0
2023-07-25,2023,SDP,PIT,5.0,1.0,1,1,Snell,Hill,4.0
2023-07-26,2023,SDP,PIT,2.0,3.0,1,0,Oviedo,Lugo,-1.0
2023-07-28,2023,SDP,TEX,7.0,1.0,1,1,Musgrove,Dunning,6.0
2023-07-29,2023,SDP,TEX,4.0,0.0,1,1,Darvish,Pérez,4.0
2023-07-30,2023,SDP,TEX,5.0,3.0,1,1,Snell,Leclerc,2.0
2023-07-31,2023,SDP,COL,3.0,4.0,0,0,Hand,Martinez,-1.0
2023-08-01,2023,SDP,COL,8.0,5.0,0,1,Suarez,Lambert,3.0
2023-08-02,2023,SDP,COL,11.0,1.0,0,1,Kerr,Freeland,10.0
2023-08-04,2023,SDP,LAD,5.0,10.0,1,0,Brasier,Suarez,-5.0
2023-08-05,2023,SDP,LAD,8.0,3.0,1,1,Martinez,Almonte,5.0
2023-08-06,2023,SDP,LAD,2.0,8.0,1,0,Lynn,Hill,-6.0
2023-08-07,2023,SDP,LAD,7.0,13.0,1,0,Gonsolin,Lugo,-6.0
2023-08-08,2023,SDP,SEA,0.0,2.0,0,0,Gilbert,Barlow,-2.0
2023-08-09,2023,SDP,SEA,1.0,6.0,0,0,Brash,Wilson,-5.0
2023-08-11,2023,SDP,ARI,10.0,5.0,0,1,Snell,Nelson,5.0
2023-08-12,2023,SDP,ARI,0.0,3.0,0,0,Gallen,Hill,-3.0
