date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2024-03-20,2024,SDP,LAD,2.0,5.0,1,0,-3.0
2024-03-21,2024,SDP,LAD,15.0,11.0,0,1,4.0
2024-03-28,2024,SDP,SFG,6.0,4.0,1,1,2.0
2024-03-29,2024,SDP,SFG,3.0,8.0,1,0,-5.0
2024-03-30,2024,SDP,SFG,6.0,9.0,1,0,-3.0
2024-03-31,2024,SDP,SFG,13.0,4.0,1,1,9.0
2024-04-01,2024,SDP,STL,2.0,6.0,1,0,-4.0
2024-04-02,2024,SDP,STL,2.0,5.0,1,0,-3.0
2024-04-03,2024,SDP,STL,3.0,2.0,1,1,1.0
2024-04-05,2024,SDP,SFG,2.0,3.0,0,0,-1.0
2024-04-06,2024,SDP,SFG,4.0,0.0,0,1,4.0
2024-04-07,2024,SDP,SFG,2.0,3.0,0,0,-1.0
2024-04-08,2024,SDP,CHC,9.0,8.0,1,1,1.0
2024-04-09,2024,SDP,CHC,1.0,5.0,1,0,-4.0
2024-04-10,2024,SDP,CHC,10.0,2.0,1,1,8.0
2024-04-12,2024,SDP,LAD,8.0,7.0,0,1,1.0
2024-04-13,2024,SDP,LAD,2.0,5.0,0,0,-3.0
2024-04-14,2024,SDP,LAD,6.0,3.0,0,1,3.0
2024-04-15,2024,SDP,MIL,7.0,3.0,0,1,4.0
2024-04-16,2024,SDP,MIL,6.0,3.0,0,1,3.0
2024-04-17,2024,SDP,MIL,0.0,1.0,0,0,-1.0
2024-04-19,2024,SDP,TOR,1.0,5.0,1,0,-4.0
2024-04-20,2024,SDP,TOR,2.0,5.0,1,0,-3.0
2024-04-21,2024,SDP,TOR,6.0,3.0,1,1,3.0
2024-04-22,2024,SDP,COL,3.0,1.0,0,1,2.0
2024-04-23,2024,SDP,COL,4.0,7.0,0,0,-3.0
2024-04-24,2024,SDP,COL,5.0,2.0,0,1,3.0
2024-04-25,2024,SDP,COL,9.0,10.0,0,0,-1.0
2024-04-26,2024,SDP,PHI,3.0,9.0,1,0,-6.0
2024-04-27,2024,SDP,PHI,1.0,5.0,1,0,-4.0
2024-04-28,2024,SDP,PHI,6.0,8.0,1,0,-2.0
2024-04-29,2024,SDP,CIN,2.0,5.0,1,0,-3.0
2024-04-30,2024,SDP,CIN,6.0,4.0,1,1,2.0
2024-05-01,2024,SDP,CIN,6.0,2.0,1,1,4.0
2024-05-03,2024,SDP,ARI,7.0,1.0,0,1,6.0
2024-05-04,2024,SDP,ARI,13.0,1.0,0,1,12.0
2024-05-05,2024,SDP,ARI,4.0,11.0,0,0,-7.0
2024-05-06,2024,SDP,CHC,6.0,3.0,0,1,3.0
2024-05-07,2024,SDP,CHC,2.0,3.0,0,0,-1.0
2024-05-08,2024,SDP,CHC,3.0,0.0,0,1,3.0
2024-05-10,2024,SDP,LAD,2.0,1.0,1,1,1.0
2024-05-11,2024,SDP,LAD,0.0,5.0,1,0,-5.0
2024-05-12,2024,SDP,LAD,4.0,0.0,1,1,4.0
2024-05-13,2024,SDP,COL,4.0,5.0,1,0,-1.0
2024-05-14,2024,SDP,COL,3.0,6.0,1,0,-3.0
2024-05-15,2024,SDP,COL,0.0,8.0,1,0,-8.0
2024-05-17,2024,SDP,ATL,3.0,1.0,0,1,2.0
2024-05-19,2024,SDP,ATL,9.0,1.0,0,1,8.0
2024-05-21,2024,SDP,CIN,0.0,2.0,0,0,-2.0
2024-05-22,2024,SDP,CIN,7.0,3.0,0,1,4.0
2024-05-23,2024,SDP,CIN,6.0,4.0,0,1,2.0
2024-05-24,2024,SDP,NYY,0.0,8.0,1,0,-8.0
2024-05-25,2024,SDP,NYY,1.0,4.0,1,0,-3.0
2024-05-26,2024,SDP,NYY,5.0,2.0,1,1,3.0
2024-05-27,2024,SDP,MIA,2.0,1.0,1,1,1.0
2024-05-28,2024,SDP,MIA,4.0,0.0,1,1,4.0
2024-05-29,2024,SDP,MIA,1.0,9.0,1,0,-8.0
2024-05-31,2024,SDP,KCR,11.0,8.0,0,1,3.0
2024-06-01,2024,SDP,KCR,7.0,3.0,0,1,4.0
2024-06-02,2024,SDP,KCR,3.0,4.0,0,0,-1.0
2024-06-03,2024,SDP,LAA,1.0,2.0,0,0,-1.0
2024-06-04,2024,SDP,LAA,2.0,4.0,0,0,-2.0
2024-06-05,2024,SDP,LAA,2.0,3.0,0,0,-1.0
2024-06-06,2024,SDP,ARI,3.0,4.0,1,0,-1.0
2024-06-07,2024,SDP,ARI,10.0,3.0,1,1,7.0
2024-06-08,2024,SDP,ARI,13.0,1.0,1,1,12.0
2024-06-09,2024,SDP,ARI,3.0,9.0,1,0,-6.0
2024-06-10,2024,SDP,OAK,6.0,1.0,1,1,5.0
2024-06-11,2024,SDP,OAK,4.0,3.0,1,1,1.0
2024-06-12,2024,SDP,OAK,5.0,4.0,1,1,1.0
2024-06-14,2024,SDP,NYM,1.0,2.0,0,0,-1.0
2024-06-15,2024,SDP,NYM,1.0,5.0,0,0,-4.0
