date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2019-03-20,2019,SEA,OAK,9.0,7.0,0,1,Gonzales,Fiers,2.0
2019-03-21,2019,SEA,OAK,5.0,4.0,0,1,Rosscup,Buchter,1.0
2019-03-28,2019,SEA,BOS,12.0,4.0,1,1,Gonzales,Sale,8.0
2019-03-29,2019,SEA,BOS,6.0,7.0,1,0,Johnson,Strickland,-1.0
2019-03-30,2019,SEA,BOS,6.0,5.0,1,1,Leake,Rodríguez,1.0
2019-03-31,2019,SEA,BOS,10.0,8.0,1,1,LeBlanc,Porcello,2.0
2019-04-01,2019,SEA,LAA,6.0,3.0,1,1,Hernández,Stratton,3.0
2019-04-02,2019,SEA,LAA,2.0,1.0,1,1,Gonzales,Garcia,1.0
2019-04-05,2019,SEA,CHW,8.0,10.0,0,0,Burr,Gearrin,-2.0
2019-04-06,2019,SEA,CHW,9.0,2.0,0,1,Leake,Giolito,7.0
2019-04-07,2019,SEA,CHW,12.0,5.0,0,1,LeBlanc,Nova,7.0
2019-04-08,2019,SEA,KCR,13.0,5.0,0,1,Elías,Bailey,8.0
2019-04-09,2019,SEA,KCR,6.0,3.0,0,1,Gonzales,Junis,3.0
2019-04-10,2019,SEA,KCR,6.0,5.0,0,1,Swarzak,Boxberger,1.0
2019-04-11,2019,SEA,KCR,7.0,6.0,0,1,Brennan,Sparkman,1.0
2019-04-12,2019,SEA,HOU,6.0,10.0,1,0,Peacock,Armstrong,-4.0
2019-04-13,2019,SEA,HOU,1.0,3.0,1,0,Verlander,Hernández,-2.0
2019-04-14,2019,SEA,HOU,2.0,3.0,1,0,Cole,Brennan,-1.0
2019-04-15,2019,SEA,CLE,4.0,6.0,1,0,Bauer,Kikuchi,-2.0
2019-04-16,2019,SEA,CLE,2.0,4.0,1,0,Bieber,Leake,-2.0
2019-04-17,2019,SEA,CLE,0.0,1.0,1,0,Carrasco,Swanson,-1.0
2019-04-18,2019,SEA,LAA,11.0,10.0,0,1,Swarzak,Allen,1.0
2019-04-19,2019,SEA,LAA,5.0,3.0,0,1,Rosscup,Allen,2.0
2019-04-20,2019,SEA,LAA,6.0,5.0,0,1,Kikuchi,Cahill,1.0
2019-04-21,2019,SEA,LAA,6.0,8.0,0,0,Barria,Leake,-2.0
2019-04-23,2019,SEA,SDP,3.0,6.0,0,0,Margevicius,Swanson,-3.0
2019-04-24,2019,SEA,SDP,0.0,1.0,0,0,Paddack,Hernández,-1.0
2019-04-25,2019,SEA,TEX,14.0,2.0,1,1,Gonzales,Hearn,12.0
2019-04-26,2019,SEA,TEX,5.0,4.0,1,1,Elías,Dowdy,1.0
2019-04-27,2019,SEA,TEX,1.0,15.0,1,0,Minor,Leake,-14.0
2019-04-28,2019,SEA,TEX,1.0,14.0,1,0,Lynn,Swanson,-13.0
2019-04-30,2019,SEA,CHC,5.0,6.0,1,0,Brach,Brennan,-1.0
2019-05-01,2019,SEA,CHC,0.0,11.0,1,0,Lester,Gonzales,-11.0
2019-05-03,2019,SEA,CLE,1.0,2.0,0,0,Hand,Swarzak,-1.0
2019-05-04,2019,SEA,CLE,4.0,5.0,0,0,Olson,Sadzeck,-1.0
2019-05-05,2019,SEA,CLE,10.0,0.0,0,1,Swanson,Anderson,10.0
2019-05-06,2019,SEA,NYY,3.0,7.0,0,0,Sabathia,Hernández,-4.0
2019-05-07,2019,SEA,NYY,4.0,5.0,0,0,Harvey,Swarzak,-1.0
2019-05-08,2019,SEA,NYY,10.0,1.0,0,1,Kikuchi,Loaisiga,9.0
2019-05-09,2019,SEA,NYY,1.0,3.0,0,0,Happ,Leake,-2.0
2019-05-10,2019,SEA,BOS,1.0,14.0,0,0,Rodríguez,Swanson,-13.0
2019-05-11,2019,SEA,BOS,5.0,9.0,0,0,Porcello,Hernández,-4.0
2019-05-12,2019,SEA,BOS,2.0,11.0,0,0,Velázquez,Gonzales,-9.0
2019-05-13,2019,SEA,OAK,6.0,5.0,1,1,Brennan,Soria,1.0
2019-05-14,2019,SEA,OAK,4.0,3.0,1,1,Leake,Anderson,1.0
2019-05-16,2019,SEA,MIN,6.0,11.0,1,0,Pineda,Swanson,-5.0
2019-05-17,2019,SEA,MIN,1.0,7.0,1,0,Pérez,Gonzales,-6.0
2019-05-18,2019,SEA,MIN,4.0,18.0,1,0,Duffey,LeBlanc,-14.0
2019-05-19,2019,SEA,MIN,7.0,4.0,1,1,Kikuchi,Gibson,3.0
2019-05-20,2019,SEA,TEX,9.0,10.0,0,0,Minor,Leake,-1.0
2019-05-21,2019,SEA,TEX,3.0,5.0,0,0,Lynn,Milone,-2.0
2019-05-22,2019,SEA,TEX,1.0,2.0,0,0,Sampson,Gonzales,-1.0
2019-05-24,2019,SEA,OAK,2.0,6.0,0,0,Trivino,LeBlanc,-4.0
2019-05-25,2019,SEA,OAK,5.0,6.0,0,0,Fiers,Kikuchi,-1.0
2019-05-26,2019,SEA,OAK,1.0,7.0,0,0,Anderson,Leake,-6.0
2019-05-27,2019,SEA,TEX,6.0,2.0,1,1,Milone,Lynn,4.0
2019-05-28,2019,SEA,TEX,4.0,11.0,1,0,Sampson,Gonzales,-7.0
2019-05-29,2019,SEA,TEX,7.0,8.0,1,0,Chavez,Bass,-1.0
2019-05-30,2019,SEA,LAA,3.0,9.0,1,0,Peña,Kikuchi,-6.0
2019-05-31,2019,SEA,LAA,4.0,3.0,1,1,Leake,Skaggs,1.0
2019-06-01,2019,SEA,LAA,3.0,6.0,1,0,Bedrosian,Brennan,-3.0
2019-06-02,2019,SEA,LAA,3.0,13.0,1,0,Suarez,Gonzales,-10.0
2019-06-03,2019,SEA,HOU,2.0,4.0,1,0,Valdez,Gearrin,-2.0
2019-06-04,2019,SEA,HOU,5.0,11.0,1,0,Guduan,Brennan,-6.0
2019-06-05,2019,SEA,HOU,14.0,1.0,1,1,Leake,Peacock,13.0
2019-06-06,2019,SEA,HOU,7.0,8.0,1,0,Devenski,Festa,-1.0
2019-06-07,2019,SEA,LAA,6.0,2.0,0,1,Gonzales,Heaney,4.0
2019-06-08,2019,SEA,LAA,3.0,12.0,0,0,Peters,Kikuchi,-9.0
2019-06-09,2019,SEA,LAA,9.0,3.0,0,1,LeBlanc,Suarez,6.0
2019-06-11,2019,SEA,MIN,5.0,6.0,0,0,Magill,Brennan,-1.0
2019-06-12,2019,SEA,MIN,9.0,6.0,0,1,Bass,Duffey,3.0
2019-06-13,2019,SEA,MIN,5.0,10.0,0,0,Harper,Brennan,-5.0
2019-06-14,2019,SEA,OAK,9.0,2.0,0,1,Gonzales,Bassitt,7.0
2019-06-15,2019,SEA,OAK,2.0,11.0,0,0,Montas,Bautista,-9.0
2019-06-16,2019,SEA,OAK,6.0,3.0,0,1,Leake,Trivino,3.0
2019-06-17,2019,SEA,KCR,4.0,6.0,1,0,Flynn,Bass,-2.0
2019-06-18,2019,SEA,KCR,0.0,9.0,1,0,Bailey,Kikuchi,-9.0
2019-06-19,2019,SEA,KCR,8.0,2.0,1,1,Gonzales,Keller,6.0
2019-06-20,2019,SEA,BAL,5.0,2.0,1,1,LeBlanc,Bundy,3.0
2019-06-21,2019,SEA,BAL,10.0,9.0,1,1,Leake,Gilmartin,1.0
2019-06-22,2019,SEA,BAL,4.0,8.0,1,0,Cashner,Milone,-4.0
2019-06-23,2019,SEA,BAL,13.0,3.0,1,1,Kikuchi,Ynoa,10.0
2019-06-25,2019,SEA,MIL,8.0,3.0,0,1,Gonzales,Davies,5.0
2019-06-26,2019,SEA,MIL,4.0,2.0,0,1,LeBlanc,Houser,2.0
2019-06-27,2019,SEA,MIL,2.0,4.0,0,0,Anderson,Leake,-2.0
2019-06-28,2019,SEA,HOU,1.0,2.0,0,0,Harris,Festa,-1.0
2019-06-29,2019,SEA,HOU,5.0,6.0,0,0,Devenski,Elías,-1.0
2019-06-30,2019,SEA,HOU,1.0,6.0,0,0,Cole,Gonzales,-5.0
2019-07-02,2019,SEA,STL,5.0,4.0,1,1,Adams,Gallegos,1.0
2019-07-03,2019,SEA,STL,2.0,5.0,1,0,Brebbia,Adams,-3.0
2019-07-04,2019,SEA,STL,4.0,5.0,1,0,Ponce de Leon,Milone,-1.0
2019-07-05,2019,SEA,OAK,2.0,5.0,1,0,Anderson,Kikuchi,-3.0
2019-07-06,2019,SEA,OAK,6.0,3.0,1,1,Gonzales,Bassitt,3.0
2019-07-07,2019,SEA,OAK,4.0,7.0,1,0,Mengden,Carasiti,-3.0
2019-07-12,2019,SEA,LAA,0.0,13.0,0,0,Peña,Leake,-13.0
2019-07-13,2019,SEA,LAA,2.0,9.0,0,0,Harvey,LeBlanc,-7.0
2019-07-14,2019,SEA,LAA,3.0,6.0,0,0,Buttrey,Bass,-3.0
2019-07-16,2019,SEA,OAK,2.0,9.0,0,0,Mengden,Gonzales,-7.0
2019-07-17,2019,SEA,OAK,2.0,10.0,0,0,Bailey,Milone,-8.0
2019-07-19,2019,SEA,LAA,10.0,0.0,1,1,Leake,Barria,10.0
2019-07-20,2019,SEA,LAA,2.0,6.0,1,0,Buttrey,Elías,-4.0
2019-07-21,2019,SEA,LAA,3.0,9.0,1,0,Peters,Kikuchi,-6.0
2019-07-22,2019,SEA,TEX,7.0,3.0,1,1,Gonzales,Sampson,4.0
2019-07-23,2019,SEA,TEX,2.0,7.0,1,0,Payano,Milone,-5.0
2019-07-24,2019,SEA,TEX,5.0,3.0,1,1,Leake,Minor,2.0
2019-07-25,2019,SEA,DET,10.0,2.0,1,1,LeBlanc,VerHagen,8.0
2019-07-26,2019,SEA,DET,3.0,2.0,1,1,Elías,Cisnero,1.0
2019-07-27,2019,SEA,DET,8.0,1.0,1,1,Gonzales,Alexander,7.0
2019-07-28,2019,SEA,DET,3.0,2.0,1,1,Elías,Cisnero,1.0
2019-07-30,2019,SEA,TEX,8.0,5.0,0,1,Tuivailala,Martin,3.0
2019-07-31,2019,SEA,TEX,7.0,9.0,0,0,Minor,LeBlanc,-2.0
2019-08-02,2019,SEA,HOU,2.0,10.0,0,0,Miley,Kikuchi,-8.0
2019-08-03,2019,SEA,HOU,0.0,9.0,0,0,Sanchez,Gonzales,-9.0
2019-08-04,2019,SEA,HOU,1.0,3.0,0,0,Verlander,Milone,-2.0
2019-08-06,2019,SEA,SDP,4.0,9.0,1,0,Lamet,LeBlanc,-5.0
2019-08-07,2019,SEA,SDP,3.0,2.0,1,1,Magill,Muñoz,1.0
2019-08-09,2019,SEA,TBR,3.0,5.0,1,0,Drake,Bass,-2.0
2019-08-10,2019,SEA,TBR,4.0,5.0,1,0,Morton,Milone,-1.0
