date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2020-07-24,2020,SEA,HOU,2.0,8.0,0,0,-6.0
2020-07-25,2020,SEA,HOU,2.0,7.0,0,0,-5.0
2020-07-26,2020,SEA,HOU,7.0,6.0,0,1,1.0
2020-07-27,2020,SEA,HOU,5.0,8.0,0,0,-3.0
2020-07-28,2020,SEA,LAA,2.0,10.0,0,0,-8.0
2020-07-29,2020,SEA,LAA,10.0,7.0,0,1,3.0
2020-07-30,2020,SEA,LAA,8.0,5.0,0,1,3.0
2020-07-31,2020,SEA,OAK,5.0,3.0,1,1,2.0
2020-08-01,2020,SEA,OAK,2.0,3.0,1,0,-1.0
2020-08-02,2020,SEA,OAK,2.0,3.0,1,0,-1.0
2020-08-03,2020,SEA,OAK,1.0,11.0,1,0,-10.0
2020-08-04,2020,SEA,LAA,3.0,5.0,1,0,-2.0
2020-08-05,2020,SEA,LAA,7.0,6.0,1,1,1.0
2020-08-06,2020,SEA,LAA,1.0,6.0,1,0,-5.0
2020-08-07,2020,SEA,COL,4.0,8.0,1,0,-4.0
2020-08-08,2020,SEA,COL,0.0,5.0,1,0,-5.0
2020-08-09,2020,SEA,COL,5.0,3.0,1,1,2.0
2020-08-10,2020,SEA,TEX,10.0,2.0,0,1,8.0
2020-08-11,2020,SEA,TEX,2.0,4.0,0,0,-2.0
2020-08-12,2020,SEA,TEX,4.0,7.0,0,0,-3.0
2020-08-14,2020,SEA,HOU,1.0,11.0,0,0,-10.0
2020-08-15,2020,SEA,HOU,1.0,2.0,0,0,-1.0
2020-08-16,2020,SEA,HOU,2.0,3.0,0,0,-1.0
2020-08-17,2020,SEA,LAD,9.0,11.0,0,0,-2.0
2020-08-18,2020,SEA,LAD,1.0,2.0,0,0,-1.0
2020-08-19,2020,SEA,LAD,6.0,4.0,1,1,2.0
2020-08-20,2020,SEA,LAD,1.0,6.0,1,0,-5.0
2020-08-21,2020,SEA,TEX,7.0,4.0,1,1,3.0
2020-08-22,2020,SEA,TEX,10.0,1.0,1,1,9.0
2020-08-23,2020,SEA,TEX,4.0,1.0,1,1,3.0
2020-08-25,2020,SEA,SDP,8.0,3.0,0,1,5.0
2020-08-28,2020,SEA,LAA,2.0,3.0,0,0,-1.0
2020-08-29,2020,SEA,LAA,3.0,16.0,0,0,-13.0
2020-08-30,2020,SEA,LAA,2.0,1.0,0,1,1.0
2020-08-31,2020,SEA,LAA,2.0,1.0,0,1,1.0
2020-09-04,2020,SEA,TEX,6.0,3.0,1,1,3.0
2020-09-05,2020,SEA,TEX,5.0,3.0,1,1,2.0
2020-09-06,2020,SEA,TEX,4.0,3.0,1,1,1.0
2020-09-07,2020,SEA,TEX,8.0,4.0,1,1,4.0
2020-09-08,2020,SEA,SFG,5.0,6.0,0,0,-1.0
2020-09-09,2020,SEA,SFG,1.0,10.0,0,0,-9.0
2020-09-11,2020,SEA,ARI,3.0,4.0,0,0,-1.0
2020-09-12,2020,SEA,ARI,7.0,3.0,0,1,4.0
2020-09-13,2020,SEA,ARI,7.0,3.0,0,1,4.0
2020-09-16,2020,SEA,SFG,3.0,9.0,0,0,-6.0
2020-09-17,2020,SEA,SFG,4.0,6.0,0,0,-2.0
2020-09-18,2020,SEA,SDP,1.0,6.0,0,0,-5.0
2020-09-19,2020,SEA,SDP,4.0,1.0,0,1,3.0
2020-09-20,2020,SEA,SDP,4.0,7.0,0,0,-3.0
2020-09-21,2020,SEA,HOU,6.0,1.0,1,1,5.0
2020-09-22,2020,SEA,HOU,1.0,6.0,1,0,-5.0
2020-09-23,2020,SEA,HOU,3.0,2.0,1,1,1.0
2020-09-25,2020,SEA,OAK,1.0,3.0,0,0,-2.0
