date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2022-04-08,2022,SFG,MIA,6.0,5.0,1,1,Álvarez,Bass,1.0
2022-04-09,2022,SFG,MIA,1.0,2.0,1,0,Okert,McGee,-1.0
2022-04-10,2022,SFG,MIA,3.0,2.0,1,1,García,Rogers,1.0
2022-04-11,2022,SFG,SDP,2.0,4.0,1,0,Wilson,Rogers,-2.0
2022-04-12,2022,SFG,SDP,13.0,2.0,1,1,Cobb,Darvish,11.0
2022-04-13,2022,SFG,SDP,2.0,1.0,1,1,Webb,Manaea,1.0
2022-04-15,2022,SFG,CLE,4.0,1.0,0,1,Rodón,Plesac,3.0
2022-04-16,2022,SFG,CLE,4.0,2.0,0,1,Leone,Sandlin,2.0
2022-04-17,2022,SFG,CLE,8.0,1.0,0,1,Wood,Civale,7.0
2022-04-20,2022,SFG,NYM,5.0,2.0,0,1,Rodón,Bassitt,3.0
2022-04-21,2022,SFG,NYM,2.0,6.0,0,0,Carrasco,DeSclafani,-4.0
2022-04-22,2022,SFG,WSN,7.0,1.0,0,1,Junis,Corbin,6.0
2022-04-23,2022,SFG,WSN,5.0,2.0,0,1,Wood,Sanchez,3.0
2022-04-24,2022,SFG,WSN,12.0,3.0,0,1,Webb,Adon,9.0
2022-04-25,2022,SFG,MIL,4.0,2.0,0,1,McGee,Cousins,2.0
2022-04-26,2022,SFG,OAK,8.0,2.0,1,1,Rodón,Jefferies,6.0
2022-04-27,2022,SFG,OAK,0.0,1.0,1,0,Blackburn,Long,-1.0
2022-04-29,2022,SFG,WSN,4.0,14.0,1,0,Sanchez,Wood,-10.0
2022-04-30,2022,SFG,WSN,9.0,3.0,1,1,Webb,Adon,6.0
2022-05-01,2022,SFG,WSN,5.0,11.0,1,0,Gray,Cobb,-6.0
2022-05-03,2022,SFG,LAD,1.0,3.0,0,0,Urías,Rodón,-2.0
2022-05-04,2022,SFG,LAD,1.0,9.0,0,0,Gonsolin,Wood,-8.0
2022-05-05,2022,SFG,STL,1.0,7.0,1,0,Mikolas,Littell,-6.0
2022-05-06,2022,SFG,STL,2.0,3.0,1,0,Helsley,Doval,-1.0
2022-05-07,2022,SFG,STL,13.0,7.0,1,1,Webb,Matz,6.0
2022-05-08,2022,SFG,STL,4.0,3.0,1,1,Leone,Cabrera,1.0
2022-05-09,2022,SFG,COL,8.0,5.0,1,1,Rodón,Gomber,3.0
2022-05-10,2022,SFG,COL,9.0,2.0,1,1,Wood,Senzatela,7.0
2022-05-11,2022,SFG,COL,7.0,1.0,1,1,Cobb,Kuhl,6.0
2022-05-13,2022,SFG,STL,8.0,2.0,0,1,Webb,Hicks,6.0
2022-05-14,2022,SFG,STL,0.0,4.0,0,0,Hudson,Junis,-4.0
2022-05-15,2022,SFG,STL,6.0,15.0,0,0,Wainwright,Rodón,-9.0
2022-05-16,2022,SFG,COL,7.0,6.0,0,1,Brebbia,Bard,1.0
2022-05-17,2022,SFG,COL,10.0,7.0,0,1,Cobb,Kuhl,3.0
2022-05-18,2022,SFG,COL,3.0,5.0,0,0,Kinley,Álvarez,-2.0
2022-05-20,2022,SFG,SDP,7.0,8.0,1,0,Garcia,Doval,-1.0
2022-05-21,2022,SFG,SDP,1.0,2.0,1,0,Musgrove,Rodón,-1.0
2022-05-22,2022,SFG,SDP,1.0,10.0,1,0,Gore,Wood,-9.0
2022-05-23,2022,SFG,NYM,3.0,13.0,1,0,Peterson,Cobb,-10.0
2022-05-24,2022,SFG,NYM,13.0,12.0,1,1,Brebbia,Díaz,1.0
2022-05-25,2022,SFG,NYM,9.0,3.0,1,1,Junis,Szapucki,6.0
2022-05-27,2022,SFG,CIN,1.0,5.0,0,0,Ashcraft,Rodón,-4.0
2022-05-28,2022,SFG,CIN,2.0,3.0,0,0,Gutierrez,Wood,-1.0
2022-05-29,2022,SFG,CIN,6.0,4.0,0,1,Brebbia,Warren,2.0
2022-05-30,2022,SFG,PHI,5.0,4.0,0,1,Leone,Bellatti,1.0
2022-05-31,2022,SFG,PHI,7.0,4.0,0,1,Álvarez,Bellatti,3.0
2022-06-01,2022,SFG,PHI,5.0,6.0,0,0,Nola,García,-1.0
2022-06-02,2022,SFG,MIA,0.0,3.0,0,0,Alcantara,Wood,-3.0
2022-06-03,2022,SFG,MIA,15.0,6.0,0,1,Littell,Bleier,9.0
2022-06-04,2022,SFG,MIA,4.0,5.0,0,0,Scott,Rogers,-1.0
