date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2020-07-24,2020,STL,PIT,5.0,4.0,1,1,1.0
2020-07-25,2020,STL,PIT,9.0,1.0,1,1,8.0
2020-07-26,2020,STL,PIT,1.0,5.0,1,0,-4.0
2020-07-28,2020,STL,MIN,3.0,6.0,0,0,-3.0
2020-07-29,2020,STL,MIN,0.0,3.0,0,0,-3.0
2020-08-16,2020,STL,CHW,2.0,7.0,0,0,-5.0
2020-08-18,2020,STL,CHC,3.0,6.0,0,0,-3.0
2020-08-20,2020,STL,CIN,5.0,4.0,1,1,1.0
2020-08-21,2020,STL,CIN,2.0,4.0,1,0,-2.0
2020-08-22,2020,STL,CIN,3.0,0.0,1,1,3.0
2020-08-23,2020,STL,CIN,6.0,2.0,1,1,4.0
2020-08-24,2020,STL,KCR,9.0,3.0,1,1,6.0
2020-08-25,2020,STL,KCR,4.0,5.0,1,0,-1.0
2020-08-26,2020,STL,KCR,6.0,5.0,1,1,1.0
2020-08-28,2020,STL,CLE,2.0,14.0,1,0,-12.0
2020-08-29,2020,STL,CLE,1.0,2.0,1,0,-1.0
2020-08-30,2020,STL,CLE,7.0,2.0,1,1,5.0
2020-08-31,2020,STL,CIN,7.0,5.0,0,1,2.0
2020-09-01,2020,STL,CIN,16.0,2.0,0,1,14.0
2020-09-02,2020,STL,CIN,3.0,4.0,0,0,-1.0
2020-09-04,2020,STL,CHC,1.0,4.0,0,0,-3.0
2020-09-06,2020,STL,CHC,7.0,3.0,0,1,4.0
2020-09-07,2020,STL,CHC,1.0,5.0,0,0,-4.0
2020-09-11,2020,STL,CIN,1.0,3.0,1,0,-2.0
2020-09-12,2020,STL,CIN,7.0,1.0,1,1,6.0
2020-09-13,2020,STL,CIN,5.0,10.0,1,0,-5.0
2020-09-15,2020,STL,MIL,3.0,18.0,0,0,-15.0
2020-09-17,2020,STL,PIT,1.0,5.0,0,0,-4.0
2020-09-19,2020,STL,PIT,5.0,4.0,0,1,1.0
2020-09-20,2020,STL,PIT,2.0,1.0,0,1,1.0
2020-09-21,2020,STL,KCR,1.0,4.0,0,0,-3.0
2020-09-22,2020,STL,KCR,5.0,0.0,0,1,5.0
2020-09-23,2020,STL,KCR,3.0,12.0,0,0,-9.0
2020-09-24,2020,STL,MIL,4.0,2.0,1,1,2.0
2020-09-26,2020,STL,MIL,0.0,3.0,1,0,-3.0
