date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2023-03-30,2023,STL,TOR,9.0,10.0,1,0,García,Helsley,-1.0
2023-04-01,2023,STL,TOR,4.0,1.0,1,1,Flaherty,Gausman,3.0
2023-04-02,2023,STL,TOR,9.0,4.0,1,1,Montgomery,Bassitt,5.0
2023-04-03,2023,STL,ATL,4.0,8.0,1,0,Morton,Woodford,-4.0
2023-04-04,2023,STL,ATL,1.0,4.0,1,0,Dodd,Matz,-3.0
2023-04-05,2023,STL,ATL,2.0,5.0,1,0,Elder,Mikolas,-3.0
2023-04-07,2023,STL,MIL,0.0,4.0,0,0,Woodruff,Flaherty,-4.0
2023-04-08,2023,STL,MIL,6.0,0.0,0,1,Montgomery,Lauer,6.0
2023-04-09,2023,STL,MIL,1.0,6.0,0,0,Peralta,Woodford,-5.0
2023-04-10,2023,STL,COL,4.0,7.0,0,0,Márquez,Matz,-3.0
2023-04-11,2023,STL,COL,9.0,6.0,0,1,Gallegos,Johnson,3.0
2023-04-12,2023,STL,COL,7.0,4.0,0,1,Pallante,Lawrence,3.0
2023-04-13,2023,STL,PIT,0.0,5.0,1,0,Velasquez,Montgomery,-5.0
2023-04-14,2023,STL,PIT,3.0,0.0,1,1,Thompson,Oviedo,3.0
2023-04-15,2023,STL,PIT,3.0,6.0,1,0,Bednar,Hicks,-3.0
2023-04-16,2023,STL,PIT,5.0,4.0,1,1,VerHagen,Crowe,1.0
2023-04-17,2023,STL,ARI,3.0,6.0,1,0,Kelly,Flaherty,-3.0
2023-04-18,2023,STL,ARI,7.0,8.0,1,0,Nelson,Montgomery,-1.0
2023-04-19,2023,STL,ARI,14.0,5.0,1,1,Woodford,Bumgarner,9.0
2023-04-21,2023,STL,SEA,2.0,5.0,0,0,Kirby,Matz,-3.0
2023-04-22,2023,STL,SEA,4.0,5.0,0,0,Brash,Thompson,-1.0
2023-04-23,2023,STL,SEA,7.0,3.0,0,1,Flaherty,Flexen,4.0
2023-04-24,2023,STL,SFG,0.0,4.0,0,0,Cobb,Montgomery,-4.0
2023-04-25,2023,STL,SFG,4.0,5.0,0,0,Hjelle,Helsley,-1.0
2023-04-26,2023,STL,SFG,3.0,7.0,0,0,DeSclafani,Hicks,-4.0
2023-04-27,2023,STL,SFG,6.0,0.0,0,1,Mikolas,Webb,6.0
2023-04-28,2023,STL,LAD,3.0,7.0,0,0,May,Flaherty,-4.0
2023-04-29,2023,STL,LAD,0.0,1.0,0,0,Kershaw,Montgomery,-1.0
2023-04-30,2023,STL,LAD,3.0,6.0,0,0,Syndergaard,Thompson,-3.0
2023-05-02,2023,STL,LAA,1.0,5.0,1,0,Sandoval,Matz,-4.0
2023-05-03,2023,STL,LAA,4.0,6.0,1,0,Tepera,Gallegos,-2.0
2023-05-04,2023,STL,LAA,7.0,11.0,1,0,Canning,Flaherty,-4.0
2023-05-05,2023,STL,DET,4.0,5.0,1,0,Boyd,Hicks,-1.0
2023-05-06,2023,STL,DET,5.0,6.0,1,0,Cisnero,Gallegos,-1.0
2023-05-07,2023,STL,DET,12.0,6.0,1,1,VerHagen,Englert,6.0
2023-05-08,2023,STL,CHC,3.0,1.0,0,1,Cabrera,Stroman,2.0
2023-05-09,2023,STL,CHC,6.0,4.0,0,1,Stratton,Assad,2.0
2023-05-10,2023,STL,CHC,4.0,10.0,0,0,Steele,Montgomery,-6.0
2023-05-12,2023,STL,BOS,8.0,6.0,0,1,Helsley,Jansen,2.0
2023-05-13,2023,STL,BOS,4.0,3.0,0,1,Pallante,Jansen,1.0
2023-05-14,2023,STL,BOS,9.0,1.0,0,1,Mikolas,Kluber,8.0
2023-05-15,2023,STL,MIL,18.0,1.0,1,1,Flaherty,Peralta,17.0
2023-05-16,2023,STL,MIL,2.0,3.0,1,0,Payamps,Montgomery,-1.0
2023-05-17,2023,STL,MIL,3.0,0.0,1,1,Liberatore,Burnes,3.0
2023-05-18,2023,STL,LAD,16.0,8.0,1,1,Wainwright,Urías,8.0
2023-05-19,2023,STL,LAD,0.0,5.0,1,0,Gonsolin,Matz,-5.0
2023-05-20,2023,STL,LAD,6.0,5.0,1,1,Helsley,González,1.0
2023-05-21,2023,STL,LAD,10.0,5.0,1,1,VerHagen,Kershaw,5.0
2023-05-22,2023,STL,CIN,5.0,6.0,0,0,Gibaut,Helsley,-1.0
2023-05-23,2023,STL,CIN,8.0,5.0,0,1,Wainwright,Ashcraft,3.0
2023-05-24,2023,STL,CIN,3.0,10.0,0,0,Lively,Matz,-7.0
2023-05-25,2023,STL,CIN,2.0,1.0,0,1,Mikolas,Sims,1.0
2023-05-26,2023,STL,CLE,3.0,4.0,0,0,Bieber,Liberatore,-1.0
2023-05-27,2023,STL,CLE,2.0,1.0,0,1,Helsley,Sandlin,1.0
2023-05-28,2023,STL,CLE,3.0,4.0,0,0,Curry,Helsley,-1.0
2023-05-29,2023,STL,KCR,0.0,7.0,1,0,Mayers,Wainwright,-7.0
2023-05-30,2023,STL,KCR,2.0,1.0,1,1,Mikolas,Hernández,1.0
2023-06-02,2023,STL,PIT,5.0,7.0,0,0,Ramírez,Gallegos,-2.0
2023-06-03,2023,STL,PIT,3.0,4.0,0,0,Moreta,Montgomery,-1.0
2023-06-04,2023,STL,PIT,1.0,2.0,0,0,Hill,Mikolas,-1.0
2023-06-05,2023,STL,TEX,3.0,4.0,0,0,Smith,Cabrera,-1.0
2023-06-06,2023,STL,TEX,4.0,6.0,0,0,Dunning,Liberatore,-2.0
2023-06-07,2023,STL,TEX,1.0,0.0,0,1,Hicks,Gray,1.0
2023-06-09,2023,STL,CIN,7.0,4.0,1,1,Montgomery,Lively,3.0
2023-06-10,2023,STL,CIN,4.0,8.0,1,0,Abbott,Mikolas,-4.0
2023-06-11,2023,STL,CIN,3.0,4.0,1,0,Gibaut,Hicks,-1.0
2023-06-12,2023,STL,SFG,3.0,4.0,1,0,Webb,Stratton,-1.0
2023-06-13,2023,STL,SFG,3.0,11.0,1,0,Jackson,Flaherty,-8.0
2023-06-14,2023,STL,SFG,5.0,8.0,1,0,Rogers,Matz,-3.0
2023-06-16,2023,STL,NYM,1.0,6.0,0,0,Megill,Mikolas,-5.0
2023-06-17,2023,STL,NYM,5.0,3.0,0,1,Wainwright,Senga,2.0
2023-06-18,2023,STL,NYM,8.0,7.0,0,1,VerHagen,Ottavino,1.0
2023-06-19,2023,STL,WSN,8.0,6.0,0,1,Flaherty,Gray,2.0
2023-06-20,2023,STL,WSN,9.0,3.0,0,1,Montgomery,Gore,6.0
2023-06-21,2023,STL,WSN,0.0,3.0,0,0,Williams,Mikolas,-3.0
2023-06-24,2023,STL,CHC,1.0,9.0,1,0,Steele,Wainwright,-8.0
2023-06-25,2023,STL,CHC,7.0,5.0,1,1,Woodford,Stroman,2.0
2023-06-27,2023,STL,HOU,4.0,2.0,1,1,Montgomery,Valdez,2.0
2023-06-28,2023,STL,HOU,7.0,10.0,1,0,Martinez,Gallegos,-3.0
2023-06-29,2023,STL,HOU,0.0,14.0,1,0,France,Wainwright,-14.0
2023-07-02,2023,STL,NYY,5.0,1.0,1,1,Montgomery,Cole,4.0
2023-07-03,2023,STL,MIA,4.0,5.0,0,0,Brazobán,Pallante,-1.0
2023-07-04,2023,STL,MIA,2.0,15.0,0,0,Luzardo,Wainwright,-13.0
2023-07-05,2023,STL,MIA,9.0,10.0,0,0,Puk,Hicks,-1.0
