date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2020-07-24,2020,TBR,TOR,4.0,6.0,1,0,Romano,Morton,-2.0
2020-07-25,2020,TBR,TOR,4.0,1.0,1,1,Anderson,Gaviglio,3.0
2020-07-26,2020,TBR,TOR,6.0,5.0,1,1,Roe,Yamaguchi,1.0
2020-07-27,2020,TBR,ATL,14.0,5.0,1,1,Castillo,Foltynewicz,9.0
2020-07-28,2020,TBR,ATL,5.0,2.0,1,1,Fairbanks,Wright,3.0
2020-07-29,2020,TBR,ATL,4.0,7.0,0,0,O'Day,Drake,-3.0
2020-07-30,2020,TBR,ATL,1.0,2.0,0,0,Fried,Yarbrough,-1.0
2020-07-31,2020,TBR,BAL,3.0,6.0,0,0,Fry,Fairbanks,-3.0
2020-08-01,2020,TBR,BAL,4.0,5.0,0,0,Lakins,Drake,-1.0
2020-08-02,2020,TBR,BAL,1.0,5.0,0,0,Phillips,Beeks,-4.0
2020-08-04,2020,TBR,BOS,5.0,1.0,1,1,Morton,Eovaldi,4.0
2020-08-05,2020,TBR,BOS,0.0,5.0,1,0,Pérez,Yarbrough,-5.0
2020-08-07,2020,TBR,NYY,1.0,0.0,1,1,Roe,Ottavino,1.0
2020-08-09,2020,TBR,NYY,4.0,3.0,1,1,Thompson,Britton,1.0
2020-08-10,2020,TBR,BOS,8.0,7.0,0,1,Loup,Springs,1.0
2020-08-11,2020,TBR,BOS,8.0,2.0,0,1,Curtiss,Pérez,6.0
2020-08-12,2020,TBR,BOS,9.0,5.0,0,1,Snell,Godley,4.0
2020-08-13,2020,TBR,BOS,17.0,8.0,0,1,Beeks,Hart,9.0
2020-08-14,2020,TBR,TOR,4.0,12.0,0,0,Font,Thompson,-8.0
2020-08-15,2020,TBR,TOR,3.0,2.0,0,1,Loup,Romano,1.0
2020-08-16,2020,TBR,TOR,7.0,5.0,0,1,Loup,Font,2.0
2020-08-18,2020,TBR,NYY,6.0,3.0,0,1,Snell,Tanaka,3.0
2020-08-19,2020,TBR,NYY,4.0,2.0,0,1,Fairbanks,Britton,2.0
2020-08-20,2020,TBR,NYY,10.0,5.0,0,1,Castillo,Ottavino,5.0
2020-08-21,2020,TBR,TOR,5.0,6.0,1,0,Hatch,Loup,-1.0
2020-08-22,2020,TBR,TOR,2.0,1.0,1,1,Banda,Bass,1.0
2020-08-23,2020,TBR,TOR,5.0,4.0,1,1,Fleming,Borucki,1.0
2020-08-24,2020,TBR,TOR,4.0,6.0,1,0,Hatch,Loup,-2.0
2020-08-25,2020,TBR,BAL,4.0,2.0,1,1,Glasnow,Milone,2.0
2020-08-26,2020,TBR,BAL,4.0,3.0,1,1,Sherriff,Givens,1.0
2020-08-28,2020,TBR,MIA,2.0,0.0,0,1,Fairbanks,Bleier,2.0
2020-08-29,2020,TBR,MIA,4.0,0.0,0,1,Fleming,López,4.0
2020-08-30,2020,TBR,MIA,12.0,7.0,0,1,Snell,Alcantara,5.0
2020-08-31,2020,TBR,NYY,5.0,3.0,0,1,Glasnow,Cole,2.0
2020-09-01,2020,TBR,NYY,3.0,5.0,0,0,Tanaka,Thompson,-2.0
2020-09-02,2020,TBR,NYY,5.0,2.0,0,1,Curtiss,Montgomery,3.0
2020-09-04,2020,TBR,MIA,5.0,4.0,1,1,Fleming,López,1.0
2020-09-05,2020,TBR,MIA,3.0,7.0,1,0,Alcantara,Snell,-4.0
2020-09-06,2020,TBR,MIA,5.0,4.0,1,1,Curtiss,Kintzler,1.0
2020-09-07,2020,TBR,WSN,1.0,6.0,0,0,Scherzer,Morton,-5.0
2020-09-08,2020,TBR,WSN,3.0,5.0,0,0,Sánchez,Yarbrough,-2.0
2020-09-10,2020,TBR,BOS,3.0,4.0,1,0,Weber,Fairbanks,-1.0
2020-09-11,2020,TBR,BOS,11.0,1.0,1,1,Snell,Hall,10.0
2020-09-12,2020,TBR,BOS,5.0,4.0,1,1,Glasnow,Walden,1.0
2020-09-13,2020,TBR,BOS,3.0,6.0,1,0,Pérez,Fairbanks,-3.0
2020-09-15,2020,TBR,WSN,6.0,1.0,1,1,Yarbrough,Sánchez,5.0
2020-09-16,2020,TBR,WSN,2.0,4.0,1,0,Hudson,Anderson,-2.0
2020-09-18,2020,TBR,BAL,2.0,1.0,0,1,Glasnow,Cobb,1.0
2020-09-19,2020,TBR,BAL,3.0,1.0,0,1,Morton,López,2.0
2020-09-20,2020,TBR,BAL,1.0,2.0,0,0,Means,Yarbrough,-1.0
2020-09-21,2020,TBR,NYM,2.0,1.0,0,1,Fleming,deGrom,1.0
2020-09-22,2020,TBR,NYM,2.0,5.0,0,0,Lugo,Snell,-3.0
2020-09-23,2020,TBR,NYM,8.0,5.0,0,1,Glasnow,Wacha,3.0
2020-09-25,2020,TBR,PHI,6.0,4.0,1,1,Anderson,Morgan,2.0
2020-09-26,2020,TBR,PHI,4.0,3.0,1,1,Fairbanks,Wheeler,1.0
