date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2021-04-01,2021,TBR,MIA,1.0,0.0,0,1,1.0
2021-04-02,2021,TBR,MIA,6.0,4.0,0,1,2.0
2021-04-03,2021,TBR,MIA,7.0,12.0,0,0,-5.0
2021-04-05,2021,TBR,BOS,2.0,11.0,0,0,-9.0
2021-04-06,2021,TBR,BOS,5.0,6.0,0,0,-1.0
2021-04-07,2021,TBR,BOS,2.0,9.0,0,0,-7.0
2021-04-09,2021,TBR,NYY,10.0,5.0,1,1,5.0
2021-04-10,2021,TBR,NYY,4.0,0.0,1,1,4.0
2021-04-11,2021,TBR,NYY,4.0,8.0,1,0,-4.0
2021-04-12,2021,TBR,TEX,1.0,0.0,1,1,1.0
2021-04-13,2021,TBR,TEX,3.0,8.0,1,0,-5.0
2021-04-14,2021,TBR,TEX,1.0,5.0,1,0,-4.0
2021-04-15,2021,TBR,TEX,4.0,6.0,1,0,-2.0
2021-04-16,2021,TBR,NYY,8.0,2.0,0,1,6.0
2021-04-17,2021,TBR,NYY,6.0,3.0,0,1,3.0
2021-04-18,2021,TBR,NYY,4.0,2.0,0,1,2.0
2021-04-19,2021,TBR,KCR,4.0,1.0,0,1,3.0
2021-04-20,2021,TBR,KCR,14.0,7.0,0,1,7.0
2021-04-21,2021,TBR,KCR,8.0,9.0,0,0,-1.0
2021-04-23,2021,TBR,TOR,3.0,5.0,1,0,-2.0
2021-04-24,2021,TBR,TOR,5.0,3.0,1,1,2.0
2021-04-25,2021,TBR,TOR,0.0,1.0,1,0,-1.0
2021-04-26,2021,TBR,OAK,1.0,2.0,1,0,-1.0
2021-04-27,2021,TBR,OAK,4.0,3.0,1,1,1.0
2021-04-28,2021,TBR,OAK,2.0,0.0,1,1,2.0
2021-04-29,2021,TBR,OAK,2.0,3.0,1,0,-1.0
2021-04-30,2021,TBR,HOU,2.0,9.0,1,0,-7.0
2021-05-01,2021,TBR,HOU,1.0,3.0,1,0,-2.0
2021-05-02,2021,TBR,HOU,5.0,4.0,1,1,1.0
2021-05-03,2021,TBR,LAA,7.0,3.0,0,1,4.0
2021-05-04,2021,TBR,LAA,8.0,3.0,0,1,5.0
2021-05-05,2021,TBR,LAA,3.0,1.0,0,1,2.0
2021-05-06,2021,TBR,LAA,8.0,3.0,0,1,5.0
2021-05-07,2021,TBR,OAK,1.0,2.0,0,0,-1.0
2021-05-08,2021,TBR,OAK,3.0,6.0,0,0,-3.0
2021-05-09,2021,TBR,OAK,4.0,3.0,0,1,1.0
2021-05-11,2021,TBR,NYY,1.0,3.0,1,0,-2.0
2021-05-12,2021,TBR,NYY,0.0,1.0,1,0,-1.0
2021-05-13,2021,TBR,NYY,9.0,1.0,1,1,8.0
2021-05-14,2021,TBR,NYM,3.0,2.0,1,1,1.0
2021-05-15,2021,TBR,NYM,12.0,5.0,1,1,7.0
2021-05-16,2021,TBR,NYM,7.0,1.0,1,1,6.0
2021-05-18,2021,TBR,BAL,13.0,6.0,0,1,7.0
2021-05-19,2021,TBR,BAL,9.0,7.0,0,1,2.0
2021-05-20,2021,TBR,BAL,10.0,1.0,0,1,9.0
2021-05-21,2021,TBR,TOR,9.0,7.0,0,1,2.0
2021-05-22,2021,TBR,TOR,3.0,1.0,0,1,2.0
2021-05-23,2021,TBR,TOR,6.0,4.0,0,1,2.0
2021-05-24,2021,TBR,TOR,14.0,8.0,0,1,6.0
2021-05-25,2021,TBR,KCR,1.0,2.0,1,0,-1.0
2021-05-26,2021,TBR,KCR,2.0,1.0,1,1,1.0
2021-05-27,2021,TBR,KCR,7.0,2.0,1,1,5.0
2021-05-29,2021,TBR,PHI,5.0,3.0,1,1,2.0
2021-05-30,2021,TBR,PHI,6.0,2.0,1,1,4.0
2021-05-31,2021,TBR,NYY,3.0,1.0,0,1,2.0
2021-06-01,2021,TBR,NYY,3.0,5.0,0,0,-2.0
2021-06-02,2021,TBR,NYY,3.0,4.0,0,0,-1.0
2021-06-03,2021,TBR,NYY,9.0,2.0,0,1,7.0
2021-06-04,2021,TBR,TEX,4.0,5.0,0,0,-1.0
2021-06-05,2021,TBR,TEX,3.0,0.0,0,1,3.0
2021-06-06,2021,TBR,TEX,7.0,1.0,0,1,6.0
2021-06-08,2021,TBR,WSN,3.0,1.0,1,1,2.0
2021-06-09,2021,TBR,WSN,7.0,9.0,1,0,-2.0
2021-06-11,2021,TBR,BAL,4.0,2.0,1,1,2.0
2021-06-12,2021,TBR,BAL,5.0,4.0,1,1,1.0
2021-06-13,2021,TBR,BAL,7.0,1.0,1,1,6.0
2021-06-14,2021,TBR,CHW,5.0,2.0,0,1,3.0
2021-06-15,2021,TBR,CHW,0.0,3.0,0,0,-3.0
2021-06-16,2021,TBR,CHW,7.0,8.0,0,0,-1.0
2021-06-17,2021,TBR,SEA,5.0,6.0,0,0,-1.0
2021-06-18,2021,TBR,SEA,1.0,5.0,0,0,-4.0
2021-06-19,2021,TBR,SEA,5.0,6.0,0,0,-1.0
2021-06-20,2021,TBR,SEA,2.0,6.0,0,0,-4.0
2021-06-22,2021,TBR,BOS,5.0,9.0,1,0,-4.0
2021-06-23,2021,TBR,BOS,8.0,2.0,1,1,6.0
2021-06-24,2021,TBR,BOS,1.0,0.0,1,1,1.0
2021-06-25,2021,TBR,LAA,4.0,3.0,1,1,1.0
2021-06-26,2021,TBR,LAA,13.0,3.0,1,1,10.0
2021-06-27,2021,TBR,LAA,4.0,6.0,1,0,-2.0
2021-06-29,2021,TBR,WSN,3.0,4.0,0,0,-1.0
2021-06-30,2021,TBR,WSN,6.0,15.0,0,0,-9.0
2021-07-02,2021,TBR,TOR,1.0,11.0,0,0,-10.0
2021-07-03,2021,TBR,TOR,3.0,6.0,0,0,-3.0
2021-07-04,2021,TBR,TOR,5.0,1.0,0,1,4.0
2021-07-05,2021,TBR,CLE,9.0,8.0,1,1,1.0
2021-07-09,2021,TBR,TOR,7.0,1.0,1,1,6.0
2021-07-10,2021,TBR,TOR,5.0,2.0,1,1,3.0
2021-07-11,2021,TBR,TOR,1.0,3.0,1,0,-2.0
2021-07-16,2021,TBR,ATL,7.0,6.0,0,1,1.0
2021-07-17,2021,TBR,ATL,0.0,9.0,0,0,-9.0
2021-07-18,2021,TBR,ATL,7.0,5.0,0,1,2.0
2021-07-19,2021,TBR,BAL,1.0,6.0,1,0,-5.0
2021-07-20,2021,TBR,BAL,9.0,3.0,1,1,6.0
2021-07-21,2021,TBR,BAL,5.0,4.0,1,1,1.0
