date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2019-03-28,2019,TEX,CHC,4.0,12.0,1,0,Lester,Minor,-8.0
2019-03-30,2019,TEX,CHC,8.0,6.0,1,1,Kelley,Edwards,2.0
2019-03-31,2019,TEX,CHC,11.0,10.0,1,1,Leclerc,Strop,1.0
2019-04-01,2019,TEX,HOU,1.0,2.0,1,0,Peacock,Sampson,-1.0
2019-04-02,2019,TEX,HOU,6.0,4.0,1,1,Kelley,Valdez,2.0
2019-04-03,2019,TEX,HOU,4.0,0.0,1,1,Minor,Cole,4.0
2019-04-04,2019,TEX,LAA,11.0,4.0,0,1,Springs,Harvey,7.0
2019-04-05,2019,TEX,LAA,1.0,3.0,0,0,Anderson,Lynn,-2.0
2019-04-06,2019,TEX,LAA,1.0,5.0,0,0,Skaggs,Smyly,-4.0
2019-04-07,2019,TEX,LAA,2.0,7.0,0,0,Anderson,Miller,-5.0
2019-04-09,2019,TEX,ARI,4.0,5.0,0,0,Andriese,Leclerc,-1.0
2019-04-10,2019,TEX,ARI,5.0,2.0,0,1,Lynn,Chafin,3.0
2019-04-12,2019,TEX,OAK,6.0,8.0,1,0,Trivino,Martin,-2.0
2019-04-14,2019,TEX,OAK,8.0,7.0,1,1,Springs,Soria,1.0
2019-04-15,2019,TEX,LAA,12.0,7.0,1,1,Dowdy,Bedrosian,5.0
2019-04-16,2019,TEX,LAA,5.0,0.0,1,1,Minor,Barria,5.0
2019-04-17,2019,TEX,LAA,5.0,4.0,1,1,Lynn,Harvey,1.0
2019-04-19,2019,TEX,HOU,2.0,7.0,1,0,Verlander,Smyly,-5.0
2019-04-20,2019,TEX,HOU,9.0,4.0,1,1,Kelley,Cole,5.0
2019-04-21,2019,TEX,HOU,11.0,10.0,1,1,Miller,McHugh,1.0
2019-04-22,2019,TEX,OAK,1.0,6.0,0,0,Bassitt,Minor,-5.0
2019-04-23,2019,TEX,OAK,5.0,11.0,0,0,Montas,Lynn,-6.0
2019-04-24,2019,TEX,OAK,5.0,6.0,0,0,Treinen,Martin,-1.0
2019-04-25,2019,TEX,SEA,2.0,14.0,0,0,Gonzales,Hearn,-12.0
2019-04-26,2019,TEX,SEA,4.0,5.0,0,0,Elías,Dowdy,-1.0
2019-04-27,2019,TEX,SEA,15.0,1.0,0,1,Minor,Leake,14.0
2019-04-28,2019,TEX,SEA,14.0,1.0,0,1,Lynn,Swanson,13.0
2019-04-30,2019,TEX,PIT,4.0,6.0,1,0,Crick,Chavez,-2.0
2019-05-01,2019,TEX,PIT,5.0,7.0,1,0,Taillon,Miller,-2.0
2019-05-03,2019,TEX,TOR,0.0,1.0,1,0,Hudson,Jurado,-1.0
2019-05-04,2019,TEX,TOR,8.0,5.0,1,1,Lynn,Pannone,3.0
2019-05-05,2019,TEX,TOR,10.0,2.0,1,1,Dowdy,Buchholz,8.0
2019-05-07,2019,TEX,PIT,4.0,5.0,0,0,Feliz,Sampson,-1.0
2019-05-08,2019,TEX,PIT,9.0,6.0,0,1,Jurado,Lyons,3.0
