date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2021-04-01,2021,TOR,NYY,3.0,2.0,0,1,1.0
2021-04-03,2021,TOR,NYY,3.0,5.0,0,0,-2.0
2021-04-04,2021,TOR,NYY,3.0,1.0,0,1,2.0
2021-04-05,2021,TOR,TEX,6.0,2.0,0,1,4.0
2021-04-06,2021,TOR,TEX,4.0,7.0,0,0,-3.0
2021-04-07,2021,TOR,TEX,1.0,2.0,0,0,-1.0
2021-04-08,2021,TOR,LAA,5.0,7.0,1,0,-2.0
2021-04-09,2021,TOR,LAA,1.0,7.0,1,0,-6.0
2021-04-10,2021,TOR,LAA,15.0,1.0,1,1,14.0
2021-04-12,2021,TOR,NYY,1.0,3.0,1,0,-2.0
2021-04-13,2021,TOR,NYY,7.0,3.0,1,1,4.0
2021-04-14,2021,TOR,NYY,5.0,4.0,1,1,1.0
2021-04-15,2021,TOR,KCR,5.0,7.0,0,0,-2.0
2021-04-18,2021,TOR,KCR,0.0,2.0,0,0,-2.0
2021-04-20,2021,TOR,BOS,2.0,4.0,0,0,-2.0
2021-04-21,2021,TOR,BOS,6.0,3.0,0,1,3.0
2021-04-23,2021,TOR,TBR,5.0,3.0,0,1,2.0
2021-04-24,2021,TOR,TBR,3.0,5.0,0,0,-2.0
2021-04-25,2021,TOR,TBR,1.0,0.0,0,1,1.0
2021-04-27,2021,TOR,WSN,9.0,5.0,1,1,4.0
2021-04-28,2021,TOR,WSN,2.0,8.0,1,0,-6.0
2021-04-30,2021,TOR,ATL,13.0,5.0,1,1,8.0
2021-05-01,2021,TOR,ATL,6.0,5.0,1,1,1.0
2021-05-02,2021,TOR,ATL,7.0,2.0,1,1,5.0
2021-05-03,2021,TOR,OAK,4.0,5.0,0,0,-1.0
2021-05-04,2021,TOR,OAK,1.0,4.0,0,0,-3.0
2021-05-05,2021,TOR,OAK,9.0,4.0,0,1,5.0
2021-05-06,2021,TOR,OAK,10.0,4.0,0,1,6.0
2021-05-07,2021,TOR,HOU,4.0,10.0,0,0,-6.0
2021-05-08,2021,TOR,HOU,8.0,4.0,0,1,4.0
2021-05-09,2021,TOR,HOU,4.0,7.0,0,0,-3.0
2021-05-11,2021,TOR,ATL,5.0,3.0,0,1,2.0
2021-05-12,2021,TOR,ATL,4.0,1.0,0,1,3.0
2021-05-13,2021,TOR,ATL,8.0,4.0,0,1,4.0
2021-05-14,2021,TOR,PHI,1.0,5.0,1,0,-4.0
2021-05-15,2021,TOR,PHI,4.0,0.0,1,1,4.0
2021-05-16,2021,TOR,PHI,10.0,8.0,1,1,2.0
2021-05-18,2021,TOR,BOS,8.0,0.0,1,1,8.0
2021-05-19,2021,TOR,BOS,3.0,7.0,1,0,-4.0
2021-05-20,2021,TOR,BOS,7.0,8.0,1,0,-1.0
2021-05-21,2021,TOR,TBR,7.0,9.0,1,0,-2.0
2021-05-22,2021,TOR,TBR,1.0,3.0,1,0,-2.0
2021-05-23,2021,TOR,TBR,4.0,6.0,1,0,-2.0
2021-05-24,2021,TOR,TBR,8.0,14.0,1,0,-6.0
2021-05-25,2021,TOR,NYY,6.0,2.0,0,1,4.0
2021-05-28,2021,TOR,CLE,11.0,2.0,0,1,9.0
2021-06-01,2021,TOR,MIA,5.0,1.0,1,1,4.0
2021-06-02,2021,TOR,MIA,6.0,5.0,1,1,1.0
2021-06-04,2021,TOR,HOU,1.0,13.0,1,0,-12.0
2021-06-05,2021,TOR,HOU,6.0,2.0,1,1,4.0
2021-06-06,2021,TOR,HOU,3.0,6.0,1,0,-3.0
