date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2023-03-30,2023,TOR,STL,10.0,9.0,0,1,García,Helsley,1.0
2023-04-01,2023,TOR,STL,1.0,4.0,0,0,Flaherty,Gausman,-3.0
2023-04-02,2023,TOR,STL,4.0,9.0,0,0,Montgomery,Bassitt,-5.0
2023-04-03,2023,TOR,KCR,5.0,9.0,0,0,Singer,Berríos,-4.0
2023-04-04,2023,TOR,KCR,4.0,1.0,0,1,Kikuchi,Bubic,3.0
2023-04-05,2023,TOR,KCR,3.0,0.0,0,1,Manoah,Greinke,3.0
2023-04-06,2023,TOR,KCR,6.0,3.0,0,1,Gausman,Lyles,3.0
2023-04-07,2023,TOR,LAA,4.0,3.0,0,1,Bassitt,Herget,1.0
2023-04-08,2023,TOR,LAA,5.0,9.0,0,0,Barria,Berríos,-4.0
2023-04-09,2023,TOR,LAA,12.0,11.0,0,1,Romano,Estévez,1.0
2023-04-11,2023,TOR,DET,9.0,3.0,1,1,Pop,Manning,6.0
2023-04-12,2023,TOR,DET,4.0,3.0,1,1,Romano,Shreve,1.0
2023-04-13,2023,TOR,DET,1.0,3.0,1,0,Turnbull,Bassitt,-2.0
2023-04-14,2023,TOR,TBR,6.0,3.0,1,1,Berríos,Rasmussen,3.0
2023-04-15,2023,TOR,TBR,5.0,2.0,1,1,Kikuchi,Kelley,3.0
2023-04-16,2023,TOR,TBR,1.0,8.0,1,0,McClanahan,Manoah,-7.0
2023-04-17,2023,TOR,HOU,2.0,9.0,0,0,Javier,Gausman,-7.0
2023-04-18,2023,TOR,HOU,4.0,2.0,0,1,Bassitt,Urquidy,2.0
2023-04-19,2023,TOR,HOU,1.0,8.0,0,0,Garcia,Berríos,-7.0
2023-04-21,2023,TOR,NYY,6.0,1.0,0,1,Kikuchi,Germán,5.0
2023-04-22,2023,TOR,NYY,2.0,3.0,0,0,Cordero,Romano,-1.0
2023-04-23,2023,TOR,NYY,5.0,1.0,0,1,Gausman,Schmidt,4.0
2023-04-24,2023,TOR,CHW,5.0,2.0,1,1,Bassitt,Lynn,3.0
2023-04-25,2023,TOR,CHW,7.0,0.0,1,1,Berríos,Clevinger,7.0
2023-04-26,2023,TOR,CHW,8.0,0.0,1,1,Kikuchi,Kopech,8.0
2023-04-28,2023,TOR,SEA,3.0,2.0,1,1,Mayza,Gott,1.0
2023-04-29,2023,TOR,SEA,1.0,0.0,1,1,Swanson,Gott,1.0
2023-04-30,2023,TOR,SEA,8.0,10.0,1,0,Sewald,Pop,-2.0
2023-05-01,2023,TOR,BOS,5.0,6.0,0,0,Winckowski,Romano,-1.0
2023-05-02,2023,TOR,BOS,6.0,7.0,0,0,Bleier,Swanson,-1.0
2023-05-03,2023,TOR,BOS,3.0,8.0,0,0,Pivetta,Manoah,-5.0
2023-05-04,2023,TOR,BOS,5.0,11.0,0,0,Bello,Gausman,-6.0
2023-05-05,2023,TOR,PIT,4.0,0.0,0,1,Bassitt,Hill,4.0
2023-05-06,2023,TOR,PIT,8.0,2.0,0,1,Berríos,Oviedo,6.0
2023-05-07,2023,TOR,PIT,10.0,1.0,0,1,Kikuchi,Contreras,9.0
2023-05-09,2023,TOR,PHI,4.0,8.0,0,0,Nola,Manoah,-4.0
2023-05-10,2023,TOR,PHI,1.0,2.0,0,0,Kimbrel,Mayza,-1.0
2023-05-12,2023,TOR,ATL,3.0,0.0,1,1,Bassitt,Strider,3.0
2023-05-13,2023,TOR,ATL,5.0,2.0,1,1,Swanson,Minter,3.0
2023-05-14,2023,TOR,ATL,6.0,5.0,1,1,Pearson,Iglesias,1.0
2023-05-15,2023,TOR,NYY,4.0,7.0,1,0,Brito,Manoah,-3.0
2023-05-16,2023,TOR,NYY,3.0,6.0,1,0,Weber,Swanson,-3.0
