date,season,team,opponent,runs_for,runs_against,is_home,win,win_pitcher,loss_pitcher,run_diff
2019-03-28,2019,WSN,NYM,0.0,2.0,1,0,deGrom,Scherzer,-2.0
2019-03-30,2019,WSN,NYM,8.0,11.0,1,0,Wilson,Rosenthal,-3.0
2019-03-31,2019,WSN,NYM,6.0,5.0,1,1,Doolittle,Wilson,1.0
2019-04-02,2019,WSN,PHI,2.0,8.0,1,0,Eflin,Scherzer,-6.0
2019-04-03,2019,WSN,PHI,9.0,8.0,1,1,Doolittle,Robertson,1.0
2019-04-04,2019,WSN,NYM,4.0,0.0,0,1,Strasburg,Syndergaard,4.0
2019-04-06,2019,WSN,NYM,5.0,6.0,0,0,Familia,Sipp,-1.0
2019-04-07,2019,WSN,NYM,12.0,9.0,0,1,Scherzer,Wheeler,3.0
2019-04-08,2019,WSN,PHI,3.0,4.0,0,0,Domínguez,Sánchez,-1.0
2019-04-09,2019,WSN,PHI,10.0,6.0,0,1,Doolittle,Álvarez,4.0
2019-04-10,2019,WSN,PHI,15.0,1.0,0,1,Hellickson,Pivetta,14.0
2019-04-12,2019,WSN,PIT,3.0,6.0,1,0,Burdi,Grace,-3.0
2019-04-13,2019,WSN,PIT,3.0,2.0,1,1,Suero,Rodríguez,1.0
2019-04-14,2019,WSN,PIT,3.0,4.0,1,0,Vazquez,Suero,-1.0
2019-04-16,2019,WSN,SFG,3.0,7.0,1,0,Rodríguez,Strasburg,-4.0
2019-04-17,2019,WSN,SFG,9.0,6.0,1,1,Hellickson,Samardzija,3.0
2019-04-18,2019,WSN,SFG,4.0,2.0,1,1,Corbin,Pomeranz,2.0
2019-04-19,2019,WSN,MIA,2.0,3.0,0,0,Smith,Sánchez,-1.0
2019-04-20,2019,WSN,MIA,3.0,9.0,0,0,Ureña,Scherzer,-6.0
2019-04-21,2019,WSN,MIA,5.0,0.0,0,1,Strasburg,Richards,5.0
2019-04-22,2019,WSN,COL,5.0,7.0,0,0,Oh,Suero,-2.0
2019-04-23,2019,WSN,COL,6.0,3.0,0,1,Corbin,Hoffman,3.0
2019-04-24,2019,WSN,COL,5.0,9.0,0,0,Márquez,Sánchez,-4.0
2019-04-26,2019,WSN,SDP,3.0,4.0,1,0,Stammen,Doolittle,-1.0
2019-04-27,2019,WSN,SDP,3.0,8.0,1,0,Perdomo,Suero,-5.0
2019-04-28,2019,WSN,SDP,7.0,6.0,1,1,Miller,Wisler,1.0
