date,season,team,opponent,runs_for,runs_against,is_home,win,run_diff
2024-03-28,2024,WSN,CIN,2.0,8.0,0,0,-6.0
2024-03-30,2024,WSN,CIN,7.0,6.0,0,1,1.0
2024-03-31,2024,WSN,CIN,5.0,6.0,0,0,-1.0
2024-04-01,2024,WSN,PIT,4.0,8.0,1,0,-4.0
2024-04-03,2024,WSN,PIT,5.0,3.0,1,1,2.0
2024-04-04,2024,WSN,PIT,4.0,7.0,1,0,-3.0
2024-04-05,2024,WSN,PHI,0.0,4.0,1,0,-4.0
2024-04-06,2024,WSN,PHI,2.0,5.0,1,0,-3.0
2024-04-07,2024,WSN,PHI,3.0,2.0,1,1,1.0
2024-04-08,2024,WSN,SFG,8.0,1.0,0,1,7.0
2024-04-09,2024,WSN,SFG,5.0,3.0,0,1,2.0
2024-04-10,2024,WSN,SFG,1.0,7.0,0,0,-6.0
2024-04-12,2024,WSN,OAK,1.0,2.0,0,0,-1.0
2024-04-13,2024,WSN,OAK,3.0,1.0,0,1,2.0
2024-04-14,2024,WSN,OAK,6.0,7.0,0,0,-1.0
2024-04-15,2024,WSN,LAD,6.0,4.0,0,1,2.0
2024-04-16,2024,WSN,LAD,2.0,6.0,0,0,-4.0
2024-04-17,2024,WSN,LAD,2.0,0.0,0,1,2.0
2024-04-19,2024,WSN,HOU,3.0,5.0,1,0,-2.0
2024-04-20,2024,WSN,HOU,5.0,4.0,1,1,1.0
2024-04-21,2024,WSN,HOU,6.0,0.0,1,1,6.0
2024-04-23,2024,WSN,LAD,1.0,4.0,1,0,-3.0
2024-04-24,2024,WSN,LAD,2.0,11.0,1,0,-9.0
2024-04-25,2024,WSN,LAD,1.0,2.0,1,0,-1.0
2024-04-26,2024,WSN,MIA,3.0,1.0,0,1,2.0
2024-04-27,2024,WSN,MIA,11.0,4.0,0,1,7.0
2024-04-28,2024,WSN,MIA,12.0,9.0,0,1,3.0
2024-04-29,2024,WSN,MIA,7.0,2.0,0,1,5.0
2024-04-30,2024,WSN,TEX,1.0,7.0,0,0,-6.0
2024-05-01,2024,WSN,TEX,1.0,0.0,0,1,1.0
2024-05-02,2024,WSN,TEX,0.0,6.0,0,0,-6.0
2024-05-03,2024,WSN,TOR,9.0,3.0,1,1,6.0
2024-05-04,2024,WSN,TOR,3.0,6.0,1,0,-3.0
2024-05-05,2024,WSN,TOR,11.0,8.0,1,1,3.0
2024-05-07,2024,WSN,BAL,3.0,0.0,1,1,3.0
2024-05-08,2024,WSN,BAL,6.0,7.0,1,0,-1.0
2024-05-10,2024,WSN,BOS,5.0,1.0,0,1,4.0
2024-05-11,2024,WSN,BOS,2.0,4.0,0,0,-2.0
2024-05-12,2024,WSN,BOS,2.0,3.0,0,0,-1.0
2024-05-15,2024,WSN,CHW,0.0,2.0,0,0,-2.0
2024-05-17,2024,WSN,PHI,2.0,4.0,0,0,-2.0
2024-05-18,2024,WSN,PHI,3.0,4.0,0,0,-1.0
2024-05-19,2024,WSN,PHI,5.0,11.0,0,0,-6.0
2024-05-20,2024,WSN,MIN,12.0,3.0,1,1,9.0
2024-05-21,2024,WSN,MIN,0.0,10.0,1,0,-10.0
2024-05-22,2024,WSN,MIN,2.0,3.0,1,0,-1.0
2024-05-24,2024,WSN,SEA,6.0,1.0,1,1,5.0
2024-05-25,2024,WSN,SEA,3.0,1.0,1,1,2.0
2024-05-26,2024,WSN,SEA,5.0,9.0,1,0,-4.0
2024-05-27,2024,WSN,ATL,8.0,4.0,0,1,4.0
2024-05-28,2024,WSN,ATL,0.0,2.0,0,0,-2.0
2024-05-29,2024,WSN,ATL,7.0,2.0,0,1,5.0
2024-05-30,2024,WSN,ATL,3.0,1.0,0,1,2.0
2024-05-31,2024,WSN,CLE,1.0,7.0,0,0,-6.0
2024-06-01,2024,WSN,CLE,2.0,3.0,0,0,-1.0
2024-06-02,2024,WSN,CLE,5.0,2.0,0,1,3.0
