Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Andrew Abbott,27,3,Maj-NL,Cincinnati,13,13,4.0,3.0,,68.2,68,33,31,31,47,9,0,4.06,264,5,1,0,3,2,11,3,1,298,1180,0.62,0.16,0.09,0.42,0.24,0.09,1.442,0.281,6.2,1.52,671096
Mick Abel,24,52,Maj-AL,Minnesota,4,3,1.0,2.0,,20.1,22,9,9,10,23,0,3,3.98,80,6,0,1,2,0,1,1,0,93,357,0.67,0.17,0.12,0.4,0.28,0.07,1.574,0.386,10.2,2.3,690953
Philip Abner,24,0,Maj-NL,Arizona,2,0,,,,3.2,6,7,7,2,3,2,0,17.18,16,0,0,0,1,0,0,0,0,18,72,0.54,0.17,0.06,0.38,0.46,0.0,2.182,0.364,7.4,1.5,691769
Bryan Abreu,29,1,Maj-AL,Houston,23,0,2.0,2.0,3.0,20.1,17,18,17,24,28,5,3,7.52,74,3,0,0,2,0,5,0,0,102,422,0.54,0.16,0.11,0.49,0.17,0.02,2.016,0.293,12.4,1.17,650556
Garrett Acton,28,41,Maj-AL,Minnesota,4,0,1.0,1.0,,6.2,4,5,2,3,9,0,1,2.7,23,2,0,1,1,1,0,0,0,28,115,0.63,0.22,0.13,0.33,0.27,0.07,1.05,0.267,12.2,3.0,670183
Jason Adam,34,2,Maj-NL,San Diego,24,0,2.0,1.0,1.0,21.0,19,4,4,5,13,3,1,1.71,81,3,0,0,1,0,1,0,0,87,354,0.68,0.14,0.13,0.49,0.13,0.06,1.143,0.246,5.6,2.6,592094
Travis Adams,26,0,Maj-AL,Minnesota,9,0,1.0,,2.0,12.0,14,11,11,5,13,3,0,8.25,51,0,1,0,0,0,0,0,0,56,201,0.65,0.17,0.1,0.39,0.18,0.13,1.583,0.314,9.8,2.6,701519
Zach Agnos,25,5,Maj-NL,Colorado,16,1,,,2.0,37.0,45,34,32,13,27,6,2,7.78,150,12,2,2,2,4,1,0,0,170,626,0.65,0.13,0.12,0.36,0.27,0.03,1.568,0.322,6.6,2.08,688642
Robby Ahlstrom,27,2,Maj-AL,Texas,1,0,,,,1.1,0,0,0,0,2,0,0,0.0,4,0,0,0,0,0,0,0,0,4,17,0.65,0.35,0.0,0.0,0.5,0.5,0.0,0.0,13.5,,695239
Keegan Akin,31,1,Maj-AL,Baltimore,16,2,,,,14.2,21,15,15,5,13,3,0,9.2,65,2,1,0,1,0,0,0,0,70,278,0.67,0.18,0.09,0.35,0.27,0.08,1.773,0.367,8.0,2.6,669211
Sandy Alcantara,30,4,Maj-NL,Miami,13,13,4.0,4.0,,82.1,86,45,42,21,57,10,5,4.59,322,14,2,0,7,0,8,2,0,349,1250,0.68,0.16,0.1,0.45,0.23,0.07,1.3,0.298,6.2,2.71,645261
Sam Aldegheri,24,3,Maj-AL,Los Angeles,3,1,1.0,,,11.0,10,3,3,5,7,1,0,2.45,42,2,0,0,0,1,0,0,0,48,191,0.63,0.13,0.1,0.31,0.22,0.11,1.364,0.257,5.7,1.4,691951
Franco Aleman,26,24,Maj-AL,Cleveland,2,0,,,,2.2,3,1,1,1,1,1,0,3.38,9,0,0,0,1,0,0,1,0,10,52,0.63,0.13,0.1,0.38,0.13,0.25,1.5,0.286,3.4,1.0,680916
Jason Alexander,33,10,Maj-AL,Houston,4,2,1.0,1.0,,18.1,21,19,19,8,14,4,1,9.33,75,3,3,0,1,0,1,0,0,84,300,0.63,0.18,0.08,0.44,0.21,0.07,1.582,0.298,6.9,1.75,669920
Tyler Alexander,31,4,Maj-AL,Texas,27,1,1.0,1.0,2.0,26.0,28,11,9,8,21,2,2,3.12,100,4,0,0,3,1,4,2,0,113,432,0.65,0.2,0.07,0.55,0.16,0.05,1.385,0.333,7.3,2.63,641302
Kolby Allard,28,54,Maj-AL,Cleveland,4,0,,,,8.2,16,10,10,3,9,2,1,10.38,41,5,0,1,0,0,0,0,0,45,177,0.7,0.18,0.07,0.41,0.31,0.06,2.192,0.467,9.3,3.0,663465
Logan Allen,27,11,Maj-AL,Cleveland,1,0,,,,4.0,5,2,0,1,7,0,0,0.0,18,1,0,0,0,0,0,0,0,19,83,0.6,0.2,0.07,0.45,0.18,0.0,1.5,0.455,15.8,7.0,671106
Elvis Alvarado,27,49,Maj-AL,Athletics,10,0,2.0,,,9.2,11,9,9,7,9,1,0,8.38,37,5,0,0,2,0,0,1,0,44,182,0.6,0.1,0.14,0.36,0.14,0.0,1.862,0.37,8.4,1.29,665660
Jos\xc3\xa9 Alvarado,31,1,Maj-NL,Philadelphia,27,0,2.0,1.0,1.0,21.1,28,15,14,9,27,2,4,5.91,90,6,0,2,0,0,8,2,1,104,426,0.62,0.14,0.14,0.41,0.27,0.11,1.734,0.426,11.4,3.0,621237
