date,home_team,away_team,home_score,away_score
2024-10-22,BOSTON CELTICS,NEW YORK KNICKS,132,109
2024-10-23,LOS ANGELES LAKERS,MINNESOTA TIMBERWOLVES,110,103
2024-10-23,DETROIT PISTONS,INDIANA PACERS,109,115
2024-10-23,ATLANTA HAWKS,BROOKLYN NETS,120,116
2024-10-23,MIAMI HEAT,ORLANDO MAGIC,97,116
2024-10-23,PHILADELPHIA 76ERS,MILWAUKEE BUCKS,109,124
2024-10-23,TORONTO RAPTORS,CLEVELAND CAVALIERS,106,136
2024-10-24,HOUSTON ROCKETS,CHARLOTTE HORNETS,105,110
2024-10-24,NEW ORLEANS PELICANS,CHICAGO BULLS,123,111
2024-10-24,UTAH JAZZ,MEMPHIS GRIZZLIES,124,126
2024-10-24,LOS ANGELES CLIPPERS,PHOENIX SUNS,113,116
2024-10-24,PORTLAND TRAIL BLAZERS,GOLDEN STATE WARRIORS,104,140
2024-10-24,WASHINGTON WIZARDS,BOSTON CELTICS,102,122
2024-10-24,DALLAS MAVERICKS,SAN ANTONIO SPURS,120,109
2024-10-25,SACRAMENTO KINGS,MINNESOTA TIMBERWOLVES,115,117
2024-10-25,DENVER NUGGETS,OKLAHOMA CITY THUNDER,87,102
2024-10-25,ORLANDO MAGIC,BROOKLYN NETS,116,101
2024-10-25,TORONTO RAPTORS,PHILADELPHIA 76ERS,115,107
2024-10-25,ATLANTA HAWKS,CHARLOTTE HORNETS,125,120
2024-10-25,CLEVELAND CAVALIERS,DETROIT PISTONS,113,101
2024-10-25,NEW YORK KNICKS,INDIANA PACERS,123,98
2024-10-26,HOUSTON ROCKETS,MEMPHIS GRIZZLIES,128,108
2024-10-26,MILWAUKEE BUCKS,CHICAGO BULLS,122,133
2024-10-26,UTAH JAZZ,GOLDEN STATE WARRIORS,86,127
2024-10-26,LOS ANGELES LAKERS,PHOENIX SUNS,123,116
2024-10-26,PORTLAND TRAIL BLAZERS,NEW ORLEANS PELICANS,103,105
2024-10-26,DENVER NUGGETS,LOS ANGELES CLIPPERS,104,109
2024-10-26,WASHINGTON WIZARDS,CLEVELAND CAVALIERS,116,135
2024-10-26,DETROIT PISTONS,BOSTON CELTICS,118,124
2024-10-26,CHARLOTTE HORNETS,MIAMI HEAT,106,114
2024-10-27,MEMPHIS GRIZZLIES,ORLANDO MAGIC,124,111
2024-10-27,MINNESOTA TIMBERWOLVES,TORONTO RAPTORS,112,101
2024-10-27,CHICAGO BULLS,OKLAHOMA CITY THUNDER,95,114
2024-10-27,SAN ANTONIO SPURS,HOUSTON ROCKETS,109,106
2024-10-27,PHOENIX SUNS,DALLAS MAVERICKS,114,102
2024-10-27,LOS ANGELES LAKERS,SACRAMENTO KINGS,131,127
2024-10-27,INDIANA PACERS,PHILADELPHIA 76ERS,114,118
2024-10-27,PORTLAND TRAIL BLAZERS,NEW ORLEANS PELICANS,125,103
2024-10-27,BROOKLYN NETS,MILWAUKEE BUCKS,115,102
2024-10-27,OKLAHOMA CITY THUNDER,ATLANTA HAWKS,128,104
2024-10-28,GOLDEN STATE WARRIORS,LOS ANGELES CLIPPERS,104,112
2024-10-28,ORLANDO MAGIC,INDIANA PACERS,119,115
2024-10-28,ATLANTA HAWKS,WASHINGTON WIZARDS,119,121
