date,home_team,away_team,home_win,season,home_win_pct_5g,home_pts_for_avg_5g,home_pts_against_avg_5g,home_point_diff_avg_5g,home_win_pct_10g,home_pts_for_avg_10g,home_pts_against_avg_10g,home_point_diff_avg_10g,home_win_pct_20g,home_pts_for_avg_20g,home_pts_against_avg_20g,home_point_diff_avg_20g,home_days_rest,away_win_pct_5g,away_pts_for_avg_5g,away_pts_against_avg_5g,away_point_diff_avg_5g,away_win_pct_10g,away_pts_for_avg_10g,away_pts_against_avg_10g,away_point_diff_avg_10g,away_win_pct_20g,away_pts_for_avg_20g,away_pts_against_avg_20g,away_point_diff_avg_20g,away_days_rest,win_pct_diff_5g,point_diff_diff_5g,win_pct_diff_10g,point_diff_diff_10g,win_pct_diff_20g,point_diff_diff_20g,rest_advantage
2018-10-24,ATLANTA HAWKS,DALLAS MAVERICKS,1,2019,0.3333333333333333,119.0,122.66666666666667,-3.6666666666666665,0.3333333333333333,119.0,122.66666666666667,-3.6666666666666665,0.3333333333333333,119.0,122.66666666666667,-3.6666666666666665,3.0,0.6666666666666666,118.33333333333333,122.0,-3.6666666666666665,0.6666666666666666,118.33333333333333,122.0,-3.6666666666666665,0.6666666666666666,118.33333333333333,122.0,-3.6666666666666665,1.0,-0.3333333333333333,0.0,-0.3333333333333333,0.0,-0.3333333333333333,0.0,2.0
2018-10-27,ATLANTA HAWKS,CHICAGO BULLS,0,2019,0.5,117.0,118.0,-1.0,0.5,117.0,118.0,-1.0,0.5,117.0,118.0,-1.0,3.0,0.2,110.2,121.0,-10.8,0.2,110.2,121.0,-10.8,0.2,110.2,121.0,-10.8,1.0,0.3,9.8,0.3,9.8,0.3,9.8,2.0
2018-11-01,ATLANTA HAWKS,SACRAMENTO KINGS,0,2019,0.4,107.0,112.2,-5.2,0.2857142857142857,108.42857142857143,116.85714285714286,-8.428571428571429,0.2857142857142857,108.42857142857143,116.85714285714286,-8.428571428571429,2.0,0.8,111.0,108.4,2.6,0.625,116.5,116.75,-0.25,0.625,116.5,116.75,-0.25,2.0,-0.4,-7.800000000000001,-0.3392857142857143,-8.178571428571429,-0.3392857142857143,-8.178571428571429,0.0
2018-11-03,ATLANTA HAWKS,MIAMI HEAT,1,2019,0.2,103.4,119.2,-15.8,0.25,109.25,120.5,-11.25,0.25,109.25,120.5,-11.25,2.0,0.4,113.6,111.8,1.8,0.42857142857142855,111.71428571428571,110.71428571428571,1.0,0.42857142857142855,111.71428571428571,110.71428571428571,1.0,4.0,-0.2,-17.6,-0.17857142857142855,-12.25,-0.17857142857142855,-12.25,-2.0
2018-11-08,ATLANTA HAWKS,NEW YORK KNICKS,0,2019,0.2,109.2,125.2,-16.0,0.3,109.9,119.5,-9.6,0.3,109.9,119.5,-9.6,1.0,0.4,108.8,106.6,2.2,0.2,105.0,110.5,-5.5,0.2727272727272727,106.9090909090909,110.18181818181819,-3.272727272727273,2.0,-0.2,-18.2,0.09999999999999998,-4.1,0.027272727272727282,-6.327272727272726,-1.0
2018-11-10,ATLANTA HAWKS,DETROIT PISTONS,0,2019,0.2,112.2,125.0,-12.8,0.3,109.9,118.1,-8.2,0.2727272727272727,109.63636363636364,118.81818181818181,-9.181818181818182,2.0,0.2,108.2,110.6,-2.4,0.5,109.4,111.3,-1.9,0.5,109.4,111.3,-1.9,2.0,0.0,-10.4,-0.2,-6.299999999999999,-0.2272727272727273,-7.281818181818181,0.0
2018-11-20,ATLANTA HAWKS,LOS ANGELES CLIPPERS,0,2019,0.0,100.0,115.2,-15.2,0.1,106.1,120.1,-14.0,0.1875,106.625,117.6875,-11.0625,2.0,0.8,119.4,117.6,1.8,0.7,119.6,114.6,5.0,0.6666666666666666,117.26666666666667,112.4,4.866666666666666,3.0,-0.8,-17.0,-0.6,-19.0,-0.47916666666666663,-15.929166666666667,-1.0
2018-11-22,ATLANTA HAWKS,TORONTO RAPTORS,0,2019,0.0,102.0,115.8,-13.8,0.1,106.6,119.2,-12.6,0.17647058823529413,107.3529411764706,118.23529411764706,-10.882352941176471,2.0,0.4,109.0,105.8,3.2,0.7,113.9,106.2,7.7,0.7777777777777778,115.44444444444444,107.44444444444444,8.0,1.0,-0.4,-17.0,-0.6,-20.3,-0.6013071895424836,-18.88235294117647,1.0
2018-11-24,ATLANTA HAWKS,BOSTON CELTICS,0,2019,0.0,102.4,119.2,-16.8,0.1,105.9,117.0,-11.1,0.16666666666666666,107.38888888888889,118.55555555555556,-11.166666666666666,2.0,0.4,108.2,106.0,2.2,0.3,107.4,107.9,-0.5,0.5,106.0,104.16666666666667,1.8333333333333333,2.0,-0.4,-19.0,-0.19999999999999998,-10.6,-0.33333333333333337,-13.0,0.0
2018-11-25,ATLANTA HAWKS,CHARLOTTE HORNETS,1,2019,0.0,101.0,120.0,-19.0,0.0,103.2,116.6,-13.4,0.15789473684210525,106.78947368421052,118.3157894736842,-11.526315789473685,1.0,0.4,111.2,113.0,-1.8,0.5,114.7,110.8,3.9,0.5,115.05555555555556,110.22222222222223,4.833333333333333,1.0,-0.4,-17.2,-0.5,-17.3,-0.34210526315789475,-16.359649122807017,0.0
