season,week,team,full_name,position,report_status
2026,1,ARI,Garrett Williams,CB,Out
2026,1,ARI,Isaiah Adams,G,Out
2026,1,ARI,Dadrion Taylor-Demerson,S,Out
2026,1,ARI,Jeremiyah Love,RB,Questionable
2026,1,ATL,Za'Darius Smith,DE,Questionable
2026,1,ATL,Tua Tagovailoa,QB,Out
2026,1,ATL,Michael Penix Jr.,QB,Out
2026,1,ATL,Billy Bowman Jr.,CB,Out
2026,1,ATL,Cameron Williams,T,Out
2026,1,BAL,Nnamdi Madubuike,DT,Out
2026,1,BAL,Devontez Walker,WR,Questionable
2026,1,BAL,Teddye Buchanan,LB,Out
2026,1,BUF,Ty Johnson,RB,Questionable
2026,1,BUF,Jordan Hancock,CB,Questionable
2026,1,BUF,T.J. Sanders,DE,Questionable
2026,1,CAR,Patrick Jones II,LB,Out
2026,1,CHI,Xavier Woods,S,Questionable
2026,1,CHI,Tyson Bagent,QB,Questionable
2026,1,CHI,Rome Odunze,WR,Questionable
2026,1,CHI,Ozzy Trapilo,T,Questionable
2026,1,CIN,Shemar Stewart,DE,Doubtful
2026,1,CLE,Teven Jenkins,G,Out
2026,1,CLE,Parker Brailsford,C,Questionable
2026,1,DAL,Malik Davis,RB,Out
2026,1,DET,Christian Izien,S,Questionable
2026,1,GB,Aaron Banks,G,Questionable
2026,1,GB,Zach Bako-Bewele,T,Questionable
2026,1,GB,Ty'Ron Hopper,LB,Questionable
2026,1,GB,Warren Brinson,DT,Out
2026,1,IND,Austin Ajiake,LB,Out
2026,1,JAX,LeQuint Allen Jr.,RB,Questionable
2026,1,KC,Chamarri Conner,S,Out
2026,1,KC,Josh Simmons,T,Out
2026,1,LA,Aaron Donald,DE,Out
2026,1,LAC,Deane Leonard,CB,Out
2026,1,LAC,Tuli Tuipulotu,DE,Questionable
2026,1,LV,Brock Bowers,TE,Out
2026,1,NE,Ben Brown,C,Out
2026,1,NE,TreVeyon Henderson,RB,Out
2026,1,NO,Cameron Jordan,LB,Out
2026,1,NO,Alvin Kamara,RB,Questionable
2026,1,NO,Audric Estimé,RB,Out
2026,1,NO,Oscar Delp,TE,Out
2026,1,NYG,Malik Nabers,WR,Questionable
2026,1,NYJ,Tim Patrick,WR,Out
2026,1,NYJ,Kene Nwangwu,RB,Doubtful
2026,1,NYJ,Joseph Ossai,DE,Out
2026,1,NYJ,D'Angelo Ponds,CB,Doubtful
2026,1,PHI,Jonathan Greenard,LB,Out
2026,1,PHI,Eli Stowers,TE,Out
2026,1,PIT,Joey Porter Jr.,CB,Questionable
2026,1,SEA,Ty Okada,S,Out
2026,1,SEA,Tory Horton,WR,Questionable
2026,1,SEA,Nick Emmanwori,S,Questionable
2026,1,SF,Alfred Collins,DT,Out
2026,1,SF,James Thompson Jr.,DT,Questionable
2026,1,TB,Justin Skule,T,Doubtful
2026,1,TB,Christian Rozeboom,LB,Questionable
2026,1,TB,Sean Tucker,RB,Doubtful
2026,1,TB,Jalen McMillan,WR,Doubtful
2026,1,TEN,Cedric Gray,LB,Out
