date,tournament,home_team,away_team,home_score,away_score,result,neutral,goal_diff
2002-05-31,World Cup,France,Senegal,0,1,-1,True,1
2002-06-01,World Cup,Republic of Ireland,Cameroon,1,1,0,True,0
2002-06-01,World Cup,Uruguay,Denmark,1,2,-1,True,1
2002-06-01,World Cup,Germany,Saudi Arabia,8,0,1,True,8
2002-06-02,World Cup,Argentina,Nigeria,1,0,1,True,1
2002-06-02,World Cup,Paraguay,South Africa,2,2,0,True,0
2002-06-02,World Cup,England,Sweden,1,1,0,True,0
2002-06-02,World Cup,Spain,Slovenia,3,1,1,True,2
2002-06-03,World Cup,Croatia,Mexico,0,1,-1,True,1
2002-06-03,World Cup,Brazil,Türkiye,2,1,1,True,1
2002-06-03,World Cup,Italy,Ecuador,2,0,1,True,2
2002-06-04,World Cup,South Korea,Poland,2,0,1,True,2
2002-06-04,World Cup,China,Costa Rica,0,2,-1,True,2
2002-06-04,World Cup,Japan,Belgium,2,2,0,True,0
2002-06-05,World Cup,Russia,Tunisia,2,0,1,True,2
2002-06-05,World Cup,United States,Portugal,3,2,1,True,1
2002-06-05,World Cup,Germany,Republic of Ireland,1,1,0,True,0
2002-06-06,World Cup,Denmark,Senegal,1,1,0,True,0
2002-06-06,World Cup,Cameroon,Saudi Arabia,1,0,1,True,1
2002-06-06,World Cup,France,Uruguay,0,0,0,True,0
2002-06-07,World Cup,Argentina,England,0,1,-1,True,1
2002-06-07,World Cup,Sweden,Nigeria,2,1,1,True,1
2002-06-07,World Cup,Spain,Paraguay,3,1,1,True,2
2002-06-08,World Cup,Brazil,China,4,0,1,True,4
2002-06-08,World Cup,Italy,Croatia,1,2,-1,True,1
2002-06-08,World Cup,South Africa,Slovenia,1,0,1,True,1
2002-06-09,World Cup,Mexico,Ecuador,2,1,1,True,1
2002-06-09,World Cup,Costa Rica,Türkiye,1,1,0,True,0
2002-06-09,World Cup,Japan,Russia,1,0,1,True,1
2002-06-10,World Cup,South Korea,United States,1,1,0,True,0
2002-06-10,World Cup,Tunisia,Belgium,1,1,0,True,0
2002-06-10,World Cup,Portugal,Poland,4,0,1,True,4
2002-06-11,World Cup,Denmark,France,2,0,1,True,2
2002-06-11,World Cup,Senegal,Uruguay,3,3,0,True,0
2002-06-11,World Cup,Cameroon,Germany,0,2,-1,True,2
2002-06-11,World Cup,Saudi Arabia,Republic of Ireland,0,3,-1,True,3
2002-06-12,World Cup,South Africa,Spain,2,3,-1,True,1
2002-06-12,World Cup,Slovenia,Paraguay,1,3,-1,True,2
2002-06-12,World Cup,Nigeria,England,0,0,0,True,0
2002-06-12,World Cup,Sweden,Argentina,1,1,0,True,0
2002-06-13,World Cup,Costa Rica,Brazil,2,5,-1,True,3
2002-06-13,World Cup,Türkiye,China,3,0,1,True,3
2002-06-13,World Cup,Ecuador,Croatia,1,0,1,True,1
2002-06-13,World Cup,Mexico,Italy,1,1,0,True,0
2002-06-14,World Cup,South Korea,Portugal,1,0,1,True,1
2002-06-14,World Cup,Belgium,Russia,3,2,1,True,1
2002-06-14,World Cup,Japan,Tunisia,2,0,1,True,2
2002-06-14,World Cup,Poland,United States,3,1,1,True,2
2002-06-15,World Cup,Denmark,England,0,3,-1,True,3
2002-06-15,World Cup,Germany,Paraguay,1,0,1,True,1
2002-06-16,World Cup,Sweden,Senegal,1,2,-1,True,1
2002-06-16,World Cup,Spain,Republic of Ireland,1,1,0,True,0
2002-06-17,World Cup,Mexico,United States,0,2,-1,True,2
2002-06-17,World Cup,Brazil,Belgium,2,0,1,True,2
2002-06-18,World Cup,Japan,Türkiye,0,1,-1,True,1
2002-06-18,World Cup,South Korea,Italy,2,1,1,True,1
2002-06-21,World Cup,Brazil,England,2,1,1,True,1
2002-06-21,World Cup,Germany,United States,1,0,1,True,1
2002-06-22,World Cup,South Korea,Spain,0,0,0,True,0
2002-06-22,World Cup,Senegal,Türkiye,0,1,-1,True,1
2002-06-25,World Cup,South Korea,Germany,0,1,-1,True,1
2002-06-26,World Cup,Brazil,Türkiye,1,0,1,True,1
2002-06-29,World Cup,South Korea,Türkiye,2,3,-1,True,1
2002-06-30,World Cup,Germany,Brazil,0,2,-1,True,2
2006-06-09,World Cup,Germany,Costa Rica,4,2,1,True,2
2006-06-09,World Cup,Poland,Ecuador,0,2,-1,True,2
2006-06-10,World Cup,England,Paraguay,1,0,1,True,1
2006-06-10,World Cup,Trinidad and Tobago,Sweden,0,0,0,True,0
2006-06-10,World Cup,Argentina,Ivory Coast,2,1,1,True,1
