date,tournament,home_team,away_team,home_score,away_score,result,neutral,goal_diff,home_elo_pre,away_elo_pre,elo_diff,home_win_pct_10g,home_gf_avg_10g,home_ga_avg_10g,home_gd_avg_10g,away_win_pct_10g,away_gf_avg_10g,away_ga_avg_10g,away_gd_avg_10g,gd_diff_10g,win_pct_diff_10g,result_class
2002-05-31,World Cup,France,Senegal,0,1,-1,True,1,1990.0,1820.0,170.0,,,,,,,,,,,0
2002-06-01,World Cup,Republic of Ireland,Cameroon,1,1,0,True,0,1750.0,1800.0,-50.0,,,,,,,,,,,1
2002-06-01,World Cup,Uruguay,Denmark,1,2,-1,True,1,1880.0,1860.0,20.0,,,,,,,,,,,0
2002-06-01,World Cup,Germany,Saudi Arabia,8,0,1,True,8,1970.0,1780.0,190.0,,,,,,,,,,,2
2002-06-02,World Cup,Argentina,Nigeria,1,0,1,True,1,1980.0,1810.0,170.0,,,,,,,,,,,2
2002-06-02,World Cup,Paraguay,South Africa,2,2,0,True,0,1790.0,1750.0,40.0,,,,,,,,,,,1
2002-06-02,World Cup,England,Sweden,1,1,0,True,0,1970.0,1850.0,120.0,,,,,,,,,,,1
2002-06-02,World Cup,Spain,Slovenia,3,1,1,True,2,1960.0,1750.0,210.0,,,,,,,,,,,2
2002-06-03,World Cup,Brazil,Türkiye,2,1,1,True,1,2000.0,1750.0,250.0,,,,,,,,,,,2
2002-06-03,World Cup,Italy,Ecuador,2,0,1,True,2,1930.0,1800.0,130.0,,,,,,,,,,,2
2002-06-03,World Cup,Croatia,Mexico,0,1,-1,True,1,1890.0,1850.0,40.0,,,,,,,,,,,0
2002-06-04,World Cup,South Korea,Poland,2,0,1,True,2,1810.0,1820.0,-10.0,,,,,,,,,,,2
2002-06-04,World Cup,China,Costa Rica,0,2,-1,True,2,1750.0,1800.0,-50.0,,,,,,,,,,,0
2002-06-04,World Cup,Japan,Belgium,2,2,0,True,0,1820.0,1920.0,-100.0,,,,,,,,,,,1
2002-06-05,World Cup,Russia,Tunisia,2,0,1,True,2,1750.0,1790.0,-40.0,,,,,,,,,,,2
2002-06-05,World Cup,United States,Portugal,3,2,1,True,1,1750.0,1940.0,-190.0,,,,,,,,,,,2
2002-06-05,World Cup,Germany,Republic of Ireland,1,1,0,True,0,2005.8,1754.3,251.5,,,,,,,,,,,1
2002-06-06,World Cup,France,Uruguay,0,0,0,True,0,1946.4,1848.3,98.10000000000014,,,,,,,,,,,1
2002-06-06,World Cup,Denmark,Senegal,1,1,0,True,0,1891.7,1863.6,28.100000000000136,,,,,,,,,,,1
2002-06-06,World Cup,Cameroon,Saudi Arabia,1,0,1,True,1,1795.7,1764.9,30.799999999999955,,,,,,,,,,,2
2002-06-07,World Cup,Sweden,Nigeria,2,1,1,True,1,1860.0,1793.6,66.40000000000009,,,,,,,,,,,2
2002-06-07,World Cup,Spain,Paraguay,3,1,1,True,2,1980.7,1786.6,194.10000000000014,,,,,,,,,,,2
2002-06-07,World Cup,Argentina,England,0,1,-1,True,1,1996.4,1960.0,36.40000000000009,,,,,,,,,,,0
