date,sport,game_id,away_team,home_team,away_score,home_score,pick_type,side,team_or_line,odds,edge,ev,strength,model_prob,outcome,pnl_units,logged_at
2026-07-06,baseball_mlb,8708f0b1ad493caa280c8d963be2dc0b,New York Yankees,Tampa Bay Rays,5,1,ml,away,New York Yankees,-106,0.1005,0.1583,moderate,0.596,win,1.06,2026-09-04T00:28:20
2026-07-06,baseball_mlb,e5295ada7ac0d16be6bf67d6a4a2923b,Milwaukee Brewers,St. Louis Cardinals,4,3,ml,away,Milwaukee Brewers,-108,0.1597,0.2705,strong,0.6597,win,1.08,2026-09-04T00:28:20
2026-07-06,soccer_fifa_world_cup,16ed3adcf661b3a9bea39871a2d204df,Spain,Portugal,1,0,ml,draw,Draw,240,0.1245,0.3755,strong,0.3651,loss,-1.0,2026-09-04T00:28:20
2026-07-07,baseball_mlb,6611ecd500747b1f1aebe1ea49f9d00a,Milwaukee Brewers,St. Louis Cardinals,10,2,ml,home,St. Louis Cardinals,184,0.194,0.5214,strong,0.5357,loss,-1.0,2026-09-04T00:28:21
2026-07-07,baseball_mlb,fa63ecda3e7fe4b049c7e9cfd633f461,Boston Red Sox,Chicago White Sox,8,1,ml,away,Boston Red Sox,-124,0.1194,0.1782,moderate,0.6522,win,1.24,2026-09-04T00:28:21
2026-07-08,baseball_mlb,f30eb3060b32a01dced2737d2398b918,Atlanta Braves,Pittsburgh Pirates,3,0,ml,away,Atlanta Braves,102,0.098,0.1629,moderate,0.5757,win,1.02,2026-09-04T00:28:21
2026-07-08,baseball_mlb,f69a7dce841f22ee977afebfd8dfc142,Cleveland Guardians,Minnesota Twins,5,6,ml,away,Cleveland Guardians,102,0.0884,0.1397,moderate,0.5642,loss,-1.0,2026-09-04T00:28:21
2026-07-09,baseball_mlb,2b3ca3496277938aa74f87f24a2c064c,Atlanta Braves,Pittsburgh Pirates,10,5,ml,home,Pittsburgh Pirates,310,0.1728,0.8208,strong,0.4441,loss,-1.0,2026-09-04T00:28:21
2026-07-09,baseball_mlb,4690bcfaacd780fc44c057a6a7a4cc46,Kansas City Royals,New York Mets,3,7,ml,away,Kansas City Royals,138,0.1328,0.2816,strong,0.5385,loss,-1.0,2026-09-04T00:28:21
2026-07-09,baseball_mlb,673121d56b103f8d38738980fbffafef,Athletics,Detroit Tigers,1,4,ml,home,Detroit Tigers,-125,0.1381,0.2179,strong,0.6766,win,1.25,2026-09-04T00:28:21
2026-07-10,baseball_mlb,e1b31472ec00cc3475d077ee22298ef8,Cleveland Guardians,Miami Marlins,3,2,ml,away,Cleveland Guardians,102,0.1214,0.2063,strong,0.5972,win,1.02,2026-09-04T00:28:21
